title,price,date
New Listing,4.66,2020-08-11 00:00:00
William Faulkner 4/HB Book Set Sound&Fury-As I Lay Dying- Sanctuary-Light August,24.91,2020-08-11 00:00:00
AS I LAY DYING by William Faulkner PLUS CLIFFS NOTES STUDY GUIDE Cliff's CLIFF,11.32,2020-08-11 00:00:00
"As I Lay Dying by William Faulkner {Vintage International}(1991, Paperback) **",6.97,2020-08-11 00:00:00
As I Lay Dying by William Faulkner & Cliff Notes study guide - Free Shipping!,10.99,2020-08-11 00:00:00
"As I Lay Dying , Faulkner, William",3.99,2020-08-10 00:00:00
"As I Lay Dying: The Corrected Text - Paperback By Faulkner, William - GOOD",3.99,2020-08-09 00:00:00
As I Lay Dying (Norton Critical Editions) - Paperback - VERY GOOD,7.56,2020-08-08 00:00:00
William Faulkner As I Lay Dying Paperback,5.83,2020-08-08 00:00:00
"As I Lay Dying: The Corrected Text - Paperback By Faulkner, William - GOOD",3.99,2020-08-07 00:00:00
A Summer of Faulkner: As I Lay Dying/The Sound and the Fury/Light in August [Opr,12.49,2020-08-07 00:00:00
A Summer of Faulkner: As I Lay Dying/The Sound and the Fury/Light in August (Opr,8.86,2020-08-07 00:00:00
As I Lay Dying (Norton Critical Editions) - Paperback - VERY GOOD,7.56,2020-08-06 00:00:00
Vintage International Ser.: As I Lay Dying by William Faulkner and William...,4.5,2020-08-06 00:00:00
Vintage international: As I Lay Dying by William Faulkner,4.55,2020-08-05 00:00:00
"Vintage International: As I Lay Dying by William Faulkner (1991, Paperback)",5.8,2020-08-05 00:00:00
"As I Lay Dying , Faulkner, William",3.99,2020-08-04 00:00:00
Vintage International Ser.: As I Lay Dying by William Faulkner,7.9,2020-08-03 00:00:00
"William Faulkner, Lot of 4 vols, incl. Sanctuary, As I Lay Dying, etc. HC/GC",24.42,2020-07-31 00:00:00
As I Lay Dying: The Corrected Text by William Faulkner ,4.19,2020-07-29 00:00:00
The Sound and the Fury + As I Laying Dying - Faulkner - Norton Critical editions,9.49,2020-07-29 00:00:00
As I Lay Dying,7.97,2020-07-26 00:00:00
As I Lay Dying: The Corrected Text by William Faulkner ,4.49,2020-07-26 00:00:00
As I Lay Dying: The Corrected Text by William Faulkner ,8.0,2020-07-23 00:00:00
William Faulkner Random House As I Lay Dying Red 1957 Misshapped Cosmetic Damage,8.32,2020-07-22 00:00:00
AS I LAY DYING V-254 by William Faulkner 1957 Vintage Books Edition Paperback,14.99,2020-07-22 00:00:00
As I Lay Dying by William Faulkner,9.94,2020-07-20 00:00:00
As I Lay Dying: The Corrected Text,3.84,2020-07-20 00:00:00
AS I LAY DYING Faulkner 1st Printing Modern Library 1992 HCDJ Near Fine Novel,40.0,2020-07-20 00:00:00
As I Lay Dying by William Faulkner & SparkNotes study guide - Free Shipping!,10.99,2020-07-18 00:00:00
Light in August and As I Lay Dying W. Faulkner International Collectors Library,28.9,2020-07-17 00:00:00
