title,price,date
Dead Poets Society by N. H. Kleinbaum  1998  r,4.5,2020-08-07 00:00:00
"Dead Poets Society , N.H. Kleinbaum",4.43,2020-08-06 00:00:00
Dead Poets Society by N.H. Kleinbaum  Starfire,6.32,2020-06-12 00:00:00
"""Dead Poet's Society"" by N.H. Kleinbaum, NEW Book, FREE & FAST Delivery, (Paperb",17.2,2020-07-17 00:00:00
Dead Poets Society by N. H KleinBaum (Paperback) Expertly Refurbished Product,15.62,2020-06-24 00:00:00
"N H Kleinbaum ""DEAD POETS SOCIETY"" 1989 FILM TIE IN PB Robin Williams ",44.79,2020-06-10 00:00:00
"Dead Poets Society by N. H Kleinbaum, Tom Schulman",34.15,2020-06-06 00:00:00
Dead Poets Society by N.H. Kleinbaum,28.48,2020-06-01 00:00:00
"Dead Poets Society (2006, Paperback) NEW, Free Shipping",6.95,2020-07-28 00:00:00
Dead Poets Society by N.H. Kleinbaum  Starfire,6.32,2020-06-12 00:00:00
"""Dead Poet's Society"" by N.H. Kleinbaum, NEW Book, FREE & FAST Delivery, (Paperb",17.25,2020-08-11 00:00:00
"N H Kleinbaum ""DEAD POETS SOCIETY"" 1989 FILM TIE IN PB Robin Williams ",44.93,2020-06-10 00:00:00
"Dead Poets Society by N. H Kleinbaum, Tom Schulman",34.26,2020-06-06 00:00:00
Dead Poets Society by N.H. Kleinbaum,28.56,2020-06-01 00:00:00
"Dead Poets Society (2006, Paperback) NEW, Free Shipping",6.95,2020-08-10 00:00:00
