title,price,date
"['Frankenstein (Barnes & Noble Classics), Mary Wollstonecraft Shelley,1593080050, ']",5.93,2020-07-29 00:00:00
"[""Frankenstein [Collector's Library]  Shelley, Mary Wollstonecraft  VeryGood  Book""]",5.12,2020-07-28 00:00:00
"['Frankenstein by Shelley, Mary Wollstonecraft']",4.49,2020-07-28 00:00:00
['Frankenstein: TOR Edition Mary Wollstonecraft Shelley Boris Cover 1988 Hardcover'],8.99,2020-07-27 00:00:00
"['Frankenstein  Shelley, Mary Wollstonecraft  Acceptable  Book  0 Paperback']",4.67,2020-07-26 00:00:00
"['Frankenstein Thrift Study Edition by Shelley, Mary Wollstonecraft ']",5.5,2020-07-25 00:00:00
['Frankenstein (Barnes & Noble Classics) - Mass Market Paperback - GOOD'],3.67,2020-07-25 00:00:00
"['Barnes and Noble Classics: Frankenstein by Mary Wollstonecraft Shelley (2003, P…']",5.73,2020-07-25 00:00:00
"['Frankenstein or the Modern Prometheus by Shelley, Mary Wollstonecraft']",5.25,2020-07-23 00:00:00
"['Frankenstein by Shelley, Mary Wollstonecraft ']",5.15,2020-07-20 00:00:00
"['Frankenstein or, the Modern Prometheus (Mary Wollstonecraft Shelley, C. 1934 HC ']",99.99,2020-07-19 00:00:00
"['Frankenstein [Barnes & Noble Classics] by Shelley, Mary Wollstonecraft , Mass Ma']",3.87,2020-07-18 00:00:00
['Frankenstein - Paperback By Mary Wollstonecraft Shelley - VERY GOOD'],3.71,2020-07-13 00:00:00
"['The Annotated Frankenstein by Shelley, Mary Wollstonecraft']",9.45,2020-07-10 00:00:00
['FRANKENSTEIN BY MARY WOLLSTONECRAFT SHELLEY HERITAGE PRESS 1962 HC Excellent'],24.0,2020-07-09 00:00:00
"[""Mary Wollstonecraft Shelley's Frankenstein illustrated by Berni Wrightson Marvel""]",99.99,2020-07-08 00:00:00
['Frankenstein by Mary Wollstonecraft Shelley Illustrated by Lynd Ward Hardcover'],5.32,2020-07-08 00:00:00
['Frankenstein (Barnes & Noble Classics) by Mary Wollstonecraft Shelley'],3.99,2020-07-06 00:00:00
['Marvel Illustrated Novel Mary Wollstonecraft Shelley Frankenstein 1st Wrightson'],71.56,2020-07-03 00:00:00
"['Frankenstein: or, The Modern Prometheus. 1818 edition. by Mary Wollstonecraft Sh']",15.24,2020-06-25 00:00:00
['Frankenstein Mary wollstonecraft Shelley. A longman cultural edition'],12.93,2020-06-24 00:00:00
['Frankenstein (Barnes & Noble Classics)'],3.49,2020-06-23 00:00:00
"['Frankenstein by Shelley, Mary Wollstonecraft (Barnes & Noble Classics) Free Ship']",17.0,2020-06-21 00:00:00
['Frankenstein by Mary Wollstonecraft Shelley Illustrated by Lynd Ward Hardcover'],18.8,2020-06-21 00:00:00
"['Frankenstein (Barnes & Noble Classics) by Shelley, Mary Wollstonecraft']",3.99,2020-06-20 00:00:00
['NEW Frankenstein by Mary Wollstonecraft Shelley (English) Paperback Book'],8.0,2020-06-20 00:00:00
['B004NKYG44 [(Frankenstein)] [Author: Mary Wollstonecraft Shelley] published on '],3.48,2020-06-19 00:00:00
"['Frankenstein  Shelley, Mary Wollstonecraft  Acceptable  Book  0 Paperback']",4.52,2020-06-17 00:00:00
['FRANKENSTEIN BY MARY WOLLSTONECRAFT SHELLEY HERITAGE PRESS 1962 VG HC SLIPCASE'],48.86,2020-06-17 00:00:00
"['Frankenstein (Barnes & Noble Classics) by Shelley, Mary Wollstonecraft']",3.99,2020-06-16 00:00:00
"['New Annotated Frankenstein, Hardcover by Shelley, Mary Wollstonecraft; Klinge...']",26.29,2020-06-15 00:00:00
"['Frankenstein (Barnes & Noble Classics) by Shelley, Mary Wollstonecraft']",4.13,2020-06-13 00:00:00
['Frankenstein - Paperback By Mary Wollstonecraft Shelley - GOOD'],3.71,2020-06-11 00:00:00
['NEW - Frankenstein (Barnes & Noble Classics)'],6.4,2020-06-10 00:00:00
['FRANKENSTEIN by Mary Shelley 100 Greatest Books Easton Press Leather'],104.95,2020-06-07 00:00:00
['Mary Wollstonecraft Shelley / Frankenstein or The Modern Limited Signed 1st 1983'],905.0,2020-06-07 00:00:00
"[""Frankenstein (The World's Classics) Shelley, Mary Wollstonecraft Paperback Used""]",4.42,2020-06-06 00:00:00
"[""Mary Wollstonecraft Shelley FRANKENSTEIN Illust'd by LYND WARD 1988 Gramercy""]",34.28,2020-06-05 00:00:00
['FRANKENSTEIN BY MARY SHELLEY    NEW FLEXI COVER '],17.0,2020-05-30 00:00:00
['Frankenstein  By Mary Wollstonecraft Shelley ( 1934) Hardcover'],24.36,2020-05-28 00:00:00
"['Frankenstein [Barnes & Noble Classics] , Shelley, Mary Wollstonecraft']",3.99,2020-05-25 00:00:00
"['Frankenstein by Mary Shelley Wollstonecraft (2008, Hardcover) 1st edition ']",116.98,2020-05-23 00:00:00
['Frankenstein (Penguin Clothbound Classics) by Mary Wollstonecraft Shelley. '],18.4,2020-05-22 00:00:00
['Frankenstein (Barnes & Noble Classics) by Mary Wollstonecraft Shelley'],3.99,2020-05-22 00:00:00
['Frankenstein: The Modern Prometheus by Mary Wollstonecraft Shelley 1989 Gothic'],20.77,2020-05-22 00:00:00
['Frankenstein (Barnes & Noble Classics) - Mass Market Paperback - ACCEPTABLE'],3.69,2020-05-21 00:00:00
"['FRANKENSTEIN - SHELLEY, MARY WOLLSTONECRAFT/ BRANTLEY, MARGARET - NEW PAPERBACK ']",7.28,2020-05-20 00:00:00
['FRANKENSTEIN by MARY WOLLSTONECRAFT SHELLEY (1969 3rd PRINTING SC)'],9.0,2020-05-20 00:00:00
['Frankenstein: The Graphic Novel by Mary Wollstonecraft Shelley (English) Paperba'],16.2,2020-05-17 00:00:00
['FRANKENSTEIN BY MARY SHELLEY    NEW FLEXI COVER '],17.0,2020-05-17 00:00:00
"['Frankenstein, Hardcover by Shelley, Mary Wollstonecraft, Brand New, Free ship...']",21.57,2020-05-16 00:00:00
['MARY SHELLEY: FRANKENSTEIN or MODERN PROMETHEUS/EVERETT HENRY PICS/SLIPCASE/1934'],40.0,2020-05-15 00:00:00
"['Frankenstein : Or the Modern Prometheus the 1818 Text, Paperback by Shelley, ...']",9.16,2020-05-15 00:00:00
['Frankenstein: Tor Edition by Mary Wollstonecraft Shelley Boris Cover'],7.74,2020-05-15 00:00:00
"['Frankenstein [Barnes & Noble Classics] , Shelley, Mary Wollstonecraft']",3.99,2020-05-14 00:00:00
"['Frankenstein : The 1818 Text, Paperback by Shelley, Mary Wollstonecraft; Gord...']",11.56,2020-05-14 00:00:00
"['Frankenstein by Mary Wollstonecraft Shelley (hardcover, 1974) \xa0']",15.0,2020-05-09 00:00:00
"[""Mary Wollstonecraft Shelley's Frankenstein illustrated by Berni Wrightson Marvel""]",99.95,2020-05-09 00:00:00
['FRANKENSTEIN - MARY SHELLEY - PENNYROYAL ED. - BARRY MOSER ILLUS. - 1984 - FINE'],69.39,2020-05-07 00:00:00
['FRANKENSTEIN BY MARY SHELLEY    NEW FLEXI COVER '],16.75,2020-05-05 00:00:00
['Mary Wollstonecraft with Shelley / Frankenstein Or the Modern Prometheus 1st ed'],93.5,2020-05-05 00:00:00
['FRANKENSTEIN by MARY SHELLEY (Collectible Quality Softcover - 2015) Brand New'],22.74,2020-05-04 00:00:00
"['Barnes and Noble Classics: Frankenstein by Mary Wollstonecraft Shelley (2003,...']",13.32,2020-05-04 00:00:00
"['Frankenstein - Or, the Modern Prometheus: Mary Shelley 1965']",5.75,2020-05-04 00:00:00
['Frankenstein (Barnes & Noble Classics) by Mary Wollstonecraft Shelley '],4.49,2020-05-03 00:00:00
['Frankenstein'],5.5,2020-05-03 00:00:00
