title,price,date
"Franklin Library Gulliver’s Travels by Jonathan Swift, Leatherette ",21.5,2020-08-11 00:00:00
"Vintage Book, Gulliver's Travels by Jonathan Swift, 1899",13.9,2020-08-11 00:00:00
Gullivers Travels book Jonathan Swift 1950 Hardback Modern library Ed. Fair cond,8.5,2020-08-11 00:00:00
Gulliver's Travels Jonathan Swift Paperback Book Barnes and Noble Classics 2003,3.94,2020-08-11 00:00:00
"GULLIVER'S TRAVELS by Jonathan Swift (1979, Hardcover) Franklin Library NF",14.98,2020-08-11 00:00:00
Very Good! Jonathan Swift 'GULLIVER'S TRAVELS' 1979 Franklin Library Leatherette,13.21,2020-08-11 00:00:00
"Gulliver’s Travels By Jonathan Swift, 1954, Junior Deluxe Edition,",6.49,2020-08-10 00:00:00
Gulliver's Travels by Jonathan Swift - HC 1963 Companion Library Series,21.34,2020-08-10 00:00:00
"Gulliver's Travels (Penguin Classics) - Paperback By Swift, Jonathan - GOOD",3.55,2020-08-10 00:00:00
"Gulliver's Travels by Jonathan Swift, Easton Press",19.99,2020-08-09 00:00:00
Gulliver's Travels (Oxford World's Classics) jonathan-swift Paperback Used - Go,6.98,2020-08-09 00:00:00
Easton Press Gulliver’s Travels 1976 and Heritage press 1940 VG,38.45,2020-08-09 00:00:00
Gulliver's Travels by Jonathan Swift,4.45,2020-08-09 00:00:00
GULLIVER’S TRAVELS by Jonathan Swift Worlds Great Novel hard cover Carlton House,7.23,2020-08-09 00:00:00
"Jonathan Swift, Gulliver's Travels, Teerink AA 1726 edition, 2nd volume B. Motte",716.49,2020-08-09 00:00:00
Gulliver's Travels by Jonathan Swift,4.26,2020-08-09 00:00:00
"Antique Gullivers Travels by Jonathan (Dean) Swift, Gall and Inglis, 1890?",20.95,2020-08-09 00:00:00
Gullivers Travels HCJonathan Swift Vintage - Early 1900’s M.A. Donohue,13.32,2020-08-08 00:00:00
Gulliver's Travels - Jonathan Swift - Easton Press 1976  HC Nice!,18.0,2020-08-08 00:00:00
Gulliver's Travels [A Stepping Stone Book[TM]],3.83,2020-08-08 00:00:00
Gulliver's Travels Jonathan Swift Easton Press 1976 Collector's Edition ,28.85,2020-08-08 00:00:00
New Listing,21.81,2020-08-08 00:00:00
GULLIVER'S TRAVELS Jonathan Swift International Collectors Library Illustr Gold,11.49,2020-08-08 00:00:00
