title,price,date
"['The Perks of Being a Wallflower - Paperback By Chbosky, Stephen - VERY GOOD']",4.08,2020-07-30 00:00:00
"['The Perks of Being a Wallflower , Stephen Chbosky']",3.99,2020-07-30 00:00:00
['The Perks of Being a Wallflower'],4.49,2020-07-30 00:00:00
"['The Perks of Being a Wallflower , Chbosky, Stephen']",3.99,2020-07-30 00:00:00
['The Perks of Being a Wallflower'],4.1,2020-07-29 00:00:00
"['The Perks of Being a Wallflower by Chbosky, Stephen Paperback Book The Fast Free']",6.42,2020-07-29 00:00:00
"['The Perks of Being a Wallflower - Paperback By Chbosky, Stephen - GOOD']",4.08,2020-07-29 00:00:00
"['The Perks of Being a Wallflower by Stephen Chbosky (1999, Trade Paperback)']",3.8,2020-07-29 00:00:00
"['The Perks of Being a Wallflower , Stephen Chbosky']",3.69,2020-07-27 00:00:00
"['The Perks of Being a Wallflower by Stephen Chbosky (1999, Trade Paperback)']",5.1,2020-07-27 00:00:00
"['The Perks of Being a Wallflower , Chbosky, Stephen']",3.69,2020-07-27 00:00:00
"['The Perks of Being a Wallflower by Stephen Chbosky (1999, Trade Paperback)']",3.8,2020-07-26 00:00:00
"['The Perks of Being a Wallflower by Stephen Chbosky (2012, Trade Paperback)']",7.8,2020-07-26 00:00:00
['The Perks of Being a Wallflower'],4.49,2020-07-26 00:00:00
"['The Perks of Being a Wallflower by Stephen Chbosky (1999, Trade Paperback)']",4.8,2020-07-26 00:00:00
"['The Perks of Being a Wallflower - Paperback By Chbosky, Stephen - VERY GOOD']",3.99,2020-07-26 00:00:00
"['The Perks of Being a Wallflower - Paperback By Chbosky, Stephen - VERY GOOD']",4.99,2020-07-25 00:00:00
['Stephen Chbosky Signed Copy of The Perks of Being a Wallflower'],45.0,2020-07-25 00:00:00
['The Perks Of Being A Wallflower by Stephen Chbosky ~ Paperback ~ VG Condition '],4.7,2020-07-25 00:00:00
['The Perks of Being a Wallflower'],4.04,2020-07-24 00:00:00
['The Perks of Being a Wallflower Stephen Chbosky'],8.36,2020-07-23 00:00:00
['The Perks of Being a Wallflower by Stephen Chbosky - Very Good 2012 Paperback!!'],5.65,2020-07-23 00:00:00
