title,price,date
"Up from Slavery by Booker T. Washington (1968, Trade Paperback)",6.05,2020-08-11 00:00:00
"Up From Slavery by Booker T. Washington, signed by son of Booker T. Washington",150.0,2020-08-10 00:00:00
"Up from Slavery [Dover Thrift Editions] , Booker T. Washington",4.88,2020-08-10 00:00:00
UP FROM SLAVERY Booker T. Washington LARGE TYPE EASY READING Complete Unabridged,7.79,2020-08-10 00:00:00
Up From Slavery    Booker T. Washington     The Heritage Press,26.5,2020-08-09 00:00:00
"Up from Slavery: an Autobiography by Booker T. Washington (2015, Paperback)",9.59,2020-08-09 00:00:00
Booker T. Washington- Autobiography  - Up From Slavery-Abeka,7.8,2020-08-08 00:00:00
Up from Slavery (Dover Thrift Editions) by Booker T. Washington (Paperback 1995),6.63,2020-08-07 00:00:00
"Up From Slavery ~ Booker T Washington (1965, PB) Western Islands ~ VERY GOOD!",11.98,2020-08-06 00:00:00
"Up From Slavery, Booker T. Washington Autobiography Audiobook on 1 MP3 CD",5.49,2020-08-06 00:00:00
Up From Slavery Booker Washington 1965 an autobiography,19.44,2020-08-04 00:00:00
Up From Slavery By Booker T Washington (pb),6.85,2020-08-04 00:00:00
Up From Slavery by Booker T. Washington. 1963 Paperback,4.99,2020-08-03 00:00:00
Up from Slavery (Dover Thrift Editions) by Booker T. Washington ,6.79,2020-08-03 00:00:00
UP FROM SLAVERY by BOOKER T. WASHINGTON - HERITAGE PRESS -  HARDCOVER,15.33,2020-08-03 00:00:00
1977 UP FROM SLAVERY BOOKER T WASHINGTON  ILLUSTRATED FINE BINDING FRANKLIN GIFT,49.99,2020-08-03 00:00:00
Easton Press UP FROM SLAVERY (Masterpieces American Literature),31.86,2020-08-02 00:00:00
"Up From Slavery Booker T. Washington,  1st Print, Pocket Paperback, 1940 - Nice!",7.95,2020-08-02 00:00:00
BOOKER T. WASHINGTON UP FROM SLAVERY Heritage Press w/slipcover&Sandglass insert,15.16,2020-08-01 00:00:00
Slave Narratives: Up from Slavery : An Autobiography by Booker T. Washington...,10.02,2020-07-30 00:00:00
Up from Slavery (1901). by: Booker T. Washington : Autobiography by Booker T....,11.11,2020-07-30 00:00:00
"Up from Slavery by Booker T. Washington (2015, Paperback)",9.81,2020-07-30 00:00:00
"Up from Slavery : An Autobiography by Booker T. Washington (2013, Paperback)",18.1,2020-07-30 00:00:00
Easton Press • Up From Slavery Booker T Washington • Excellent Condition Leather,33.81,2020-07-29 00:00:00
Up from Slavery. autobiography   Booker T. Washington  1963. HCDJ  wbx1,23.0,2020-07-28 00:00:00
1901 Booker T Washington Up From Slavery School Edition Riverside Press,60.91,2020-07-28 00:00:00
Paperback Book Up From Slavery Booker T Washington  Bantam Book Edition  July 59,10.0,2020-07-27 00:00:00
A BEKA BOOKER T. WASHINGTON: UP FROM SLAVERY,13.58,2020-07-27 00:00:00
"Up from Slavery, Paperback by Washington, Booker T., Brand New, ",6.79,2020-07-27 00:00:00
Up From Slavery by Booker T. Washington,8.79,2020-07-27 00:00:00
UP FROM SLAVERY autobiography by Booker T. Washington - 1963 Doubleday HCDJ ,34.5,2020-07-26 00:00:00
BOOKER T. WASHINGTON ~ UP FROM SLAVERY ~ PAPERBACK,8.0,2020-07-26 00:00:00
Up from Slavery by Booker T. Washington (English) Mass Market Paperback Book Fre,8.6,2020-07-25 00:00:00
Up From Slavery   Booker T. Washington,15.33,2020-07-25 00:00:00
"Dover Thrift Editions: Up from Slavery by Booker T. Washington (1995, Paperback,",6.5,2020-07-23 00:00:00
***UP FROM SLAVERY BOOKER T. WASHINGTON Heritage Press 1970 Excellent ***,17.78,2020-07-21 00:00:00
"Up from Slavery : With Related Documents by Booker T. Washington (2002, Trade...",7.03,2020-07-20 00:00:00
Franklin Library: Booker T. Washington: Up From Slavery: Tuskegee Institute,50.0,2020-07-19 00:00:00
Heritage Press UP FROM SLAVERY Booker T. Washington SLIPCASE & BROCHURE,13.85,2020-07-19 00:00:00
UP FROM SLAVERY by  Booker T Washington Autobiography of a Slave to Statesman,16.36,2020-07-19 00:00:00
UP FROM SLAVERY by Booker T. Washington (1901) HARDCOVER,100.0,2020-07-16 00:00:00
Penguin Classics: Up from Slavery : An Autobiography by Booker T. Washington (19,5.43,2020-07-16 00:00:00
"Booker T. Washington UP FROM SLAVERY, limited ed, leather, Franklin - WITH NOTES",62.86,2020-07-15 00:00:00
Up from Slavery: An Autobiography (Penguin Classics) by Booker T. Washington ,14.15,2020-07-15 00:00:00
"Up from Slavery: an Autobiography by Booker T. Washington (2013, Paperback)",9.62,2020-07-13 00:00:00
"Uncle Tom's Cabin, Harriet Beecher Stowe & Up From Slavery, Booker T. Washington",32.5,2020-07-13 00:00:00
Up From Slavery by Booker T. Washington-An Autobiography-Paperback- Inspiring!!!,4.99,2020-07-08 00:00:00
Up From Slavery An Autobiography Booker T. Washington hc book 1971,13.84,2020-07-08 00:00:00
Booker T. Washington~UP FROM SLAVERY~1ST(Thus)/DJ~NICE COPY,14.94,2020-07-08 00:00:00
"""Up From Slavery"" Booker T. Washington, The Americanist Library 1965 VG PB",17.3,2020-07-07 00:00:00
Up From Slavery By Booker T Washington (pb),6.85,2020-07-07 00:00:00
Franklin Library: BOOKER T. WASHINGTON: UP FROM SLAVERY: TUSKEGEE INSTITUTE,55.0,2020-07-07 00:00:00
1977 ~ Franklin LIMITED EDITION ~ Up From Slavery ~ Booker T. Washington ~ Lthr,43.85,2020-07-07 00:00:00
"Hardcover Illustrated -UP FROM SLAVERY -Booker T Washington,1970,Heritage Press ",19.99,2020-07-06 00:00:00
"Dover Thrift Editions: Up from Slavery by Booker T. Washington (1995, Paperback,",6.5,2020-07-06 00:00:00
Up from Slavery: An Autobiography by Booker T Washington | Modern Library 100...,7.58,2020-07-06 00:00:00
"Up from Slavery by Booker T. Washington (2010, Paperback)",5.03,2020-07-06 00:00:00
"Up From Slavery, Booker T. Washington, The Franklin Library, Leather Bound 1977",34.95,2020-07-06 00:00:00
Up from Slavery by Booker T. Washington,6.3,2020-07-06 00:00:00
"Up From Slavery by Booker T. Washington, Limited Editions Club, 1970, Signed",29.95,2020-07-06 00:00:00
"1905 ""Up From Slavery: An Autobiography"" by Booker T. Washington",79.0,2020-07-06 00:00:00
"Up From Slavery by Booker T. Washington (2018, Paperback, Reprint) social scienc",7.95,2020-07-05 00:00:00
"Up from Slavery by Booker T. Washington (1995, Paperback, Reprint)",5.8,2020-07-03 00:00:00
