title,price,date
All Quiet on the Western Front - Mass Market Paperback - VERY GOOD,2.0,2020-08-11 00:00:00
ALL QUIET ON THE WESTERN FRONT 1929 First American Printing. Erich Remarque Book,18.0,2020-08-12 00:00:00
"Erich Maria Remarque, All Quiet on the Western Front, Little Brown Co 1989 HB DJ",6.44,2020-08-15 00:00:00
1966 Classics Illustrated All Quiet On The Western Front Comic Book,6.94,2020-08-17 00:00:00
"Oscar Winner Best Picture 1930!! All Quiet on the Western Front (DVD, 1999)",5.79,2020-08-18 00:00:00
All Quiet on the Western Front by E. M. Remarque 1929 1st US Ed. 1st Printing HC,25.32,2020-08-19 00:00:00
All Quiet on The Western Front | 1958 | Erich Maria Remarque,9.0,2020-08-21 00:00:00
"All Quiet on the Western Front, 1st Edition",8.33,2020-08-22 00:00:00
All Quiet on the Western Front & To Kill a Mockingbird -- 2 Classic Novels,6.81,2020-08-22 00:00:00
Game by Moments in History - All Quiet on the Western Front Unpunched,35.99,2020-08-27 00:00:00
"All Quiet on the Western Front (DVD, 1999)",3.8,2020-08-29 00:00:00
Classics Illustrated # 95 (HRN 99) - All Quiet On The Western Front Fine+ Cond.,30.25,2020-08-30 00:00:00
"All Quiet on the Western Front (Blu-ray/DVD, 2012, 2-Disc Set, Includes Digital",12.8,2020-09-01 00:00:00
May 1952 CLASSICS ILLUSTRATED: ALL QUIET ON THE WESTERN FRONT #95. 1st ORIGINAL!,14.03,2020-09-03 00:00:00
E. R. Remarque: ALL QUIET ON THE WESTERN FRONT 6CD Audio Book,26.9,2020-09-03 00:00:00
All Quiet on the Western Front by E. M. Remarque 1929 1st US Ed. 1st Printing HC,23.49,2020-09-03 00:00:00
All Quiet on the Western Front DVD RICHARD THOMAS ERNEST BORGNINE REGION 1,10.35,2020-09-11 00:00:00
Im Westen Nichts Neues (All Quiet On The Western Front),20.0,2020-09-18 00:00:00
All Quiet on the Western Front hardcover book pub. 1929 1st printing,11.33,2020-09-22 00:00:00
ALL QUIET ON THE WESTERN FRONT ACTOR LEW AYRES AUTOGRAPH with NO RESERVE!!,18.99,2020-09-24 00:00:00
"All Quiet on the Western Front (DVD, 2007, Universal Cinema Classics)",7.3,2020-09-24 00:00:00
All Quiet on the Western Front Ser.: All Quiet on the Western Front by Erich...,3.8,2020-09-24 00:00:00
ALL QUIET ON THE WESTERN FRONT 1929 HB UK 1st ED  20th PRINTING REMARQUE WWI,13.28,2020-09-25 00:00:00
"Erich Maria Remarque ALL QUIET ON THE WESTERN FRONT (1930) Reprint.War, Military",11.5,2020-09-25 00:00:00
ALL QUIET ON THE WESTERN FRONT by Erich Maria Remarque 1929 Hardcover 1st PRINT,32.33,2020-09-28 00:00:00
All Quiet on the Western Front Ser.: All Quiet on the Western Front by Erich...,3.79,2020-10-02 00:00:00
All Quiet on the Western Front by Erich Remarque 1929 Reprint of 1st Edition,39.63,2020-10-03 00:00:00
"All Quiet on the Western Front (Blu-ray/DVD, 2012, 2-Disc Set)",9.99,2020-10-04 00:00:00
"ALL QUIET ON THE WESTERN FRONT 1929 HB TRUE US 1st ED 1st PRINTING, REMARQUE WWI",20.28,2020-10-05 00:00:00
"All Quiet on the Western Front (Blu-ray/DVD, 2012, 2-Disc Set)",11.0,2020-10-06 00:00:00
"All Quiet on the Western Front (DVD, 2007, Universal Cinema Classics)",4.1,2020-10-08 00:00:00
All Quiet on the Western Front (Everyman's Library Contemporary Classics Series),11.43,2020-10-11 00:00:00
"All Quiet on the Western Front (DVD, 2002)",5.05,2020-10-11 00:00:00
"☆☆All Quiet on the Western Front (DVD, 2002)☆☆",4.8,2020-10-12 00:00:00
All Quiet on the Western Front Ser.: All Quiet on the Western Front by Erich...,3.79,2020-10-12 00:00:00
"☆☆All Quiet on the Western Front (DVD, 1930)☆☆",4.8,2020-10-15 00:00:00
"All Quiet on the Western Front (DVD, 1930) Lew Ayres, Louis Wolheim",5.49,2020-10-17 00:00:00
**ALL QUIET ON THE WESTERN FRONT* ERICH MARIA REMARQUE 1ST ED. BOOK LOT*,27.4,2020-10-26 00:00:00
All Quiet On The Western Front EASTON PRESS Remarque - Great 20th Century Books,36.42,2020-10-27 00:00:00
Fahrenheit 451 by R. Bradbury and All Quiet on the Western Front by E. Remarque ,3.8,2020-10-29 00:00:00
Signed Ben Alexander Dragnet Batman Alls Quiet On The Western Front Autograph ,36.99,2020-10-30 00:00:00
"All Quiet on the Western Front (DVD, 1930/ 2007, Full Screen) Lewis Milestone",5.05,2020-10-31 00:00:00
all quiet on the western front The Illustrated Edition. Remarque,4.58,2020-10-31 00:00:00
All Quiet On The Western Front | Easton Press Famous Edition Leather-bound Book,47.5,2020-11-01 00:00:00
"All Quiet on the Western Front, Erich Remarque, Folio Society: Slipcased: 1966",52.43,2020-11-02 00:00:00
"All Quiet on the Western Front, Erich Remarque, Folio Society: Slipcased: 1966",53.99,2020-11-02 00:00:00
All Quiet on the Western Front - Erich Maria Remarque 1929 Little Brown and Co.,6.75,2020-11-03 00:00:00
1929 ALL QUIET ON THE WESTERN FRONT 1ST EDITION 1ST PRINTING REMARQUE,25.3,2020-11-08 00:00:00
"All Quiet On The Western Front - DVD - Richard Thomas, Donald Pleasance - 1979",4.24,2020-11-09 00:00:00
"1929 All Quiet On The Western Front, Erich Maria Remarque 1st ed./2nd, HC Boston",13.32,2020-11-10 00:00:00
ALL QUIET ON THE WESTERN FRONT  1958 paperback,4.13,2020-11-14 00:00:00
3 World War I ~ Guns of August + All Quiet on the Western Front + Book of 1918,7.75,2020-11-15 00:00:00
ALL QUIET ON THE WESTERN FRONT DVD NEW,4.58,2020-11-16 00:00:00
All Quiet on the Western Front 1st edition,57.33,2020-11-19 00:00:00
1929 ALL QUIET ON THE WESTERN FRONT 1ST EDITION 1ST PRINTING REMARQUE,13.49,2020-11-20 00:00:00
ALL QUIET ON THE WESTERN FRONT (1979) - ORIG. UK QUAD POSTER,54.38,2020-11-21 00:00:00
ALL QUIET ON THE WESTERN FRONT by Remarque ~ Easton Press Famous Editions,48.3,2020-11-22 00:00:00
All Quiet on the Western Front - Erich Maria Remarque 1929 ,38.36,2020-11-23 00:00:00
All Quiet On The Western Front 1930 Movie Sheet Music,20.04,2020-12-02 00:00:00
All Quiet on the Western Front Ser.: All Quiet on the Western Front by Erich...,4.3,2020-12-02 00:00:00
Vintage Hardback All Quiet on the Western Front Erich Maria Remarque 1929 Book,8.32,2020-12-03 00:00:00
All Quiet on the Western Front 1929 Erich Maria Remarque August Reprint,12.0,2020-12-06 00:00:00
All Quiet on the Western Front 1st Edition (1929),14.64,2020-12-07 00:00:00
Easton Press All Quiet on the Western Front HC Leather excellent condition,49.0,2020-12-08 00:00:00
ALL QUIET ON THE WESTERN FRONT DVD,5.0,2020-12-11 00:00:00
Easton Press ALL QUIET ON THE WESTERN FRONT Remarque Famous Editions WWI,68.86,2020-12-11 00:00:00
"Remarque, Erich Maria   All Quiet on the Western Front    1929 1st ED",175.0,2020-12-12 00:00:00
"All Quiet on the Western Front (DVD, 1930)",4.8,2020-12-15 00:00:00
ALL QUIET ON THE WESTERN FRONT Remarque Easton Press Collector Famous Editions,35.39,2020-12-17 00:00:00
Easton Press ALL QUIET ON THE WESTERN FRONT by Remarque Leather Excellent Cond,40.39,2020-12-17 00:00:00
Easton Press Collector’s Edition-All Quiet On The Western Front,49.86,2020-12-18 00:00:00
1st Ed. 1st Printing. All Quiet on the Western Front by Erich Maria Remarque.,11.33,2020-12-18 00:00:00
"Verlinden 120mm ""All Quiet on the Western Front"" WWI Vignette w/Base 1925",44.75,2020-12-19 00:00:00
All Quiet on the Western Front blu ray FREE SHIPPING ,9.99,2020-12-20 00:00:00
All Quiet on the Western Front 1929 Little Brown 1st printing,50.9,2020-12-21 00:00:00
"All Quiet on the Western Front (Blu-ray/DVD, 2012, 2-Disc Set, Includes...",23.5,2020-12-23 00:00:00
All Quiet on the Western Front by Erich Maria Remarque Paperback Classic,4.29,2020-12-26 00:00:00
all quiet on the western front Lp Punk Maximum Rock N Roll Buzzcocks 12” Record,14.33,2020-12-27 00:00:00
All Quiet on the Western Front (Book) by Erich Maria Remarque #544,33.46,2021-01-06 00:00:00
ALL  QUIET  ON  THE  WESTERN  FRONT  BY  ERICH  MARIA  REMARQUE -  1966 EDITION,50.59,2021-01-09 00:00:00
Classics Illustrated 95 1st Edition HRN 96 All Quiet on the Western Front VG,9.95,2021-01-10 00:00:00
