sale_condition,groupA,groupB,groupC,title,price,date
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon Rebel XTi DSLR Camera with EF-S 18-55mm f/3.5-5.6 Lens - Black,97.91,2020-08-15
Auction,calculator,Cameras,Canon EOS Digital Rebel,"Canon EOS Rebel T2i / EOS 550D Digital SLR Camera with 2  Lens 18-55, EF 50mm ",183.4,2020-08-15
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon EOS Rebel T6i 24.2MP Digital SLR Camera with Lens Battery & charger ,257.5,2020-08-15
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon EOS Rebel T3i 18.0MP Digital SLR Camera - Black (Kit with EF-S 18-55mm f/…,221.7,2020-08-15
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon EOS Rebel T3i 18.0MP Digital SLR Camera Black Kit with EF-S 18-55mm Bundle,215.2,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon EOS Rebel T6i 24.2MP DSLR Camera w/ EF-S 18-55mm f/3.5-5.6 IS lens,447.41,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,"Canon EOS Rebel T6 Digital SLR Camera with 2 Lenses, Case, and More M# DS126621",244.1,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon EOS Rebel SL1 18.0MP Digital SLR Camera - Black (with 18-55mm STM Lens),228.64,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon EOS Rebel T3I 18 MP Digital SLR Camera - Black w EF-S 18-55 - Black,167.7,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,CANON EOS REBEL T1I 500D DIGITAL CAMERA,99.0,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon EOS Rebel T5 18.0MP Digital SLR Camera - Black (Kit w/ EF-S 18-55mm Lens),273.0,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,"Canon EOS Rebel T1i DSLR  Camera Body, Used, With battery grip",82.9,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon EOS Rebel T3 12.2MP Digital SLR Camera - All contents shown in pictures ,102.95,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon EOS Rebel XT Digital Camera with EF-S 18-55mm Lens,65.65,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon EOS Rebel T6 Digital Camera Body Only Used DS126621,165.9,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,CANON EOS REBEL T7I DSLR CAMERA BODY | 1894C002 | 24.2MP | BLACK,454.06,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon EOS Rebel T6 18.0MP Digital SLR - Black With 18-55mm IS II Lens,217.75,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon Eos Rebel T6 Dslr Camera,230.55,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,CANON EOS Rebel T1i / EOS 500D 15.1MP Digital SLR Camera - Black (Kit w/ EF-S...,111.99,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon EOS Rebel SL1 18.0MP Digital SLR Camera - Black (Kit with 18-55mm STM...,235.2,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon EOS Rebel T7i 24.2 MP Digital SLR Camera - Black (Body Only),468.7,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon Rebel XTi DSLR Camera with EF-S 18-55mm Lens Battery & Charger w/Case,122.5,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon EOS Rebel T2i / EOS 550D 18.0MP Digital Camera - Black/ Body Only,140.0,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon EOS Rebel T7i / EOS 800D 24.2MP Digital SLR Camera - Black (Kit w/ EF-S...,546.55,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,SLIGHTLY USED CANON REBEL T1i EOS DIGITAL CAMERA W/ ALL ORIGINAL COMPONENTS,152.9,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon EOS Digital Rebel XS / EOS 1000D 10.1MP Digital SLR Camera - 75-300mm lens,289.99,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,"Canon EOS Rebel T3i 18.0MP DSLR with EF-S 18-55mm, Lowepro case, travel charger",221.7,2020-08-16
Auction,calculator,Cameras,Canon EOS Digital Rebel,Canon EOS Rebel SL1 / EOS 100D 18.0MP Digital SLR Camera - Black W/ SIGMA 18-250,294.0,2020-08-16
