title,price,date
"Crime and Punishment by Fyodor Dostoevsky, 1953, Internat'l Collectors Lib.",12.5,2020-08-11 00:00:00
Very Old Crime and Punishment by Fyodor Dostoyevsky,29.33,2020-08-12 00:00:00
Crime and Punishment #19 GD+ 2.5,10.0,2020-08-14 00:00:00
"Dover Thrift Editions Ser.: Crime and Punishment by Fyodor Dostoevsky (2001,...",3.9,2020-08-14 00:00:00
Crime and Punishment; Easton Press; Leather; Sealed,47.39,2020-08-15 00:00:00
Crime and Punishment by Feodor Dostoevsky FRANKLIN LIBRARY 1982,18.5,2020-08-16 00:00:00
“CRIME AND PUNISHMENT IN EARLY MARYLAND” ~ SEMMES HOPKINS ~ FIRST EDITION 1938,10.99,2020-08-16 00:00:00
FRANKLIN LIBRARY LEATHER BOUND CRIME AND PUNISHMENT BY DOSTOEVSKY,26.0,2020-08-17 00:00:00
CRIME AND PUNISHMENT IN SUBURBIA DVD,3.26,2020-08-17 00:00:00
"Forensic Analysis of the April 11,1986 FBI Miami Firefight by W. French Anderson",37.0,2020-08-18 00:00:00
"Franklin Library Crime and Punishment by Fyodor Dostoevsky, Leatherette ",16.0,2020-08-18 00:00:00
"Crime and Punishment by Fyodor Dostoevsky, Easton Press",31.99,2020-08-19 00:00:00
"New Perspectives in Crime, Deviance, and Law Ser.: Punished : Policing the Lives",13.8,2020-08-19 00:00:00
Crime and Punishment - English - DMP - Osamu Tezuka,96.75,2020-08-20 00:00:00
"CRIME and PUNISHMENT, Feodor Dostoevsky, 1982 Franklin Library, Signed",21.05,2020-08-20 00:00:00
 Crime and Punishment Easton Press Leather Bound NO RESERVE,33.39,2020-08-20 00:00:00
"CRIME and PUNISHMENT, Feodor Dostoevsky, 1982 Franklin Library, Signed",29.55,2020-08-21 00:00:00
EASTON PRESS Crime and Punishment by Dostoevsky Leather Bound,30.39,2020-08-22 00:00:00
CRIME AND PUNISHMENT Fyodor Dostoevsky 1963 HC/DJ Illustrated First Thus,13.98,2020-08-22 00:00:00
"Easton Press Crime And Punishment Leather Bound, 1966 W/ Original Receipt",15.0,2020-08-23 00:00:00
1952 CRIME And PUNISHMENT Comic Book #54 CGC 5.0 Golden Age Electric Chair Cover,40.9,2020-08-23 00:00:00
The Spectre--Crimes and Punishment TPB-Collects issues # 1-4--Glow in Dark Cover,7.95,2020-08-23 00:00:00
Crime and Punishment (Franklin Library 1982) Feodor Dostoevsky,26.0,2020-08-24 00:00:00
ANTIQUE FYODOR DOSTOYEVSKY BOOK LOT CRIME AND PUNISHMENT THE POSSESSED SET,19.99,2020-08-24 00:00:00
Franklin Library CRIME AND PUNISHMENT Fyodor Dostoevsky 1975 Limited Edition,28.86,2020-08-25 00:00:00
Crimes and Punishment: The Illustrated Crime Encyclopedia / 28 Book Set MINT!!!!,70.0,2020-08-26 00:00:00
"Dover Thrift Editions Ser.: Crime and Punishment by Fyodor Dostoevsky (2001,...",4.79,2020-08-27 00:00:00
"Crime and Punishment by Fyodor Dostoevsky (2006, Compact Disc)",6.79,2020-08-27 00:00:00
Crime And Punishment - Fyodor Dostoevsky,4.53,2020-08-29 00:00:00
"New Perspectives in Crime, Deviance, and Law Ser.: Punished : Policing the Lives",10.3,2020-08-29 00:00:00
Crime and Punishment #49 Golden Age Lev Gleason Comic 1952 Sharp Copy FN/VF,28.31,2020-08-30 00:00:00
"Crime and Punishment, Fyodor Dostoyevesky, Modern Library, HB",9.95,2020-08-30 00:00:00
Crime And Punishment By Fyodor Dostoevsky - Vintage 1956 Hardcover Book,6.33,2020-08-30 00:00:00
Fyoder Dostoevsky Crime and Punishment Easton Press 1975 Belgium leather book,29.17,2020-08-31 00:00:00
