title,price,date
john steinbeck east of eden Complete Unabridged Bantam Fifty Paperback,8.86,2020-08-15 00:00:00
"East of Eden by John Steinbeck (2003, Trade Paperback, Anniversary)",4.32,2020-08-14 00:00:00
"East of Eden by John Steinbeck, Sears Readers Club, Bite error HB with DJ.",15.33,2020-08-14 00:00:00
"EAST OF EDEN JOHN STEINBECK 1952  FIRST EDITION, 1ST HARD BACK, VIKING",175.64,2020-08-12 00:00:00
EAST OF EDEN First Edition Library Facsimile  John Steinbeck with BITE Error ,33.28,2020-08-12 00:00:00
"TV Guide Feb 7,1981 Jane Seymour East of Eden NY Metro Edition",3.79,2020-08-10 00:00:00
EAST OF EDEN~John Steinbeck 1952~First Edition - First Printing - Fine!,154.95,2020-08-10 00:00:00
East of Eden by John Steinbeck. First Published by The Viking Press Sept 1952,39.99,2020-08-09 00:00:00
"East of Eden by John Steinbeck (1992, Library Binding, Prebound edition)",4.8,2020-08-09 00:00:00
"East of Eden by John Steinbeck (2003, Hardcover)",5.58,2020-08-08 00:00:00
"East of Eden by John Steinbeck (2003, Trade Paperback, Anniversary)",4.32,2020-08-08 00:00:00
"East of Eden (Penguin Audio Classics) - Audio CD By Steinbeck, John - GOOD USED",17.99,2020-08-04 00:00:00
"*EAST OF EDEN by JOHN STEINBECK 1952 1st EDITION w/TYPO ""BITE"" ON PAGE 281*",23.83,2020-08-02 00:00:00
"John Steinbeck, East of Eden hardcover 1952 International Collectors Library, M-",29.32,2020-08-02 00:00:00
John Steinbeck NICE COPIES! Never Read Vintage East Of Eden & Grapes Of Wrath,7.35,2020-07-29 00:00:00
East Of Eden by John Steinbeck (P/B 1959 Bantam),5.49,2020-07-27 00:00:00
"*EAST OF EDEN by JOHN STEINBECK 1952 1st EDITION w/TYPO ""BITE"" ON PAGE 281*",91.33,2020-07-25 00:00:00
"EAST OF EDEN by John Steinbeck, 1st Edition 2nd Printing before Publication 1952",15.86,2020-07-24 00:00:00
East Of Eden by John Steinbeck,9.99,2020-07-22 00:00:00
East of Eden by John Steinbeck excellent hardcover edition,25.5,2020-07-19 00:00:00
EAST of EDEN John Steinbeck 1952 HC/DJ - EXCELLENT CONDITION,18.81,2020-07-18 00:00:00
