title,price,date
FUJIFILM Finepix A820 Digital Camera works great  fuji film silver ,29.99,2020-08-11 00:00:00
Fujifilm Finepix A345 4.1mp Digital Camera With 3x Optical Zoom,14.8,2020-08-11 00:00:00
Fujifilm FinePix A Series A345 4.1MP Digital Camera - Silver Tested Works,15.49,2020-08-11 00:00:00
"Fujifilm FinePix A600 6.3MP Digital Camera - Silver - w Software, Manual",19.19,2020-08-11 00:00:00
Fujifilm FinePix A235 12.0MP Digital Camera - Good Condition - Fully Working,31.86,2020-08-11 00:00:00
"Fujifilm Finepix AX655 (Black) 16MP Digital Camera, Clean, Complete",39.0,2020-08-12 00:00:00
Fujifilm FinePix A Series A805 8.3MP Digital Blue Camera~~Nr Mint~~Bundle~~ ,29.99,2020-08-13 00:00:00
FUJI FINEPIX S1000 10 MP Digital Camera 12X Optical Zoom Excellent Hardly Used ~,58.95,2020-08-14 00:00:00
Fuji FinePix A Series A610 6.3 MP Digital Camera Silver w/ Memory Card,21.14,2020-08-14 00:00:00
Fujifilm Finepix A303 Digital Camera 3.24 MP 3.0x Zoom Great Shape Oriignal Box,19.68,2020-08-15 00:00:00
FujiFilm FinePix A330 3.2MP Digital Camera with 3x Optical Zoom Complete -WORKS,25.9,2020-08-16 00:00:00
FUJI FINEPIX S1000 10 MP Digital Camera 12X Optical Zoom Excellent Hardly Used ~,39.98,2020-08-17 00:00:00
FUJIFILM Finepix A820 Digital Camera Silver,32.31,2020-08-18 00:00:00
Fujifilm FinePix A Series AX560 16.0MP Digital Camera~Black~~Excellent~~Bundle~ ,39.99,2020-08-19 00:00:00
Fujifilm FinePix A Series A605 3.1MP Digital Camera with case - VGC and Tested,34.04,2020-08-20 00:00:00
Fujifilm FinePix 2650 2.0MP Digital Camera - Metallic Silver Case Instructions,16.88,2020-08-21 00:00:00
Fujifilm FinePix AX300 14 MP Digital Camera 5x Wide Angle Optical Zoom,19.8,2020-08-22 00:00:00
Fujifilm FinePix A Series A825 8.3MP Digital Camera - Silver,14.99,2020-08-22 00:00:00
"FUJIFILM A210 3.2 MP, 3X OPTICAL ZOOM FINEPIX DIGITAL CAMERA WITH BOX AND EXTRAS",24.85,2020-08-24 00:00:00
Fujifilm FinePix A Series A900 9.0MP Digital Camera - Silver,11.07,2020-08-25 00:00:00
Mint w/ Warranty Fujifilm FinePix A Series A820 8.3MP Digital Camera bundle,24.75,2020-08-25 00:00:00
Fujifilm FinePix A Series AV200 14.0MP Digital Camera - Black,17.99,2020-08-27 00:00:00
Fujifilm FinePix A Series A825 8.3MP Digital Camera  4 X optical zoom Grey #728,38.12,2020-08-29 00:00:00
Fujifilm FinePix A Series AX560 16.0MP Digital Camera - Black,41.04,2020-08-29 00:00:00
"Fujifilm FinePix A Series A500 5.1MP Digital Camera - Silver, Bundle with Case",17.99,2020-08-31 00:00:00
Fujifilm FinePix A Series A850 8.1MP Digital Camera - Silver,15.99,2020-09-01 00:00:00
