sale_condition,groupA,groupB,groupC,title,price,date
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm FinePix J Series J10 8.2MP Digital Camera-Silver,3.09,2020-08-13
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm FinePix J Series J10 8.2MP Digital Camera - Black,6.57,2020-08-22
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm FinePix J Series J38 12.2MP Digital Camera - Black,36.5,2020-08-23
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm FinePix J32 12.2MP Digital Compact Camera - Red,16.43,2020-08-24
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fuji Finepix J210 digital camera 10 megapixels. 5x zoom. Boxed and immaculate,70.83,2020-08-25
Auction,calculator,Cameras,Fujifilm FinePix J Series,Camera - Digital Fujifilm FINEPIX J15fd,65.56,2020-08-25
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm FinePix J Series J37 12.2MP Digital Camera,2.5,2020-08-30
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm FinePix J Series J30 12.2MP Digital Camera - Blue,16.43,2020-08-30
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm FinePix J Series 10MP Digital Camera - Blue,6.57,2020-09-01
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm FinePix J Series J10 8.2MP Digital Camera - Black,34.0,2020-09-02
Auction,calculator,Cameras,Fujifilm FinePix J Series,"FUJiFILM FINEPIX J30  digital camera, SD card not included",6.57,2020-09-07
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm finepix J210,64.57,2020-09-08
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm finepix j29 digital camera,13.8,2020-09-12
Auction,calculator,Cameras,Fujifilm FinePix J Series,"Fujifilm Finepix J110w Digital Camera, Excellent Condition ",6.82,2020-09-13
Auction,calculator,Cameras,Fujifilm FinePix J Series,"Fujifilm Finepix J32 12.2 MP digital camera 3x opticalzoom 2.7"" LCD unused boxed",26.29,2020-09-25
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm FinePix J Series J100 10.0MP Digital Camera - Black,7.23,2020-09-26
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm FinePix J Series J30 12.2MP Digital Camera - Black,66.57,2020-09-26
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm FinePix J Series J10 8.2MP Digital Camera w/ box manuals charger cords,4.99,2020-09-30
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm FinePix J Series J10 8.2MP Digital Camera w/ box manuals charger cords,12.49,2020-09-30
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm JX580 Digital Camera,18.41,2020-10-01
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm FinePix J Series J15fd Digital Camera with Memory Card and Camera Case,13.14,2020-10-04
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm JX580 Digital Camera,4.39,2020-10-05
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm Finepix J210 Digital Camera,7.89,2020-10-06
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm FinePix J Series J15fd Digital Camera with Memory Card and Camera Case,11.83,2020-10-06
Auction,calculator,Cameras,Fujifilm FinePix J Series,Digital Camera Fujifilm FinePix j29 10.2 mega pixels digital Camera,13.8,2020-10-07
Auction,calculator,Cameras,Fujifilm FinePix J Series,"Fujifilm FinePix S Series S8600 Digital Camera - Black 16MP, 36x Optical Zoom) ",45.24,2020-10-07
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm FinePix A Series AX650 16.0MP Digital Camera - Black,28.9,2020-10-11
Auction,calculator,Cameras,Fujifilm FinePix J Series,Fujifilm FinePix S Series S5200 5.1MP Digital Camera Photography Great Condition,35.9,2020-10-11
