title,price,date
"CLAUDIUS, Augustus Crowns Julius Caesar in Philippi, Imperial Roman Emperor Coin",12.48,2020-08-15 00:00:00
ROMAN SILVER DENARIUS  OF JULIUS CAESAR RARE!!,26.5,2020-08-14 00:00:00
"Julius Caesar AR Denarius. Military mint travelling with Caesar in Spain, 46-45 ",490.0,2020-08-12 00:00:00
Julius Caesar. 49-48 B.C. AR denarius.,131.5,2020-08-07 00:00:00
"Julius Caesar 48 BC. Roman Silver Denarius coin, ELEPHENT RARE !",141.5,2020-08-04 00:00:00
"Julius Caesar  48 BC. Roman Silver Denarius coin, ELEPHENT RARE !",260.55,2020-07-30 00:00:00
"Julius Caesar 48 BC. Roman Silver Denarius coin, ELEPHENT RARE !",129.0,2020-07-29 00:00:00
"Extremely Rare Roman Silver Coin , Denarius Julius Caesar / Elephant -3.67 g.",450.55,2020-07-26 00:00:00
13   Silver Denarius of Julius Caesar,56.24,2020-07-26 00:00:00
6   Silver Denarius of Julius Caesar,82.46,2020-07-26 00:00:00
THE CAESARIANS. JULIUS CAESAR. APRIL-AUGUST 49 BC. AR DENARIUS SILVER COIN,290.96,2020-07-26 00:00:00
Rome Ancient Silver Denarius Julius Caesar AR 48 BC. Elephant Snake,154.99,2020-07-26 00:00:00
"Antioch tetradrachm, Julius Caesar Supremacy struck on 2nd aniv of Ides of March",206.0,2020-07-26 00:00:00
014. Roman Silver Coin. JULIUS CAESAR. AR Denarius. Rome. L. Mussidius Longus,110.0,2020-07-25 00:00:00
013. Roman Silver Coin. JULIUS CAESAR. AR Denarius. Rome. L. Mussidius Longus,179.5,2020-07-25 00:00:00
Julius Caesar AR Denarius War Elephant & Pontifical Tools,151.5,2020-07-21 00:00:00
THE CAESARIANS. JULIUS CAESAR. APRIL-AUGUST 49 BC. AR DENARIUS SILVER COIN,318.16,2020-07-19 00:00:00
Julius Caesar Big Roman AS Coin ,11.25,2020-07-18 00:00:00
Julius Caesar. 49-48 B.C. AR denarius.,203.5,2020-07-17 00:00:00
"Julius Caesar AR Denarius Coin (49-44 BC, Venus, Military Mint - Vercigetorix",320.0,2020-07-15 00:00:00
CONSIDIA 2 SILVER DENARIUS____Roman Republic____ADHERENT OF CAIUS JULIUS CAESAR,103.0,2020-07-12 00:00:00
"Extremely Rare Roman Silver Coin , Denarius Julius Caesar / Elephant -3.67 g.",115.53,2020-07-12 00:00:00
"Extremely Rare Roman Silver Coin , Denarius Julius Caesar / Elephant -3.70 g.",265.55,2020-07-12 00:00:00
Roman Republic Silver Denarius 49 BC JULIUS CAESAR War Elephant Pontifical Tools,460.0,2020-07-12 00:00:00
Julius Caesar. 49-48 B.C. AR denarius.,337.0,2020-07-03 00:00:00
Roman Republic Silver Denarius 48-47 BC JULIUS CAESAR Venus Aeneas & Anchises,397.01,2020-06-30 00:00:00
"Extremely Rare Roman Silver Coin , Denarius Julius Caesar  -3.59 g.",110.55,2020-06-29 00:00:00
CARISIA 3 SILVER DENARIUS_______Roman Republic_______TRIUMPHS OF JULIUS CAESAR,78.0,2020-06-28 00:00:00
Caius Julius Caesar Silver AR Denarius Roman ancient coin war elephant 49 BC,378.19,2020-06-27 00:00:00
13   Silver Denarius of Julius Caesar,149.32,2020-06-27 00:00:00
6   Silver Denarius of Julius Caesar,106.06,2020-06-27 00:00:00
Julius Caesar silver denarius Elephant trampling snake 49-48 BC,223.5,2020-06-27 00:00:00
Vercingetorix 42-45 B.C. longest Enemy of Rome Surrendered to Julius Caesar Rare,11.5,2020-06-21 00:00:00
ROMAN IMPERATORIAL JULIUS CAESAR 49-48 BC OBV ELEPHANT rV PRIESTLY IMPLEMENTS #2,85.56,2020-06-21 00:00:00
ROMAN IMPERATORIAL JULIUS CAESAR 49-48 BC OBV ELEPHANT rV PRIESTLY IMPLEMENTS #1,79.0,2020-06-21 00:00:00
"Extremely Rare Roman Silver Coin , Denarius Julius Caesar  -3.59 g.",106.55,2020-06-21 00:00:00
"Verry Rare Roman Silver Coin , Denarius Julius Caesar / Elephant  -3.61 g.",201.45,2020-06-21 00:00:00
"Julius Caesar. April-August 49 BC. AR Denarius, Elephant",127.02,2020-06-20 00:00:00
"Extremely Rare Roman Silver Coin , Denarius Julius Caesar / Elephant -3.65 g.",168.04,2020-06-14 00:00:00
Rome Ancient Silver Denarius Julius Caesar AR 48 BC. Elephant Snake,58.99,2020-06-14 00:00:00
"JULIUS CAESAR AR DENARIUS - VENUS and AENEAS. 3,83 GRS",81.75,2020-06-13 00:00:00
 ROMAN REPUBLIC -  JULIUS CAESAR  - VENUS  AR Denarius  - 44 BC S. Macer moneyer,326.0,2020-06-12 00:00:00
Julius Caesar silver denarius Elephant trampling snake 49-48 BC,271.0,2020-06-11 00:00:00
Rome Ancient Silver Denarius Julius Caesar AR 48 BC. Elephant Snake,160.5,2020-06-07 00:00:00
54  Silver denarius Julius Caesar,34.74,2020-06-06 00:00:00
Roman Ancient Silver Denarius Julius Caesar 46 BC.,77.99,2020-05-25 00:00:00
"Denarius, Julius Caesar 49bc, 3.53g, Purchased 2004 Grune Auction Heidelberg",346.85,2020-05-17 00:00:00
