title,price,date
Leica CL 35mm Rangefinder Film Camera with SUMMICRON-C 40mm F2 Lens Good Shape,951.0,2020-08-14 00:00:00
"Leica CL JAHRE 50th Anniversary body, cap/case/BOX MINTY US SELLER ""LQQK""",1029.99,2020-08-13 00:00:00
[NEAR MINT] Leitz Minolta CL Rangefinder 35mm Film Camera Leica M Mount JAPAN,424.98,2020-08-09 00:00:00
【Near MINT】 Leica CL Rangefinder 35mm Film Camera Hard&Soft Case from JAPAN T066,569.9,2020-07-29 00:00:00
Meter Works【EXC++++】 Leica Leitz CL Rangefinder Camera M Mount Ship DHL JAPAN,439.99,2020-07-23 00:00:00
Leica CL 35mm Rangefinder Film Camera with SUMMICRON-C 40mm F2 Lens Good Shape,1069.95,2020-07-22 00:00:00
"Leica CL 35mm Rangefinder Camera with Cap, Case & Strap",417.0,2020-07-21 00:00:00
【NEAR MINT】Leica CL 35mm Rangefinder Film Camera Body Only Leica M From JAPAN,504.99,2020-07-16 00:00:00
【EXC+++++】 Leica Leitz Minolta CL Rangefinder Film Camera Body from JAPAN 649,439.9,2020-07-11 00:00:00
Leica CL - 1308459,528.0,2020-07-10 00:00:00
✈︎FedEx✈︎ *S/N 143XXX* LEICA CL RANGEFINDER 35MM FILM CAMERA LEICA M MOUNT JAPAN,489.89,2020-07-08 00:00:00
LEICA CL 35mm Film Camera Body Only Leitz Rangefinder As Is Read,337.95,2020-07-05 00:00:00
Leica CL Rangefinder Film Camera Body! USPS 2-3 days w/ tracking + insur!!!!!!!!,589.0,2020-07-02 00:00:00
^Leica Leitz [14825] CL/CLE Combination Carry Case,76.89,2020-07-02 00:00:00
Leica CL Rangefinder Film Camera Body [meter inop]                          #094,249.0,2020-06-30 00:00:00
"Leica C1 Zoom 35mm roll Camera, Chrome point and shoot ""AS IS""",54.0,2020-06-30 00:00:00
Leica CL Rangefinder Film Camera Body SN #1428285,585.0,2020-06-22 00:00:00
【Near MINT 2Lens】 Leica Leitz Minolta CL Rangefinder Camera 40mm 90mm from JAPAN,1019.9,2020-06-20 00:00:00
✈︎FedEx✈︎ *EXC+4* LEITZ MINOLTA CL RANGEFINDER 35MM FILM CAMERA LEICA M MOUNT JP,359.89,2020-06-14 00:00:00
"Leitz   Leica CL  body only, very clean",400.0,2020-06-13 00:00:00
Very Good!! Leica CL 35mm Rangefinder Film Camera Body,418.0,2020-06-12 00:00:00
Leitz Minolta CL (Leica M mount) w/ Voigtlander 40mm f1.4 & 5 rolls of film!,736.85,2020-06-12 00:00:00
Leica CL Camera Hand Grip (Black matte),41.41,2020-06-12 00:00:00
Tested! {MINT} LEICA CL Rangefinder SLR 35mm Film Camera Leitz Minolta JAPAN 384,539.98,2020-06-12 00:00:00
[NEAR MINT] Leitz Minolta CL Rangefinder 35mm Film Camera Leica M Mount JAPAN,439.98,2020-06-10 00:00:00
【N.MINT】Leitz Minolta CL Rangefinder 35mm Film Camera Leica Mount From Japan #40,434.99,2020-06-02 00:00:00
【Near Mint】 Leitz Minolta CL w/M-Rokkor 90mm F4 Lens Leica Mount From Japan #045,634.99,2020-06-01 00:00:00
Excellent Leica Black CL Film Camera Body With Case #31115,468.0,2020-05-31 00:00:00
Leitz Minolta CL (Leica) Rangefinder M Mount Body - Late Model Serial Number,343.44,2020-05-30 00:00:00
Leica CL 50 Jarhe Anniversary 35mm Film Camera With 40mm Summicron   f/2 Lens,995.0,2020-05-24 00:00:00
Leica CL Rangefinder Film Camera Body [light meter inop.] #017,249.0,2020-05-20 00:00:00
