title,price,date
Leica D-lux 7 Digital Camera - Silver,830.0,2020-10-02 00:00:00
LEICA D-LUX Type 109 Germany 12.8 Megapixel black DIGITAL CAMERA,573.91,2020-10-07 00:00:00
Leica D-lux 7 Digital Camera - Silver Mint Condition + Accessories + Batteries ,870.37,2020-10-08 00:00:00
Leica D-LUX TYP 109 Digital Camera 12.8 M/P ,463.7,2020-10-10 00:00:00
Leica D-Lux (Type 109) 12.8 Megapixel Digital Camera 3.0-Inch LCD Black Bundle,720.0,2020-10-11 00:00:00
Leica D-lux 7 Digital Camera - Silver,860.0,2020-10-12 00:00:00
Leica D-LUX 4 10.1MP Digital Camera - Black with Accesories,168.2,2020-10-12 00:00:00
Leica D-LUX 4 10.1MP Digital Camera - Black,287.55,2020-10-13 00:00:00
"Leica D-lux 7 Digital Camera - Silver-with Gariz Half-case, Plus More",745.0,2020-10-18 00:00:00
"[MINT] Leica D-LUX 7 4K W/ Vario-Summilux Lens, Original Box and Extra Battery",761.75,2020-10-20 00:00:00
Leica d-lux 6 With Leather Case,400.05,2020-10-25 00:00:00
Leica D-lux 7 Digital Camera - Silver,876.9,2020-10-31 00:00:00
KILLER BUNDLE! LEICA D-LUX (Type 109) Digital Camera (Black) 12.8 MP,517.99,2020-11-03 00:00:00
leica d-lux 109,324.7,2020-11-04 00:00:00
"Leica D-lux 7 Digital Camera - Silver W Grip, Filters (2)",883.95,2020-11-06 00:00:00
Leica D-Lux TYP 109 Digital Camera 12.8 M/P - Black,455.0,2020-11-08 00:00:00
"Leica D-Lux 5 Camera with Many Accessories, 2 Batteries, Case, Auto Lens Cap etc",165.0,2020-11-08 00:00:00
Leica D-Lux 6,300.0,2020-11-10 00:00:00
"Leica D-lux 7 Digital Camera - Silver With Leica Case, 2 Batteries, Flash",900.0,2020-11-11 00:00:00
Boxed Leica D-Lux 2003 Digital Camera w/3X zoom NEW battery and accessories case,166.3,2020-11-13 00:00:00
"Leica D-lux 7 Digital Camera Silver w /filters,battery,original box,flash, sd",915.0,2020-11-14 00:00:00
Leica D-LUX 4 10.1MP Digital Camera - Black,152.55,2020-11-15 00:00:00
Leica D-LUX 3 ,83.0,2020-11-20 00:00:00
Leica D-Lux 3 10.0 MP Digital Camera,153.0,2020-11-22 00:00:00
Leica D-lux 7 Digital Camera - Silver 4k,754.0,2020-11-26 00:00:00
Leica D-Lux (Typ 109) with Accessories - Excellent Condition,498.0,2020-11-27 00:00:00
Leica D-Lux 7 - Silver,770.0,2020-11-30 00:00:00
Leica D-Lux TYP 109 Digital Camera 12.8 M/P - Black,419.05,2020-12-01 00:00:00
Great condition Leica D-LUX Type 109,375.0,2020-12-01 00:00:00
"Leica D-Lux 7 Digital Camera (Silver), in original box. MINT++++",809.98,2020-12-06 00:00:00
Leica D-Lux 7 Silver Digital Camera in Box - Leica Refurbished - Mint!,870.0,2020-12-09 00:00:00
"Leica D-lux 7 Camera - Silver. Flash, Charger, Batteries, Filter, Shoulder Bag",933.7,2020-12-12 00:00:00
Leica D-lux 7 Digital Camera - Silver,913.25,2020-12-12 00:00:00
Leica D-Lux Typ 109,469.6,2020-12-17 00:00:00
"Leica D-Lux 6  Point and Shoot Camera, Black and Silver",350.0,2020-12-17 00:00:00
Leica d-lux type 109 Digital Camera,345.0,2020-12-19 00:00:00
: Leica D-LUX 7 17.0MP Digital Camera (Silver) Boxed [MINT] :,829.95,2020-12-20 00:00:00
Leica D-lux 7 Digital Camera - Silver,1100.0,2020-12-20 00:00:00
Leica d-lux typ 109,386.7,2020-12-24 00:00:00
Leica D-Lux 7 Silver Camera #5441233 - Leica Warranty - Mint!,935.0,2020-12-25 00:00:00
Leica D-LUX 3 10.0MP Digital Camera - Black,255.4,2020-12-28 00:00:00
Leica D-LUX 6 G-Star RAW 10.0MP Digital Camera - Black,523.95,2020-12-28 00:00:00
Leica D-LUX 5 10.1MP Digital Camera - One-Year Leica Warranty!,270.5,2020-12-28 00:00:00
