title,price,date
Leica D-lux 7 Digital Camera - Silver Mint Condition + Accessories + Batteries ,955.0,2020-08-11 00:00:00
"Leica D-Lux 5 (Black) 10.1MP Digital Point-And-Shoot, In Box - NICE! (7537)",270.99,2020-08-11 00:00:00
Leica D-Lux 7 Digital Camera Compact Leica Point and Shoot Zoom Camera 19116,982.53,2020-08-12 00:00:00
Leica D-LUX 3 10.0MP Digital Camera - Black With Camera Case,270.99,2020-08-16 00:00:00
"Leica D-Lux 7, Schwarz  NEU",1223.07,2020-08-17 00:00:00
Leica D-LUX 4 10.1MP Digital Camera - Black with leather LEICA case,419.0,2020-08-21 00:00:00
Leica D-Lux 6 12.7 MP Digital Camera-Black Boxed Ledercase Accessory Pack,699.41,2020-08-22 00:00:00
"Leica D-Lux 7, silbern eloxiert  NEU",1223.07,2020-08-23 00:00:00
Leica D-Lux 7 - 19115,1413.07,2020-08-24 00:00:00
LEICA D-LUX 7 COMPACT DIGITAL CAMERA ,1018.7,2020-08-31 00:00:00
Leica V-Lux 1 Digital Camera with 7.4-88.8mm Vario Elmarit ASPH Lens MINT #31595,248.43,2020-09-04 00:00:00
Leica D-LUX 2 Vario-Elmarit 28-112mm (Equiv) 8MP Digital Compact Camera Silver,114.99,2020-09-05 00:00:00
"Leica D-Lux 7, Schwarz  NEU",1223.07,2020-09-07 00:00:00
Leica D-Lux 7 Digital Camera (Silver) w/ original box EXCELLENT! FREE SHIPPING,949.0,2020-09-08 00:00:00
Leica D-LUX 3 10.0MP Digital Camera - Black With  Leather Camera Case,222.0,2020-09-08 00:00:00
"Leica D-Lux 7, Schwarz  NEU",1223.07,2020-09-09 00:00:00
"Leica D-Lux 4 Digital Camera, boxed MINT #37510",432.45,2020-09-11 00:00:00
Leica D-LUX 3 10.0MP Digital Camera and Carry Case,192.0,2020-09-12 00:00:00
Leica DigiLux D-Lux 6 Digital Camera with Vario- Summilux Lens & Grip - Boxed,446.92,2020-09-14 00:00:00
Leica D-LUX 4 10MP 2.5x F2.0-2.8 Compact Digital Still Camera 18352,226.99,2020-09-14 00:00:00
"Leica D-Lux 7, silbern eloxiert  NEU",1223.07,2020-09-17 00:00:00
"Leica D-Lux 7, Schwarz  NEU",1223.07,2020-09-17 00:00:00
Leica D-lux 7 Digital Camera - Silver,935.0,2020-09-18 00:00:00
"Leica D-Lux 7, Schwarz  NEU",1223.07,2020-09-19 00:00:00
"Leica D-Lux 7, silbern eloxiert  NEU",1223.07,2020-09-19 00:00:00
"Leica D-Lux 7, Schwarz  NEU",1223.07,2020-09-25 00:00:00
Mint Leica D-Lux 7 Digital Camera (Silver) With Box and EXTRAS,1148.0,2020-09-26 00:00:00
Brand New Leica D-Lux 7 Silver Compact Digital Camera DC Vario-Summilux 19116,1334.0,2020-09-26 00:00:00
Leica D-LUX (Typ 109) 12.8MP Digital Camera                                 #076,577.35,2020-09-26 00:00:00
Leica D-lux 7 Digital Camera - Silver,956.0,2020-09-27 00:00:00
Leica D-LUX 4 10.1MP DIGITAL CAMERA W-CASE/ 3 BATT'S+CHARGER& CAR PLUG-VERY GOOD,219.75,2020-09-27 00:00:00
Leica D-Lux Typ 109,475.0,2020-09-27 00:00:00
[Near MINT w/BOX] Leica D-LUX 5 10.1 MP Compact Digital Camera From Japan 361,369.79,2020-09-30 00:00:00
Leica D-LUX 3 10.0MP Digital Camera - Black,233.0,2020-09-30 00:00:00
Leica D-Lux 5 10 MP Compact Digital Camera With Case and EVF1 Viewfinder.,358.92,2020-09-30 00:00:00
[Near MINT w/BOX] Leica D-LUX 5 10.1 MP Compact Digital Camera From Japan 361,369.79,2020-09-30 00:00:00
Leica D-LUX 7 Digital Camera Silver w/Vario-Summilux Lens 19115 *BRAND NEW*,1239.0,2020-10-02 00:00:00
Leica D-LUX 7 Digital Camera Silver w/Vario-Summilux Lens 19115 *BRAND NEW*,1279.0,2020-10-02 00:00:00
Leica D-LUX 4 10.1MP Digital Camera - Titanium with Leather Case,439.0,2020-10-07 00:00:00
Leica D-Lux 3,137.5,2020-10-07 00:00:00
Leica 5426958 D-Lux7 Digital Camera,599.0,2020-10-09 00:00:00
Leica 5426958 D-Lux7 Digital Camera,613.9,2020-10-09 00:00:00
:Leica D-LUX 7 17.0MP Digital Camera (Silver) 19116 Boxed [MINT],976.99,2020-10-11 00:00:00
:Leica D-LUX 7 17.0MP Digital Camera (Silver) 19116 Boxed [MINT],942.89,2020-10-11 00:00:00
Leica D-LUX 3 10MP USA Digital Camera - NICE!,243.99,2020-10-12 00:00:00
Leica D-Lux 5 10 MP Compact Digital Camera With EVF & LOTS of Extras! Free S/H,305.0,2020-10-12 00:00:00
Leica D-LUX 5 10.1MP Digital Camera -w/Many Extras,273.0,2020-10-13 00:00:00
Leica D-LUX 4 10.1MP DIGITAL CAMERA W-CASE/ BATTERIES And GUIDE—GOOD CONDITION,221.9,2020-10-13 00:00:00
Leica D-Lux 7 17.0MP Compact Digital Camera - Silver Anodized excellent boxed,852.96,2020-10-15 00:00:00
Leica D-LUX 7 4K Compact Camera,1149.95,2020-10-16 00:00:00
Leica D-LUX 5 Digital Camera 10.1 MP,189.99,2020-10-16 00:00:00
Leica D-Lux 4 10MP Compact Digital Camera,211.77,2020-10-18 00:00:00
Leica D-LUX 6  10.0MP Digital Camera - Black,313.9,2020-10-18 00:00:00
