title,price,date
Leica Digilux 2 5.0MP Digital SLR Camera - Black Silver (Kit w/ ASPH 7-22.5mm...,515.05,2020-08-08 00:00:00
Leica Digilux 2 Digital Camera - NOT WORKING - includes battery and charger,81.7,2020-07-27 00:00:00
Leica Digilux 4.3 - 2.4 Megapixel Digital Camera【AS-IS】,18.99,2020-07-22 00:00:00
Leica Digilux 2 5.0MP Digital SLR Camera - Black Silver - Needs to be serviced,199.98,2020-07-18 00:00:00
Leica Digilux 2 5.0MP Digital SLR Camera - Black Silver (Kit w/ ASPH 7-22.5mm...,370.9,2020-07-17 00:00:00
Leica Digilux 2 lens hood cap Only,33.0,2020-06-28 00:00:00
Leica Digilux 1 Digital Camera,81.48,2020-06-23 00:00:00
"Leica Digilux 2 lens hood, cap and filter",70.0,2020-06-14 00:00:00
Leica Digilux 3 DSLR W/ 14-50 2.8-3.5 Leica Lens,376.0,2020-06-12 00:00:00
Panasonic Lumix DMC-LC1 (Leica Digilux 2),71.0,2020-06-11 00:00:00
Leica Digilux Zoom FIRST CONSUMER DIGITAL ZOOM Leica W/ Box Cards Charger Media,97.0,2020-05-24 00:00:00
Leica Digilux 1,139.58,2020-08-08 00:00:00
"Leica Digilux 2 with defect in the field of electronics, Used!",138.38,2020-07-28 00:00:00
"Leica Digilux 2 with defect in the field of electronics, Used!",134.83,2020-06-19 00:00:00
Leica Digilux 2 + Flash FS 20,345.29,2020-06-13 00:00:00
Leica digilux 2,561.88,2020-06-08 00:00:00
Leitz Leica C-LUX2 Lux 2 Digital Camera 4.6-16.4mm 2.8-5.6 hobbyists unaudited,51.43,2020-05-25 00:00:00
Leitz Leica Digital Camera Digilux 3.2 7.6mm for hobbyists 1.5 Mega Pixel unaudited,46.71,2020-05-25 00:00:00
