title,price,date
Excellent Leica M (Typ 240) Black Digital Rangefinder Camera Body #23032,3099.05,2020-09-30 00:00:00
"Leica M9-P, New Sensor, with Handgrip & Extras",3508.0,2020-10-03 00:00:00
"Leica M9-P, New Sensor, with Handgrip & Extras",3493.0,2020-10-03 00:00:00
"Leica M9 Digital Body, LOW USE with a shutter count of c.9,300 actuations",1886.34,2020-10-07 00:00:00
LEICA M-P TYP-240 10773 BLACK PAINT 24MP CMOS DIGITAL RANGEFINDER CAMERA BOXED,3858.72,2020-10-07 00:00:00
Leica M-p Typ 240 Black (Body),2737.2,2020-10-08 00:00:00
"""NEAR MINT in BOX""Leica M8.2 10.3MP Digital Camera - Silver  #3728",2495.0,2020-10-08 00:00:00
Leica M9 18.0MP Digital Camera + Leica SF20 flash + summicron lens Bundle,1480.0,2020-10-10 00:00:00
Leica M9-P Body Only 1800 MP EXCELLENT,2900.0,2020-10-11 00:00:00
Panasonic LUMIX G9  20.3MP Digital Camera - Black (Kit with Leica DG 12-60mm,1334.0,2020-10-14 00:00:00
Leica M8 Rangefinder Digital Camera With Box #26901,1830.0,2020-10-15 00:00:00
Leica X1 Steel Gray Digital Camera {12.2 M/P} Made in Germany - BG,419.15,2020-10-22 00:00:00
Leica M10 24 MP Digital Camera - Silver - Perfect Condition!  ,4630.0,2020-10-22 00:00:00
"Leica M8 (Digital Leica Rangefinder), under 15,100 actuations",1331.05,2020-10-23 00:00:00
"Leica M10 24 MP Rangefinder Camera in box, (black) item# 20000 IMMACULATE!!",4869.45,2020-10-25 00:00:00
Leica M Type 240 Digital Rangefinder Camera Body Silver 0.68x 10771,2567.28,2020-10-29 00:00:00
LEICA ** M-240** BODY IN SILVER // LEICA NUMBER : 10771 // PRISTINE CONDITION !!,3245.0,2020-10-29 00:00:00
"Leica M m9, new 11/2019 CCD sensor, boxed,  chrome 10705 less than 10k cliks",2638.33,2020-10-30 00:00:00
Leica M Monochrom Typ 246 M246 Camera Body Black Chrome 10930 boxed MINT-,3872.17,2020-10-30 00:00:00
"Leica M Monochrom, new CCD sensor, boxed,  M9 type, beautiful! 10760",3371.2,2020-11-05 00:00:00
LEICA M9 BLACK PAINT DIGITAL CAMERA #10704 (BODY ONLY),2300.0,2020-11-09 00:00:00
"Leica M9 Digital Body, LOW USE (shutter count of 2,975)",1827.17,2020-11-10 00:00:00
Leica M (Typ 262) 24MP Digital Rangefinder Camera (Body Only),3359.91,2020-11-10 00:00:00
Leica M9-P Digital Camera with Zeiss Planar 50mm Lens Silver Chrome Mint,4000.0,2020-11-11 00:00:00
Leica M9 Monochrom CCD,3126.76,2020-11-16 00:00:00
Leica M8 Digital Near Mint condition with VERY Low Shutter Actuations ONLY 458 ,1962.97,2020-11-16 00:00:00
"Epson R-D1s rangefinder digital camera body, Leica M mount, boxed #50751",1041.99,2020-11-17 00:00:00
LEICA HANDGRIP M 14487 SILVER CHROME FOR M8 M8.2 M9 M9-P M-E MM CCD DIGITAL CAMS,117.63,2020-11-21 00:00:00
"Leica M9P, OVP, New Sensor Sensor (CCID 16) Digital Camera-Black",4027.12,2020-11-27 00:00:00
LEICA M9 BLACK CAMERA BODY,2932.7,2020-11-29 00:00:00
"Leica M8 Camera Body Black Chrome 10701 boxed, EXC+ condition",1230.22,2020-11-30 00:00:00
Olympus OM-D E-M10 Body Battery + Charger 9/10 Works Great,170.96,2020-11-30 00:00:00
Leica m9 Full-Frame + 2x batteries + 10704 + Box sensor replaced 5581 Shots EXC,3588.62,2020-12-02 00:00:00
Leica M9 Digital Rangefinder Camera Body (Gray) 10705 Steel Gray Updated Sensor,2963.58,2020-12-03 00:00:00
LEICATIME FULL CASE RALLY BROWN LEATHER REAR COVER +POUCH FOR LEICA M8 M9 MM CCD,206.38,2020-12-03 00:00:00
"Leica M8 & Leica M9 Charger, GENUINE Leica & Perfect Condition",104.87,2020-12-03 00:00:00
Excellent Leica M-P (Typ 240) Rangefinder Camera (Black) 3783 Actuations #32398,3179.0,2020-12-04 00:00:00
Leica T Digital Camera Body with Visoflex EVF and Leica M Adapter T and More!,1215.0,2020-12-04 00:00:00
Leica M M8.2 10.3MP Digital Camera - Black (Body Only) EXTRAS,1741.0,2020-12-08 00:00:00
Leica M10 24 MP Digital Camera - Silver - Mint + Leica Metal Hot Shoe Cover,4942.5,2020-12-11 00:00:00
"Leica M9, also for Leica M8 Battery Charger, Leica Product",108.9,2020-12-12 00:00:00
