title,price,date
Leica M7 0.72 35mm Rangefinder Film Camera - Black (10503),2493.99,2020-08-15 00:00:00
"Leica M6 Classic Rangefinder Film Camera, 0.85 Viewfinder and Upgraded Lever",2119.99,2020-08-15 00:00:00
Leica M M8 10.3MP Digital Camera Body Only - Black - Battery - Charger - Case,1540.05,2020-08-15 00:00:00
Leica M10 Digital Rangefinder Camera - Black,4165.0,2020-08-15 00:00:00
Leica M3 Camera ,1145.0,2020-08-15 00:00:00
LEICA M-ADAPTER-T/L #18771 USED ,268.45,2020-08-15 00:00:00
Voigtlander Color Skopar 21mm f/4 Lens For Leica M Mount,328.0,2020-08-15 00:00:00
Leica Battery Holder for Winder M #14402 - New!,16.0,2020-08-15 00:00:00
Metabones Leica M to E mount adapter - MINT condition,36.9,2020-08-15 00:00:00
JUPITER-8 M39 50mm f2.0 lens Leica Zorki Bessa Sonnar copy ,37.6,2020-08-14 00:00:00
LEICA LEITZ SUMMITAR 5CM f2 50mm 2 COLLAPSIBLE LENS M39 LTM GERMANY FREE SHIPPIN,470.0,2020-08-14 00:00:00
Leica SL Typ 601 #4965965 24MP with #18771 M Lens Adapter,2617.5,2020-08-14 00:00:00
"Leica Elmarit-M 28mm F2.8 M ASPH Lens with Cap, Hood & Box",1800.0,2020-08-14 00:00:00
Leitz 16469Y Extension Ring for Leica M,61.01,2020-08-14 00:00:00
Leica Viewfinder Magnifier M 1.4x Boxed,245.0,2020-08-14 00:00:00
Voigtländer Nokton 50mm F/1.2 Aspherical VM (Leica M Mount),664.15,2020-08-14 00:00:00
Leica M Brown Leather Everready Case w Strap + Wide Nose for Lens w Goggles NICE,18.0,2020-08-14 00:00:00
Leica 50mm Summicron M Mount ,1075.6,2020-08-14 00:00:00
Ernst Leitz GmbH Wetzlar Leica 5cm=3.5x 9cm=6x Galilei Telescope M39 Lens Cap,19.3,2020-08-14 00:00:00
Leica M-A Type 127,3367.6,2020-08-14 00:00:00
"Leica M6 0.72 35mm Rangefinder Camera, Chrome, Body Only",2113.25,2020-08-14 00:00:00
JUPITER-8 M39 50mm f2.0 lens Leica Zorki Bessa Sonnar copy ,18.63,2020-08-14 00:00:00
Leica M M9 18.0MP Digital Camera - Black with 35mm Summicron lens,3310.7,2020-08-14 00:00:00
"Leica M 135mm f2,8 ELMARIT  Mint condition with Original Box",247.5,2020-08-13 00:00:00
Leica M 560mm F/5.6 Telyt Telephoto Manual Focus Lens (Head Only) - UG,80.22,2020-08-13 00:00:00
Rare Leica M6 TTL 0.58 10475 Empty Box Display Case No Camera M2 M3 M4 M5 M7 MP,130.5,2020-08-13 00:00:00
Leica M4,1625.0,2020-08-13 00:00:00
Leica Finger Loop Size L 14648 for Handgrip M,59.0,2020-08-13 00:00:00
IVintage Brown Leather Case for Leica M Camera - Large Dia. Screw Mt. - OK Cond,12.0,2020-08-13 00:00:00
Voigtlander Color Skopar 35mm f/2.5 MF Lens For Leica,338.45,2020-08-13 00:00:00
"Panasonic Lumix G Leica DG Vario-Elmarit 8-18mm f/2.8-4.0 Perfect Condition, M43",699.0,2020-08-13 00:00:00
Voigtlander Nokton 40mm f/1.4 MF Lens,269.25,2020-08-12 00:00:00
"Techart LM-EA7 Adapter Leica M Lenses to Sony E  AF A7 II, A7rIII,A7RII, A6300 ",162.1,2020-08-12 00:00:00
Voigtlander Heliar 75mm f/1.8 Lens (Leica M-Mount) w/ Lens Hood and Box. MINT,425.0,2020-08-12 00:00:00
LEICA 35MM F2 SUMMICRON-M 11310 4TH V 70 JAHRE M LENS +SHADE +BOX *KING OF BOKEH,2560.0,2020-08-12 00:00:00
LEICA LEITZ 11860 35MM SUMMILUX-M F1.4 TITANIUM GERMANY BRASS LENS +12504 SHADE,3271.0,2020-08-12 00:00:00
Leitz Leica M Chrome Camera Shoe Mount Light Meter In MR Box,24.25,2020-08-12 00:00:00
LEICA M2 chrome rangefinder RF Camera,1215.0,2020-08-12 00:00:00
Leica M-E (Typ 240) 24.0MP Rangefinder Camera - Anthracite Gray/Black Leather...,3100.0,2020-08-12 00:00:00
Leica M2 35mm Rangefinder Film Camera Body Only. CLA'D - Patched Shutter,888.25,2020-08-12 00:00:00
Leica Leitz Visoflex 2 M Mount with Standard 90 Degree Finder Works Great,34.27,2020-08-12 00:00:00
Leica M3 Double Stroke 35mm Rangefinder Camera (Body Only) ,1370.0,2020-08-12 00:00:00
Carl Zeiss Jena Tessar 2.8cm f8 LTM leica screw mount lens M39 Alluminium,315.0,2020-08-12 00:00:00
