title,price,date
Panasonic Lumix DMC-TZ80 with Leica 30x Optical Zoom 4K,193.98,2020-08-11 00:00:00
Panasonic Lumix DMC-FZ7 Silver 12x Leica Zoom 6MP Digital Bridge Camera,51.24,2020-08-12 00:00:00
Leica X (Typ113) Black Excellent Condition,931.55,2020-08-13 00:00:00
Leica X TYP 113 Digital Camera,472.0,2020-08-13 00:00:00
Leica X Typ 113 with 23mm f1.7,518.0,2020-08-15 00:00:00
Panasonic LUMIX DMC-FZ50 10.1MP Digital Camera 12X Leica lens complete package,99.29,2020-08-15 00:00:00
Panasonic LUMIX DMC-TZ5 9.1MP Digital Camera Carl Zeiss Leica Lens 10x Optical,39.58,2020-08-15 00:00:00
Panasonic Lumix DMC-FS3 8.1MP 3x Optical Leica Lens Silver Boxed Digital Camera,51.24,2020-08-15 00:00:00
Panasonic Lumix DMC-TZ5 9.1MP 10x Zoom 28mm Wide Leica Lens Digital Camera,64.38,2020-08-16 00:00:00
Panasonic Lumix DMC-TZ18 14MP 16x Zoom 24mm Wide Leica Lens Digital Camera,90.67,2020-08-17 00:00:00
Leica V-LUX 30 Vario-Elmar 16X zoom  14.1MP Digital Camera ,511.95,2020-08-17 00:00:00
Panasonic LUMIX DMC-FZ50 10.1MP Camera LEICA 12X OPTICAL ZOOM,109.99,2020-08-17 00:00:00
"Leica X Vario Typ 107, Vario Elmar 28-70mm , EVF II, Leica Grip ,MINT W/ EXTRAS ",1370.0,2020-08-18 00:00:00
Panasonic Lumix DMC-TZ5 Iconic Leica Lens 9.1MP 10x Super Zoom Digital Camera,51.24,2020-08-18 00:00:00
Panasonic Lumix DMC-ZS7 12.1MP 12x zoom Digital Camera Leica Lens HD video GPS R,54.94,2020-08-20 00:00:00
Panasonic Lumix DMC-FZ50 /10.1MP Digital Camera / 12x Aspheric Leica Lens Bundle,87.0,2020-08-22 00:00:00
" Leica X Vario, with viewfinder, excellent unblemished cond. complete in boxes",905.0,2020-08-23 00:00:00
PANASONIC ZS9 LUMIX CAMERA DMC-ZS9 14.1 MP 16X DIGITAL CAMERA LEICA LENS,46.0,2020-08-23 00:00:00
Leica X-E (Typ 102) 16.2MP Digital Camera,1210.2,2020-08-23 00:00:00
PANASONIC LUMIX DMC-ZS8 14.1mp 16-20x zoom Digital Camera LEICA LENS w/ 2GB card,72.7,2020-08-25 00:00:00
Panasonic LUMIX DMC-SZ7 14MP Digital Camera 10X Leica Lens.  I think it works.,26.5,2020-08-25 00:00:00
Black Leica X (Typ 113) Digital Compact Camera with Summilux 23mm f/1.7 ASPH Len,910.0,2020-08-26 00:00:00
Panasonic Lumix DMC-TZ3 10x Zoom 7.2MP Leica Digital Camera ONLY,16.99,2020-08-26 00:00:00
Leica X Vario Typ 107 Digital Camera EXC++ #37457,880.68,2020-08-26 00:00:00
"Panasonic Lumix DMC-FZ50 10MP Digital Camera, 12x Leica Lens - Black #U8200",59.98,2020-08-28 00:00:00
Leica V-LUX 30 Vario-Elmar 16X zoom  14.1MP Digital Camera ,358.0,2020-08-29 00:00:00
Leica X Typ 113 with 23mm f1.7,518.0,2020-08-30 00:00:00
Panasonic Lumix DMC-FS10 12MP 5x Leica Zoom Metal Digital Compact Camera,34.15,2020-08-30 00:00:00
Panasonic Lumix DMC-TZ8 Leica Lens 12.1MP 12x Zoom EXC Digital Camera & 2GB SD,70.96,2020-08-31 00:00:00
