title,price,date
"PANASONIC LUMIX G9 4K Digital Camera 3-Inch LCD, DC-G9 w Lumix lens",794.0,2020-08-13 00:00:00
Panasonic Lumix DC-G9 High-end Lumix G with 14-140 (F3.5-5.6),900.72,2020-08-21 00:00:00
Panasonic Lumix G9 20.3 MP 4K Camera - Black (Body Only) - Minty Condition,904.0,2020-08-22 00:00:00
Panasonic LUMIX G9 Digital Camera with Box and Extra Batteries!,862.0,2020-08-22 00:00:00
Panasonic LUMIX G9 20.3 MP Digital Camera - Black (Body Only) Great Condition,864.0,2020-08-23 00:00:00
Panasonic LUMIX G9 20.3 MP Digital Camera + H-ES12060 12-60MM f2.8-4.0 ASPH Lens,1465.0,2020-08-26 00:00:00
Panasonic LUMIX G9  20.3MP Digital Camera - Black (Kit with Leica DG 12-60mm...w,1375.0,2020-08-28 00:00:00
Panasonic LUMIX G9 20.3 MP With Battery Grip + Extra Batteries,910.0,2020-08-28 00:00:00
Panasonic Lumix DC-G9 Mirrorless Micro Four Thirds Digital Camera (Body Only),878.0,2020-08-30 00:00:00
"Panasonic Lumix DC-G9MEG-K Mirror Loose System Camera (incl. 12-60mm f3, 5-5,6 OIS)",1048.52,2020-08-30 00:00:00
Panasonic LUMIX G9 20.3 MP Digital Camera + H-ES12060 12-60MM f2.8-4.0 ASPH Lens,1476.0,2020-09-01 00:00:00
Panasonic LUMIX G9  20.3MP w/Leica DG 12-60mm f/2.8-4.0 and Several Extras!,1375.0,2020-09-02 00:00:00
Panasonic Lumix DC-G9 (body without lens) BNIB,891.77,2020-09-05 00:00:00
Panasonic Lumix DC-G9MEG-K Mirror Loose System Camera (Kit with 12-60mm...,1134.01,2020-09-05 00:00:00
Panasonic DC-G9EB-K Black micro four thirds Body Only,958.4,2020-09-06 00:00:00
Panasonic DC-G9EB-K Digital Camera - Black (Body Only) low shutter count,973.99,2020-09-06 00:00:00
Panasonic LUMIX G9 20.3 MP With Battery Grip + Extra Batteries,790.0,2020-09-07 00:00:00
Panasonic DC-G9EB-K Digital Camera - Black (Body Only),944.11,2020-09-08 00:00:00
Panasonic DC-G9EB-K - Black (Body Only) 4 yr UK warranty,826.79,2020-09-13 00:00:00
