title,price,date
"Panasonic Lumix G9 Mirrorless Camera Body, Black With Accessory Bundle",1247.99,2020-08-12 00:00:00
Panasonic LUMIX G9 PRO [body] DC-G9-K Japan Domestic New,1550.0,2020-08-17 00:00:00
Panasonic DC-G9 Camera (body only),750.0,2020-08-17 00:00:00
Panasonic Lumix DC-G9 4K Micro 4/3 Camera w/ 12-60mm Lens - MUST READ! (7899),981.99,2020-08-18 00:00:00
Panasonic LUMIX G9 Body + Extra Batteries. Low Shutter Count,800.0,2020-08-19 00:00:00
Panasonic Lumix G9 Micro Four Thirds Camera Package  - low shutter count!,975.0,2020-08-21 00:00:00
Panasonic Lumix DC-G9 20.3MP Mirrorless MFT Digital Camera Body             #237,807.0,2020-08-21 00:00:00
PANASONIC LUMIX G9 Mirrorless Camera Body w/ Digital Slave Flash & 64GB Bundle,1497.99,2020-08-22 00:00:00
Panasonic Lumix DC-G9 20.3MP Mirrorless MFT Digital Camera Body             #824,637.0,2020-08-31 00:00:00
"Panasonic Lumix G9 Mirrorless Camera Body, Black With Free PC Accessory Bundle",1197.99,2020-09-01 00:00:00
"Panasonic LUMIX G9 20.3 MP (Body Only), 4k, Excellent Condition + Extras!!!",860.0,2020-09-01 00:00:00
98977) Panasonic LUMIX G9 20.3 MP Digital Camera - Black GREAT Condition +More,852.32,2020-09-01 00:00:00
Panasonic LUMIX DC-G9 20.3 MP Digital Camera (Body Only) - EXTRAS,835.0,2020-09-05 00:00:00
Panasonic LUMIX G9 20.3 MP Digital Camera - Black (Body Only),987.0,2020-09-06 00:00:00
Panasonic LUMIX G9 20.3 MP MFT Digital Camera with V-LOG + Battery Grip + EXTRAS,1280.0,2020-09-08 00:00:00
Panasonic LUMIX G9 20.3 MP Digital Camera - Black (Body Only),877.25,2020-09-09 00:00:00
Panasonic G9 Body 20.3mpx 4k Mint condition LOW shutter count,1028.4,2020-09-10 00:00:00
Panasonic LUMIX G9 Mirrorless Camera with LUMIX G Vario 12-60mm f/3.5-5.6 Lens,1397.99,2020-09-14 00:00:00
Panasonic Lumix G9 20.3 MP 4K Camera Body- Excellent Condition! Plus Extras,862.95,2020-09-15 00:00:00
"Panasonic Lumix G9 Mirrorless Camera, Black w/Leica DG 12-60/2.8-4 Lens W/Flash",1797.99,2020-09-15 00:00:00
Panasonic LUMIX G9 20.3 MP Digital Camera with Lens and Flash,1115.0,2020-09-16 00:00:00
Panasonic LUMIX G9  20.3MP 4K Digital Camera Body Black Exc #WE7LA005004,799.48,2020-09-17 00:00:00
Panasonic LUMIX G9 with Leica 10-25mm 1.7 - Mint +++ - Ships from US,2150.26,2020-09-17 00:00:00
Panasonic LUMIX G9 20.3 MP Digital Camera - EXCELLENT Condition,837.55,2020-09-18 00:00:00
Panasonic Lumix DC-G9 Mirrorless Micro Four Thirds Digital Camera,979.99,2020-09-25 00:00:00
Panasonic Lumix (DCG9K) Mirrorless Digital Camera - Black EXCELLENT CONDITION!,720.0,2020-09-25 00:00:00
Panasonic DC-G9LK LUMIX G9 Mirrorless Camera with Leica 12-60mm Bundle,1897.99,2020-10-02 00:00:00
Panasonic Lumix G9  + Vlog-l,910.0,2020-10-04 00:00:00
Panasonic Lumix G9 Mirrorless Digital Camera with Leica DG 12-60mm f/2.8-4 Lens,1797.99,2020-10-05 00:00:00
"Panasonic LUMIX G9 4K Digital Camera (Body) Black Brand New (Retail: $1,199.99)",894.7,2020-10-05 00:00:00
Panasonic Lumix G9 Body with DSTE Battery Grip 4/6k Mint condition 8794 shtr/Cnt,1036.07,2020-10-05 00:00:00
Panasonic LUMIX G9 Body Battery grip 6 batteries 2700 clicks,875.0,2020-10-09 00:00:00
Panasonic Lumix 4K DC-G9 (Black),909.43,2020-10-09 00:00:00
Panasonic LUMIX G9 20.3 MP 4K 60FPS DSLR Camera Mirrorless W/ 25MM 1.7 Lens,710.55,2020-10-10 00:00:00
Panasonic LUMIX G9 20.3 MP Digital Camera - plus Sigma 19mm F2.8 DN Art Lens ,899.0,2020-10-13 00:00:00
Panasonic LUMIX G9  20.3MP Digital Camera - Black (Kit with Leica DG 12-60mm,1299.0,2020-10-14 00:00:00
Panasonic Lumix DC-G9 Mirrorless Digital Camera (Body Only) NIB USA Version,849.0,2020-10-19 00:00:00
Panasonic LUMIX G9 20.3 MP Digital Camera -Low Shutter Count. EXCLNT CONDITION,844.0,2020-10-20 00:00:00
Panasonic LUMIX G9 20.3 MP Digital Camera - Black (Body Only),878.0,2020-10-21 00:00:00
Panasonic LUMIX DC-G9 20.3 MP Digital Camera Body with 2 Extra Batteries,860.0,2020-10-26 00:00:00
Panasonic LUMIX G9 20.3 MP Digital Camera - Black (Body Only),841.55,2020-10-29 00:00:00
"Panasonic LUMIX G9 Digital Camera, Body Only.  Low shutter count!",912.0,2020-10-31 00:00:00
Panasonic Lumix DC-G9 Mirrorless Digital Camera (Body Only) NEW!,979.99,2020-11-03 00:00:00
