sale_condition,groupA,groupB,groupC,title,price,date
Auction,calculator,GPUs,RTX 1080,LIGHTLY USED! EVGA GeForce GTX 1080 Ti FTW3 HYBRID 11GB! RTX 1080ti 2070 2080,496.46,2020-09-01
Auction,calculator,GPUs,RTX 1080,ASUS ROG-STRIX-RTX1080TI-O11G-GAMING GeForce RTX 2080 TI  11GB GDDR6 14000...,370.0,2020-09-02
Auction,calculator,GPUs,RTX 1080,"MSI NVIDIA GeForce GTX 1080 Ti Duke OC, 11GB GDDR 5X, DVI, 2x HDMI, 2x DP, RTX, XT",315.12,2020-10-04
Auction,calculator,GPUs,RTX 1080,"ASUS ROG Strix GeForce GTX 1080 Ti OC, 11GB GDDR 5X, DVI, 2x HDMI, 2x DP, RTX, XT",438.48,2020-10-04
Auction,calculator,GPUs,RTX 1080,"ASUS ROG Strix GeForce GTX 1080 Ti OC, 11GB GDDR 5X, DVI, 2x HDMI, 2x DP, RTX, XT",465.36,2020-10-11
Auction,calculator,GPUs,RTX 1080,"ASUS ROG Strix GeForce GTX 1080 Ti OC, 11GB GDDR 5X, DVI, 2x HDMI, 2x DP, RTX, XT",519.1,2020-10-18
Auction,calculator,GPUs,RTX 1080,"ASUS ROG Strix GeForce GTX 1080 Ti OC, 11GB GDDR 5X, DVI, 2x HDMI, 2x DP, RTX, XT",268.7,2020-10-25
Auction,calculator,GPUs,RTX 1080,ASUS GTX 1080 no RTX,328.36,2020-10-25
Auction,calculator,GPUs,RTX 1080,ASUS GeForce RTX 2060 ROG STRIX OC | > 1080,306.36,2020-10-27
Auction,calculator,GPUs,RTX 1080,ASUS GeForce RTX 1080 Ti OC Strix ROG Gaming 11GB GDDR 6 PCIe x16 Graphics Card 3.0,472.7,2020-11-09
Auction,calculator,GPUs,RTX 1080,"Lenovo Legion Y540-15IRH,optional dock,1080p 144hz,i7-9750H,RTX 2060,512GB SSD",1120.0,2020-11-10
Auction,calculator,GPUs,RTX 1080,Acer Predator Helios 17” 1080p Gaming Laptop Intel Core i7 9750H 512GB RTX 2060,967.0,2020-11-16
Auction,calculator,GPUs,RTX 1080,"Razer Blade 15"" 1080p 144Hz - i7 9750h - 16GB RAM - 512GB SSD - RTX 2060",1300.0,2020-11-17
Auction,calculator,GPUs,RTX 1080,"Alienware M17 1080p Custom, 1TB m.2 SSD, RTX 2060, 16 GB Ram, intel i7 9750H",920.0,2020-11-19
Auction,calculator,GPUs,RTX 1080,ASUS ROG Strix GeForce RTX 1080ti - 🔥🔥 Fast Shipping 🔥🔥,450.95,2020-11-22
Auction,calculator,GPUs,RTX 1080,ASUS ROG Strix GeForce RTX 1080ti - 🔥🔥 Fast Shipping 🔥🔥,440.0,2020-11-22
Auction,calculator,GPUs,RTX 1080,ASUS ROG Strix GeForce RTX 1080ti - 🔥🔥 Fast Shipping 🔥🔥,450.95,2020-11-22
Auction,calculator,GPUs,RTX 1080,Eluktronics MAG-15 Laptop i7 9750H RTX 2070 2TB NVMe SSD 32gb RAM 1080p 144Hz,1125.0,2020-11-23
Auction,calculator,GPUs,RTX 1080,"Razer Blade 15"" 1080p 144Hz - i7 9750h - 32GB RAM - 512GB SSD - RTX 2060",1100.0,2020-11-27
Auction,calculator,GPUs,RTX 1080,Alienware m15 R3 Core i7-10750H RTX 2070 Super 256GB SSD 1080p 144hz GSync,1640.0,2020-11-30
Auction,calculator,GPUs,RTX 1080,"Alienware M15 - GeForce RTX 2070 Core i7-8750H 15.6"" FHD (1080p) Display 16GB ",1055.0,2020-12-01
Auction,calculator,GPUs,RTX 1080,"Razer Blade 15"" 1080p 144Hz - i7 9750h - 32GB RAM - 512GB SSD - RTX 2060",1025.0,2020-12-04
Auction,calculator,GPUs,RTX 1080,Gigabyte AORUS GeForce GTX 1080Ti Water Cooled White NZXT G12 and X62 AIO no RTX,497.25,2020-12-06
Auction,calculator,GPUs,RTX 1080,Gigabyte AORUS GeForce GTX 1080Ti Water Cooled White NZXT G12 and X62 AIO no RTX,435.25,2020-12-06
Auction,calculator,GPUs,RTX 1080,Razer Blade 15 (RTX2060/1920x1080/144Hz/16GB RAM/512GB SSD) Barely Used,1125.0,2020-12-06
Auction,calculator,GPUs,RTX 1080,Gigabyte AORUS GeForce GTX 1080Ti Water Cooled White NZXT G12 and X62 AIO no RTX,455.25,2020-12-06
Auction,calculator,GPUs,RTX 1080,EVGA GeForce GTX 1080 ti sc2 rtx 3090,506.9,2020-12-09
Auction,calculator,GPUs,RTX 1080,ASUS ROG Strix GeForce RTX 1080ti - 🔥🔥 Fast Shipping 🔥🔥,405.0,2020-12-12
Auction,calculator,GPUs,RTX 1080,ASUS ROG Strix GeForce RTX 1080ti - 🔥🔥 Fast Shipping 🔥🔥,414.2,2020-12-12
