title,price,date
"EVGA GeForce GTX 1080 Ti - 11G-P4-6591-KR, 11GB GDDR5X",417.99,2020-10-25 00:00:00
EVGA 1080 ti ( 11G-P4-6391-KR) GeForce GTX 1080 TI 11GB GDDR5X Graphic Card GPU,448.95,2020-10-25 00:00:00
ASUS ROG-STRIX-RTX2080TI-O11G-GAMING GeForce RTX 2080 TI 11GB GDDR6 #Z001,723.24,2020-11-06 00:00:00
USED MSI GeForce GTX 1080 Ti DUKE 11G OC Graphics Card,439.0,2020-11-08 00:00:00
Zotac Geforce GTX 1080TI AMP! Extreme,450.51,2020-11-08 00:00:00
EVGA NVIDIA GEFORCE iCX GTX 1080Ti Gfx card,312.43,2020-11-10 00:00:00
NVIDIA PNY GeForce GTX 1080 Ti 11GB PCI-E x16 3.0 GDDR5X Graphics Card ,503.0,2020-11-13 00:00:00
"EVGA GeForce GTX 1080 Ti SC Black Edition GAMING, 11G-P4-6393-KR, 11GB GDDR5X",503.79,2020-11-16 00:00:00
NVIDIA Gigabyte Aorus 1080Ti 11GB Xtreme Edition RGB stronger than RTX 2080 Super,278.99,2020-11-17 00:00:00
GIGABYTE N970 / GTX1080 1080ti Turbo / RTX 2080 2080TI graphics turbo fan,17.71,2020-11-25 00:00:00
ASUS ROG Strix NVIDIA GeForce RTX 3070 🔥 SHIPS NEXT DAY 🔥,899.97,2020-11-26 00:00:00
ASUS ROG Strix NVIDIA GeForce RTX 3070 🔥 SHIPS NEXT DAY 🔥,899.97,2020-11-27 00:00:00
Used Gigabyte Aorus GeForce GTX 1080 Ti 11GB GDDR5X Graphics Card,510.0,2020-11-29 00:00:00
MSI GeForce GTX 1080 Ti Sea Hawk EK,407.0,2020-11-29 00:00:00
 ASUS ROG STRIX GeForce GTX 1080 Ti 11GB GDDR5X PCI-E 3.0 Graphics Card,412.54,2020-12-02 00:00:00
Nvidia RTX 3060 Ti Founders Edition Brand New - JPG Paper Image (Description),398.34,2020-12-02 00:00:00
NVIDIA GEFORCE GTX 1080 TI 11GB GDDR5X PCI-EXPRESS GRAPHICS VIDEO CARD 8DV70,469.0,2020-12-02 00:00:00
EVGA GEFORCE RTX 3060 TI XC 8GB GDDR6 METAL BACKPLATE(PRE-ORDER),566.0,2020-12-02 00:00:00
Nvidia RTX 3060 Ti Founders Edition Brand New - JPG Paper Image (Description),399.27,2020-12-02 00:00:00
 ASUS ROG STRIX GeForce GTX 1080 Ti 11GB GDDR5X PCI-E 3.0 Graphics Card,413.72,2020-12-02 00:00:00
NVIDIA GeForce RTX 3060 Ti 8GB GDDR6 - Order Confirmed - Presale Dec 4,745.67,2020-12-02 00:00:00
EVGA GEFORCE RTX 3060 TI XC 8GB GDDR6 METAL BACKPLATE(PRE-ORDER),566.0,2020-12-02 00:00:00
NVIDIA GeForce RTX 3060 Ti Zotac TE OC | INSTANT SHIPPING | SEALED | IN HAND 8GB,759.2,2020-12-03 00:00:00
NVIDIA GeForce RTX 3060 TI Founders Edition BRAND NEW Poem,399.99,2020-12-06 00:00:00
