title,price,date
"EVGA GeForce RTX 2070 SUPER XC GAMING, 8GB GDDR6, RGB, Metal Back Plate, Used",460.0,2020-08-26 00:00:00
EVGA GeForce RTX 2070 8GB GDDR6 Graphics Video Card 08G-P4-3277-KR,499.99,2020-08-27 00:00:00
Gigabyte GeForce RTX 2070 Super Wind Force OC 82 mm Triple Fan Graphics Card 8GB,450.0,2020-08-27 00:00:00
LOT OF 10 EVGA BOXES ONLY - NVIDIA GeForce RTX 2080 TI / RTX 2080 / RTX 2070,189.5,2020-08-27 00:00:00
NVIDIA GeForce RTX 2070 Super 8GB GDDR6 PCI Express 3.0 Graphics Card,489.99,2020-08-27 00:00:00
GeForce RTX 2070 8GB GDDR6 DP3/HDMI/USB-C Graphics Card | Free Fast Shipping !!,349.99,2020-08-27 00:00:00
ASUS GeForce GTX 2070 SUPER EVO OC 8GB DUAL-RTX2070S-O8G-EVO PCI-E Video Card,813.9,2020-08-27 00:00:00
MSI GeForce RTX 2070 Ventus GP 8GB GDDR6 Graphics Card (G2070VGP),367.5,2020-08-28 00:00:00
ZOTAC GAMING GeForce RTX 2070 SUPER MINI GDDR6 Graphics Card - 8GB AS IS #421,258.0,2020-08-28 00:00:00
NVIDIA GeForce RTX 2070 Super GDDR6 8GB Founder's Edition,599.0,2020-08-28 00:00:00
EVGA  GeForce RTX 2070 SUPER BLACK 8GB Graphics Card - 08G-P4-3071-KR,469.0,2020-08-28 00:00:00
"EVGA GeForce RTX 2070 SUPER BLACK GAMING, 08G-P4-3071-KR, 8GB GDDR6",515.0,2020-08-28 00:00:00
ZOTAC GAMING GeForce RTX 2070 SUPER MINI GDDR6 Graphics Card - 8GB AS IS #425,258.0,2020-08-29 00:00:00
NVIDIA GeForce RTX 2070 Super GDDR6 Graphics Card - 8GB,515.0,2020-08-30 00:00:00
MSI GAMING GeForce RTX 2070 8GB GDRR6 256-bit HDMI/DP/USB Ray Tracing Turing,570.85,2020-08-30 00:00:00
MSI GeForce RTX 2070 Gaming Z 8GB GDDR6 PCI Express 3.0 Graphics Card with box,450.0,2020-08-30 00:00:00
"GIGABYTE GeForce RTX 2070 MINI ITX 8G Graphics Card, Mini ITX Form Factor, 8GB",499.99,2020-08-30 00:00:00
"EVGA GeForce RTX 2070 XC ULTRA GAMING 8GB GDDR6 Original Packaging, Great GPU",414.08,2020-08-30 00:00:00
NVIDIA GeForce RTX 2070 Super GDDR6 Graphics Card - 8GB,486.75,2020-08-30 00:00:00
NVIDIA GeForce RTX 2070 Super 8GB GDDR6 Graphics Card ,615.06,2020-08-30 00:00:00
GIGABYTE GeForce RTX 2070 2X 8GB GDDR6 Graphics Card DirectX12 RAY TRACING,439.99,2020-08-30 00:00:00
EVGA GeForce RTX 2070 XC BLACK EDITION GAMING 8GB GDDR6 RGB LED GRAPHICS CARD,400.0,2020-08-31 00:00:00
ZOTAC GAMING GeForce RTX 2070 SUPER MINI GDDR6 Graphics Card - 8GB AS IS #432,258.0,2020-08-31 00:00:00
GIGABYTE GeForce RTX 2070 WINDFORCE 8GB GDDR6 Graphic Card (GV-N2070WF3-8GC),449.99,2020-08-31 00:00:00
MSI RTX 2070 Gaming Z Graphics Card,421.06,2020-08-31 00:00:00
ASUS ROG Strix GeForce RTX 2070 Super 8GB GDDR6 Advanced Edition Graphics Card,632.85,2020-08-31 00:00:00
MSI VIDEO G2070VGP GeForce RTX 2070 Ventus GP,520.5,2020-08-31 00:00:00
"Nvidia GeForce RTX 2070 Founders Edition 8GB graphics card, w/ Box & accessories",430.0,2020-08-31 00:00:00
EVGA NVIDIA GeForce RTX 2070 Black Gaming 8GB GDDR6 #80,358.0,2020-08-31 00:00:00
(Read Description) NVIDIA GeForce RTX 2070 founders edition,320.0,2020-08-31 00:00:00
Gigabyte GeForce RTX 2070 Gaming OC Graphics Card,380.0,2020-08-31 00:00:00
(Factory Refurbished) MSI GeForce RTX 2070 SUPER VENTUS OC,519.0,2020-08-31 00:00:00
Asus Rog Strix RTX 2070 Super Advanced Overclocked Free Ship,600.0,2020-08-31 00:00:00
MSI NVIDIA GeForce RTX 2070 Gaming X 8GB GDDR6 OC Graphics Card (not Super),438.7,2020-08-31 00:00:00
NVIDIA GeForce RTX 2070 Super GDDR6 Graphics Card - 8GB,511.75,2020-08-31 00:00:00
EVGA GeForce RTX 2070 SUPER XC GAMING Graphics Card,400.0,2020-09-01 00:00:00
PNY GeForce RTX™ 2070 8GB XLR8 Gaming Overclocked Edition GDDR6 ,333.2,2020-09-01 00:00:00
NVIDIA GeForce RTX 2070 Super GDDR6 Graphics Card - 8GB,358.7,2020-09-01 00:00:00
"EVGA GeForce RTX 2070 SUPER XC ULTRA GAMING, 8GB GDDR6, SHIPS NEXT DAY, W/ BOX",419.99,2020-09-01 00:00:00
EVGA GeForce RTX 2070 XC ULTRA GAMING,412.0,2020-09-01 00:00:00
EVGA  GeForce RTX 2070 Super XC ULTRA 8GB GDDR6 Gaming Graphics Card,420.0,2020-09-01 00:00:00
"EVGA GeForce RTX 2070 SUPER XC GAMING, 08G-P4-3172-KR, 8GB GDDR6, Dual HDB Fans",362.8,2020-09-01 00:00:00
"EVGA GeForce RTX 2070 SUPER XC GAMING OC, 8GB GDDR6",425.0,2020-09-01 00:00:00
GIGABYTE GeForce RTX 2070 Super Windforce OC 3X 8GB GV-N207SWF3OC-8GD Graphics,475.0,2020-09-01 00:00:00
NVIDIA GeForce RTX 2070 Super GDDR6 Graphics Card - 8GB,409.0,2020-09-01 00:00:00
NVIDIA GeForce RTX 2070 Super GDDR6 Graphics Card - 8GB,469.96,2020-09-01 00:00:00
MSI Gaming GeForce RTX 2070 Super 8GB GDRR6 256-Bit Overclocked Graphics Card,500.0,2020-09-01 00:00:00
MSI GEFORCE RTX 2070 GAMING 8G GPU - TWIN FROZR 7 BOX ONLY,33.05,2020-09-01 00:00:00
"EVGA NVIDIA GeForce RTX 2070 Super Hybrid 8GB GDDR6 Water Cooling, Warranty",515.0,2020-09-01 00:00:00
NVIDIA GeForce RTX 2070 Super Founders Edition GDDR6 Graphics Card - 8GB ,414.05,2020-09-01 00:00:00
Gigabyte GeForce RTX 2070 SUPER Gaming OC 3X 8GB GDDR6 - White,500.0,2020-09-01 00:00:00
Zotac RTX 2070 Mini,324.01,2020-09-01 00:00:00
PNY XLR8 Gaming NVIDIA GeForce RTX 2070 Overclocked 8GB GDDR6 Graphics Card,335.5,2020-09-01 00:00:00
MSI Gaming GeForce RTX 2070 8GB GDRR6 256-bit Graphics Card,378.24,2020-09-01 00:00:00
ASUS ROG Strix GeForce RTX 2070 OC edition 8GB GDDR6 Graphics Card...,458.7,2020-09-01 00:00:00
NVIDIA MSI GeForce RTX 2070 GAMING Z BV 8GB 8G 256-bit GDDR6 PCIE 3.0 Video Card,428.72,2020-09-01 00:00:00
ASUS ROG STRIX GeForce RTX 2070 SUPER OC 8G GDDR6 ROG-STRIX-RTX-2070S-A8G-GAMING,664.0,2020-09-01 00:00:00
MSI GeForce RTX 2070 SUPER GAMING X TRIO Triple Fan 8GB GDDR6 PCI-E Video Card,553.5,2020-09-01 00:00:00
MSI NVIDIA GeForce RTX 2070 ARMOR 8GB GDDR6 Graphics Card,210.9,2020-09-01 00:00:00
NVIDIA GeForce RTX 2070 Super GDDR6 Graphics Card - 8GB,511.75,2020-09-01 00:00:00
EVGA  GeForce RTX 2070 SUPER BLACK 8GB Graphics Card - 08G-P4-3071-KR,459.99,2020-09-01 00:00:00
NVIDIA GeForce RTX 2070 Super Founder Edition GDDR6 Graphics Card - 8GB,399.2,2020-09-02 00:00:00
MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6,442.95,2020-09-02 00:00:00
"GIGABYTE GeForce RTX 2070 Super GAMING OC 8G Graphics Card, 3 x WINDFORCE Fans",360.0,2020-09-02 00:00:00
EVGA GeForce RTX 2070 XC ULTRA GAMING 8GB GDDR6 Graphics Card (08G-P4-2173-KR),390.89,2020-09-02 00:00:00
NVIDIA RTX 2070 SUPER Founders Edition,402.23,2020-09-02 00:00:00
EVGA NVIDIA GeForce RTX 2070 Super XC Hybrid,400.0,2020-09-02 00:00:00
NVIDIA GeForce RTX 2070 Super GDDR6 Graphics Card - 8GB,460.0,2020-09-02 00:00:00
"GeForce RTX 2070 Super 8GB Graphics Card (Lightly Used, Great Condition)",384.9,2020-09-02 00:00:00
GIGABYTE GeForce RTX 2070 SUPER Windforce OC 3X 8GB Graphics Card...(NEW IN BOX),474.9,2020-09-02 00:00:00
Gigabyte geforce RTX 2070 Super Windforce OC,390.75,2020-09-02 00:00:00
NVIDIA GeForce RTX 2070 Super GDDR6 Graphics Card - 8GB,364.9,2020-09-02 00:00:00
Zotac Gaming GeForce RTX 2070 Mini 8GB ZT-T20700E-10P,298.0,2020-09-02 00:00:00
NVIDIA GeForce RTX 2070 Super GDDR6 Graphics Card - 8GB,399.0,2020-09-02 00:00:00
ASUS ROG STRIX GeForce RTX 2070 Overclocked 8G GDDR6 VR Ready Gaming Graphics,499.0,2020-09-02 00:00:00
ASUS Dual NVIDIA GeForce RTX 2070 EVO V2 OC Edition Gaming Graphics Card ,350.0,2020-09-02 00:00:00
MSI GeForce RTX 2070 SUPER VENTUS Graphics Card - Mint Condition! Free Shipping!,399.0,2020-09-02 00:00:00
PNY GeForce RTX 2070 SUPER 8GB Blower GDDR6 Video Graphics Card GPU,469.0,2020-09-02 00:00:00
EVGA NVIDIA GeForce RTX 2070 Super 8GB GDDR6 Hybrid All In One Water Cooled,430.0,2020-09-02 00:00:00
NVIDIA GeForce RTX 2070 Super Founders Edition GDDR6 Graphics Card - 8GB,440.9,2020-09-02 00:00:00
MSI Gaming GeForce RTX 2070 8GB GDRR6 256-bit Graphics Card,391.74,2020-09-02 00:00:00
EVGA GeForce RTX 2070 Super 8GB Graphics Card,425.9,2020-09-02 00:00:00
EVGA GeForce RTX 2070 Super XC Ultra Graphics Card Free Fast Shipping!,400.0,2020-09-02 00:00:00
Gigabyte GeForce RTX 2070 Windforce 8G Graphics Card 2X Windforce Fans 8GB 25...,399.99,2020-09-02 00:00:00
EVGA 08G-P4-3071-KR GeForce RTX 2070 Super 8GB Graphics Card Lightly Used Clean,400.0,2020-09-02 00:00:00
EVGA 08G-P4-3071-KR GeForce RTX 2070 Super 8GB Graphics Card,529.99,2020-09-02 00:00:00
"EVGA 08G-P4-3173-KR GeForce RTX 2070 Super XC ultra gaming, 8GB GDDR6, Dual HDB ",514.9,2020-09-02 00:00:00
"GIGABYTE GeForce RTX 2070 Super GAMING OC 8G Graphics Card, 3 x WINDFORCE Fans",360.0,2020-09-02 00:00:00
EVGA GeForce RTX 2070 XC ULTRA GAMING 8GB GDDR6 Graphics Card (08G-P4-2173-KR),390.89,2020-09-02 00:00:00
NVIDIA RTX 2070 SUPER Founders Edition,402.23,2020-09-02 00:00:00
EVGA NVIDIA GeForce RTX 2070 Super XC Hybrid,400.0,2020-09-02 00:00:00
NVIDIA GeForce RTX 2070 Super GDDR6 Graphics Card - 8GB,460.0,2020-09-02 00:00:00
"GeForce RTX 2070 Super 8GB Graphics Card (Lightly Used, Great Condition)",384.9,2020-09-02 00:00:00
GIGABYTE GeForce RTX 2070 SUPER Windforce OC 3X 8GB Graphics Card...(NEW IN BOX),474.9,2020-09-02 00:00:00
Gigabyte geforce RTX 2070 Super Windforce OC,390.75,2020-09-02 00:00:00
NVIDIA GeForce RTX 2070 Super GDDR6 Graphics Card - 8GB,364.9,2020-09-02 00:00:00
Zotac Gaming GeForce RTX 2070 Mini 8GB ZT-T20700E-10P,298.0,2020-09-02 00:00:00
NVIDIA GeForce RTX 2070 Super GDDR6 Graphics Card - 8GB,399.0,2020-09-02 00:00:00
ASUS ROG STRIX GeForce RTX 2070 Overclocked 8G GDDR6 VR Ready Gaming Graphics,499.0,2020-09-02 00:00:00
ASUS Dual NVIDIA GeForce RTX 2070 EVO V2 OC Edition Gaming Graphics Card ,350.0,2020-09-02 00:00:00
MSI GeForce RTX 2070 SUPER VENTUS Graphics Card - Mint Condition! Free Shipping!,399.0,2020-09-02 00:00:00
PNY GeForce RTX 2070 SUPER 8GB Blower GDDR6 Video Graphics Card GPU,469.0,2020-09-02 00:00:00
EVGA NVIDIA GeForce RTX 2070 Super 8GB GDDR6 Hybrid All In One Water Cooled,430.0,2020-09-02 00:00:00
NVIDIA GeForce RTX 2070 Super Founders Edition GDDR6 Graphics Card - 8GB,440.9,2020-09-02 00:00:00
MSI Gaming GeForce RTX 2070 8GB GDRR6 256-bit Graphics Card,391.74,2020-09-02 00:00:00
EVGA GeForce RTX 2070 Super 8GB Graphics Card,425.9,2020-09-02 00:00:00
EVGA GeForce RTX 2070 Super XC Ultra Graphics Card Free Fast Shipping!,400.0,2020-09-02 00:00:00
Gigabyte GeForce RTX 2070 Windforce 8G Graphics Card 2X Windforce Fans 8GB 25...,399.99,2020-09-02 00:00:00
EVGA 08G-P4-3071-KR GeForce RTX 2070 Super 8GB Graphics Card Lightly Used Clean,400.0,2020-09-02 00:00:00
EVGA 08G-P4-3071-KR GeForce RTX 2070 Super 8GB Graphics Card,529.99,2020-09-02 00:00:00
"EVGA 08G-P4-3173-KR GeForce RTX 2070 Super XC ultra gaming, 8GB GDDR6, Dual HDB ",514.9,2020-09-02 00:00:00
NVIDIA GeForce RTX 2070 Super 8GB GDDR6 Graphics Card (900-1G180-2510-000),390.0,2020-09-02 00:00:00
EVGA GeForce RTX 2070 Super 8GB GDDR6 Graphics Card (08G-P4-3071-KR),389.99,2020-09-02 00:00:00
EVGA 08G-P4-3172-KR GeForce RTX 2070 Super 8GB GDDR6 Gaming Graphics Card,390.0,2020-09-02 00:00:00
NVIDIA GeForce RTX 2070 Super GDDR6 Graphics Card - 8GB,460.0,2020-09-02 00:00:00
ASUS RTX 2070 Dual Mini Lightly used,350.0,2020-09-02 00:00:00
MSI GeForce RTX 2070 AERO ITX 8G Graphic Card,630.0,2020-09-03 00:00:00
NVIDIA GeForce RTX 2070 SUPER Founders Edition - 8GB GDDR6 1770 MHz - 2560 Cores,500.0,2020-09-03 00:00:00
NVIDIA GeForce RTX 2070 Super FOUNDER EDITION GDDR6 Graphics Card - 8GB,414.9,2020-09-03 00:00:00
MSI GeForce RTX 2070 SUPER VENTUS Graphics Card - 8GB GDDR6,390.0,2020-09-03 00:00:00
