title,price,date
MSI GeForce RTX 3090 GAMING X TRIO 24G,3265.0,2020-09-18 00:00:00
MSI GeForce RTX 3090 GAMING X TRIO 24G,3265.0,2020-09-18 00:00:00
NVIDIA GEFORCE RTX 3090 PNY 24GB GDDR6 XLR8 RGB TRIPLE FAN INTERNATIONAL SHIP OK,2524.0,2020-09-20 00:00:00
NVIDIA RTX 3090 FE PREORDER   LAST ONE OUT OF STOCK,10102.9,2020-09-20 00:00:00
NVIDIA GEFORCE RTX 3090 PNY 24GB GDDR6 XLR8 RGB TRIPLE FAN INTERNATIONAL SHIP OK,2425.0,2020-09-20 00:00:00
NVIDIA GEFORCE RTX 3090 PNY 24GB GDDR6 XLR8 RGB TRIPLE FAN INTERNATIONAL SHIP OK,2849.0,2020-09-22 00:00:00
NVIDIA GEFORCE RTX 3090 PNY 24GB GDDR6 XLR8 RGB TRIPLE FAN INTERNATIONAL SHIP OK,2750.0,2020-09-22 00:00:00
[Pre-Order] RTX 3090 24gb GDDR6X,4200.0,2020-09-22 00:00:00
RTX 3090 ASUS TUF CONFIRMED ORDER ,2359.5,2020-09-23 00:00:00
ZOTAC GAMING GeForce RTX 3090 Trinity Graphics Card ZT-A30900D-10P Ship EarlyOCT,2450.0,2020-09-24 00:00:00
NVIDIA GeForce RTX 3090 Founders Edition FE 24GB *Confirmed/Approved* SHIPS ASAP,3950.0,2020-09-24 00:00:00
MSI RTX3090 Gaming X Trio,34715.0,2020-09-24 00:00:00
[Pre-Order] RTX 3090 24gb GDDR6X,79320.0,2020-09-24 00:00:00
RTX 3090 Gaming PNY - ORDER CONFIRMED!!! (Starting $999 since new seller),7791.62,2020-09-24 00:00:00
MSI GeForce RTX 3090 Ventus 3X OC 24GB GDDR6X Graphics Card (Overnighted Today),3101.21,2020-09-24 00:00:00
Nvidia GeForce RTX 3090 Graphics Card ,1800.0,2020-09-24 00:00:00
Nvidia RTX 3090 FE *Ordered Confirmed*,2610.99,2020-09-24 00:00:00
Nvidia RTX 3090 FE Confirmed Order From Nvidia,2500.0,2020-09-24 00:00:00
"Geforce RTX 3090 ""BFGPU"" Founders Edition Launch Poster *READ DESCRIPTION*",1800.0,2020-09-24 00:00:00
"Geforce RTX 3090 ""BFGPU"" Founders Edition Launch Poster *READ DESCRIPTION*",2500.0,2020-09-24 00:00:00
"Geforce RTX 3090 ""BFGPU"" Founders Edition Launch Poster *READ DESCRIPTION*",1600.0,2020-09-24 00:00:00
