title,price,date
MSI MECH Radeon RX 5500 XT MECH OC Radeon RX 5500 XT Graphic Card - 8 GB GDDR6,249.99,2020-08-29 00:00:00
MSI Radeon RX 5500 XT GAMING X 8G Radeon Graphic Card GPU Video Card AMD,213.88,2020-08-31 00:00:00
ASRock Phantom Gaming D Radeon RX 5500 XT 8G OC Video Card,179.99,2020-08-31 00:00:00
SAPPHIRE PULSE Radeon RX 5500 XT OC 8GB 128-Bit GDDR6 PCI Exp (box dmg),158.99,2020-09-01 00:00:00
SAPPHIRE PULSE Radeon RX 5500 XT OC 8GB 128-Bit GDDR6 PCI Exp,168.99,2020-09-03 00:00:00
PowerColor Radeon RX 5500 XT 8GB Graphic Card DirectX 12 GDDR6,329.99,2020-09-04 00:00:00
XFX - THICC II Pro AMD Radeon RX 5500 XT 8GB GDDR6 PCI Express 4.0 ⭐️Brand New⭐️,199.98,2020-09-05 00:00:00
XFX - THICC II Pro AMD Radeon RX 5500 XT 8GB GDDR6 PCI Express 4.0 Graphics Card,199.99,2020-09-05 00:00:00
MSI RADEON RX 5500 XT MECH 8G OC GRAPHICS Card PCI-E 4.0 8G GDDR6 VR READY NIB,220.0,2020-09-05 00:00:00
XFX RX 5500 XT Thicc II Pro 8GB GDDR6 Graphics Card (RX55XT8DFD6),198.0,2020-09-08 00:00:00
visiontek radeon rx 5500 xt 4gb GDDR6 DisplayPort HDMI DVI,149.99,2020-09-09 00:00:00
MSI - AMD Radeon RX 5500 XT 8GB GDDR6 PCI Express 4.0 Graphics Card - Black/Gray,204.99,2020-09-10 00:00:00
ASUS Radeon Strix RX 5500 XT 8GB GDDR6 ROG-STRIX-RX5500XT-O8G-GAMING Video Card,364.9,2020-09-11 00:00:00
MSI Radeon RX 5500XT 8GB GDDR6 Graphics Card (RX5500XTMECH8GOCBV),164.9,2020-09-11 00:00:00
GIGABYTE Radeon RX 5500 XT OC GDDR6 Graphics Card - 8GB,124.09,2020-09-12 00:00:00
SAPPHIRE AMD Radeon RX 5500 XT 8GB GDDR6 Graphics Card (11293-01-20G),176.99,2020-09-13 00:00:00
XFX RX 5500 XT Thicc II Pro 8GB GDDR6 Graphics Card (RX55XT8DFD6),198.0,2020-09-14 00:00:00
"Gigabyte Radeon RX 5500 XT OC 8G, PCIe 4.0, 8GB 128-Bit GDDR6, Video Card",140.0,2020-09-15 00:00:00
XFX AMD Radeon RX5500 XT 8GB GDDR6 PCI Express 4.0 Graphics Card ,184.9,2020-09-16 00:00:00
XFX RX 5500 XT Thicc II Pro 8GB GDDR6 Graphics Card (RX55XT8DFD6),179.99,2020-09-16 00:00:00
XFX RX 5500 XT Thicc II Pro 8GB GDDR6 Graphics Card (RX55XT8DFD6),179.99,2020-09-17 00:00:00
SAPPHIRE PULSE Radeon RX 5500 XT 8GB Graphics Card,191.47,2020-09-19 00:00:00
Sapphire Nitro+ Radeon RX 5500 XT 8GB GDDR6 GPU,165.0,2020-09-19 00:00:00
Sapphire Pulse Radeon RX 5500 XT DirectX 12  4GB 128-Bit GDDR6 PCI EXPRESS 4.0,148.7,2020-09-19 00:00:00
AMD Radeon RX 5500 XT,184.99,2020-09-21 00:00:00
MSI - AMD Radeon RX 5500 XT 8GB GDDR6 PCI Express 4.0 Graphics Card ,147.0,2020-09-21 00:00:00
XFX AMD Radeon RX5500 XT 8GB GDDR6 PCI Express 4.0 Graphics Card ,159.99,2020-09-25 00:00:00
OEM DELL 0NH5PX AMD Radeon RX 5500 XT 4GB GDDR6 Graphics Card DVI-D HDMI DP,169.99,2020-09-25 00:00:00
ASUS Dual Radeon RX 5500 XT EVO GDDR6 Graphics Card - 8GB,174.0,2020-09-26 00:00:00
Msi 239813 Vcx R5500xtgx8 Radeon Rx 5500 Xt Gaming X 8g 8gb Gddr6 128b Pcie Hdmi,248.53,2020-09-29 00:00:00
"8Gb Asus DUAL-RX5500XT-O8GEVO Radeon Rx 5500xt Gddr6 Dual Fan, NEW",199.99,2020-10-01 00:00:00
XFX - THICC II Pro AMD Radeon RX 5500 XT 8GB GDDR6 PCI Express 4.0 GPU,200.0,2020-10-01 00:00:00
"8Gb Asus DUAL-RX5500XT-O8GEVO Radeon Rx 5500xt Gddr6 Dual Fan, NEW",224.99,2020-10-01 00:00:00
AMD Radeon Rx 5500 XT 8GB neoncolor Card,223.42,2020-10-01 00:00:00
VisionTek Radeon RX 5500 XT - 8 GB GDDR6 - PCIe 4.0 - Graphics Card - 901316,225.0,2020-10-02 00:00:00
VisionTek Radeon RX 5500 XT - 8 GB GDDR6 - PCIe 4.0 - Graphics Card - 901316,248.0,2020-10-02 00:00:00
Gigabyte Radeon RX 5500 XT Gaming OC RGB 80 mm Triple Fan Graphics Card - 4 GB,351.14,2020-10-02 00:00:00
Sapphire NITRO+ Radeon RX 5500 XT 8GB GDDR6 128 bit Gaming Graphic Card,268.38,2020-10-03 00:00:00
"Sapphire Radeon RX 5500 XT PULSE OC 8GB GDDR6 PCIe 4.0 Graphics Card, 7nm RDNA, ",249.57,2020-10-04 00:00:00
VisionTek Radeon RX 5500 XT 8GB GDDR6 PCIe 4.0 Graphics Video Card FREE SHIPPING,169.95,2020-10-05 00:00:00
ASRock Phantom Gaming D Radeon RX 5500 XT 8G OC Video Card,204.7,2020-10-07 00:00:00
ASRock Phantom Gaming D Radeon RX 5500 XT 8G OC Video Card,196.0,2020-10-07 00:00:00
XFX THICC II Pro Radeon RX 5500 XT RX-55XT8DFD6 8GB 128-Bit GDDR6 PCI Express 4.,229.99,2020-10-08 00:00:00
"Sapphire Radeon RX 5500 XT PULSE OC 4GB GDDR6 PCIe 4.0 Graphics Card, 7nm RDNA",210.45,2020-10-08 00:00:00
VisionTek  Radeon RX 5500 XT 4GB GDDR6 Pre-Owned Barely Used,140.0,2020-10-09 00:00:00
Sapphire Radeon Pulse RX 5500 XT 8GB OC GDDR6 PCIE 4.0 HDMI DP 11295-01-20G,244.43,2020-10-09 00:00:00
RX 5500 XT,160.0,2020-10-11 00:00:00
Sapphire graphics card rx pulse 5500 xt 4go,195.86,2020-10-11 00:00:00
Asus Strix AMD Radeon Rx 5500Xt OC 8GB GDDR6 Gaming Graphics Card,248.35,2020-10-12 00:00:00
MSI Radeon RX 5500 XT Gaming X 8GB Dual Fan Graphics Card,344.98,2020-10-12 00:00:00
ASRock Video Card RX5500 XT Challenger 8GO Radeon RX5500 XT CLD 8G GDDR6 128bit ,158.8,2020-10-13 00:00:00
XFX - THICC II Pro AMD Radeon RX 5500 XT 8GB GDDR6 PCI Express 4.0 GPU,189.99,2020-10-14 00:00:00
XFX AMD Radeon RX 5500 XT 8GB GDDR6 4.0 PCIe Output 3x Display Port 1x HDMI 2.0,192.25,2020-10-14 00:00:00
XFX - THICC II Pro AMD Radeon RX 5500 XT 8GB GDDR6 PCI Express 4.0 GPU,254.99,2020-10-14 00:00:00
XFX AMD Radeon RX 5500 XT 8GB GDDR6 4.0 PCIe Output 3x Display Port 1x HDMI 2.0,221.0,2020-10-14 00:00:00
PowerColor Rx 5500 xt 8gb ddr6 graphics card,195.62,2020-10-14 00:00:00
XFX - THICC II Pro AMD Radeon RX 5500 XT 8GB GDDR6 PCI Express 4.0 GPU,236.09,2020-10-14 00:00:00
"VisionTek Radeon RX 5500 XT - 8 GB GDDR6 - PCIe 4.0 - DVI, HDMI, DisplayPort",209.89,2020-10-16 00:00:00
"VisionTek Radeon RX 5500 XT - 8 GB GDDR6 - PCIe 4.0 - DVI, HDMI, DisplayPort",237.89,2020-10-16 00:00:00
"VisionTek Radeon RX 5500 XT - 8 GB GDDR6 - PCIe 4.0 - DVI, HDMI, DisplayPort",224.89,2020-10-16 00:00:00
XFX - THICC II Pro AMD Radeon RX 5500 XT 8GB GDDR6 PCI Express 4.0 Graphics C...,239.99,2020-10-17 00:00:00
AMD Radeon RX 5500 XT 4GB GDDR6 Graphics Card Dell NH5PX,159.99,2020-10-18 00:00:00
ASRock Phantom Gaming D Radeon RX 5500 XT 8G OC Video Card,156.0,2020-10-18 00:00:00
ASRock Phantom Gaming D Radeon RX 5500 XT 8G OC Video Card,145.0,2020-10-18 00:00:00
Asus STRIX AMD Radeon RX 5500 XT OC 8GB GDDR6 Gaming Graphics Card Navi GPU,194.98,2020-10-19 00:00:00
Asus STRIX AMD Radeon RX 5500 XT OC 8GB GDDR6 Gaming Graphics Card Navi GPU,174.99,2020-10-19 00:00:00
MSI Radeon RX 5500 XT 4GB GDDR6 Graphics Card (RADEON RX 5500 XT MECH 4G OC),161.75,2020-10-21 00:00:00
MSI Radeon RX 5500 XT 4GB GDDR6 Graphics Card (RADEON RX 5500 XT MECH 4G OC),150.0,2020-10-21 00:00:00
XFX THICC II Pro AMD Radeon RX 5500 XT 8GB GDDR6 PCI Express 4.0 Navi GPU,189.98,2020-10-22 00:00:00
XFX THICC II Pro AMD Radeon RX 5500 XT 8GB GDDR6 PCI Express 4.0 Navi GPU,169.99,2020-10-22 00:00:00
VisionTek Radeon RX 5500 XT 4GB GDDR6 DVI-D HDMI DP Graphics Card - 901315,175.0,2020-10-23 00:00:00
"Sapphire Radeon RX 5500 XT Pulse 4GB OC (2991E421100SA), Excellent Condition",178.15,2020-10-23 00:00:00
VisionTek Radeon RX 5500 XT 4GB GDDR6 DVI-D HDMI DP Graphics Card - 901315,204.0,2020-10-23 00:00:00
VisionTek Radeon RX 5500 XT 4GB GDDR6 DVI-D HDMI DP Graphics Card - 901315,189.0,2020-10-23 00:00:00
"Sapphire Radeon RX 5500 XT Pulse 4GB OC (2991E421100SA), Excellent Condition",155.0,2020-10-23 00:00:00
"Powercolor Red Dragon Radeon Rx 5500 Xt 8Gb Graphics Card, Model: Axrx 5500Xt 8G",160.0,2020-10-24 00:00:00
