title,price,date
Sapphire PULSE Radeon RX 5600 XT 6GB GDDR6 Graphics Card (11296-01-20G),242.5,2020-08-27 00:00:00
XFX Thicc II Pro AMD Radeon RX 5600 XT 12 6GB GDDR6 Graphics Card (RX56XT6DFD6),235.5,2020-08-27 00:00:00
XFX Thicc II Pro AMD Radeon RX 5600 XT 12 6GB GDDR6 Graphics Card (RX56XT6DFD6),250.0,2020-08-27 00:00:00
XFX - AMD Radeon RX 5600 XT RAW II PRO 6GB GDDR6,235.0,2020-08-28 00:00:00
Gigabyte Radeon RX 5600 XT Gaming OC RGB 80 mm Triple Fan Graphics Card - 6 GB,225.5,2020-08-28 00:00:00
XFX Thicc II Pro AMD Radeon RX 5600 XT 12 6GB GDDR6 Graphics Card (RX56XT6DFD6),230.0,2020-08-28 00:00:00
GIGABYTE Radeon RX 5600 XT OC 6GB GDDR6 Graphics Card (GV-R56XTGAMING OC-6GD),239.0,2020-08-29 00:00:00
"ASUS ROG Strix AMD Radeon RX 5600 XT OC Edition Graphics Card PCIe 4.0, 6GB",325.5,2020-08-30 00:00:00
Sapphire pulse rx 5600 xt,290.0,2020-08-30 00:00:00
XFX Thicc II Pro AMD Radeon RX 5600 XT 12 6GB GDDR6 Graphics Card (RX56XT6DFD6),233.5,2020-08-30 00:00:00
Sapphire PULSE Radeon RX 5600 XT 6GB GDDR6 Graphics Card (11296-01-20G),255.0,2020-08-31 00:00:00
ASRock Radeon RX 5600 XT 6GB Challenger D OC Edition Dual Fan Graphics Card New,298.0,2020-08-31 00:00:00
XFX RX 5600 XT THICC II PRO -14GBPS 6GB GDDR6 BOOST UP TO 1620MHz 3xDP HDMI Grap,240.0,2020-09-01 00:00:00
XFX Amd radeon rx 5600 xt,267.5,2020-09-02 00:00:00
Powercolor Red Devil RX 5600XT 6GB GDDR6,235.0,2020-09-02 00:00:00
XFX RX 5600 XT Thicc III Pro 14Gbps 6GB Boost Up to 1750MHz GDDR6 - RX-56XT6TF48,256.5,2020-09-02 00:00:00
XFX RX 5600 XT THICC II PRO-14GBPS 6GB Graphics Card (RX-56XT6DF46),253.0,2020-09-03 00:00:00
XFX RX 5600 XT THICC II PRO-14GBPS 6GB Graphics Card (RX-56XT6DF46),267.5,2020-09-03 00:00:00
MSI Radeon RX 5600 XT Gaming X 6GB GDDR6 Graphics Card,237.0,2020-09-03 00:00:00
XFX Radeon RX 5600 XT Thicc II Pro 6GB GDDR6 Graphics Card (RX56XT6DFD6),242.0,2020-09-04 00:00:00
XFX - AMD Radeon RX 5600 XT RAW II PRO 6GB GDDR6,250.0,2020-09-04 00:00:00
XFX - AMD Radeon RX 5600 XT RAW II PRO 6GB GDDR6 PCI Express 4.0 Graphics Card,200.0,2020-09-05 00:00:00
SAPPHIRE Pulse AMD Radeon RX 5600 XT 6GB GDDR6 Graphics Card (112960120G),244.5,2020-09-05 00:00:00
XFX Radeon RX 5600 XT 6GB GDDR6 Graphics Card (RX-56XT6OFFR),227.5,2020-09-06 00:00:00
MSI Radeon RX 5600 XT Gaming X 6GB GDDR6 Graphics Card.  Brand new never used.,255.0,2020-09-06 00:00:00
SAPPHIRE Pulse AMD Radeon RX 5600 XT 6GB GDDR6 Graphics Card (112960120G),300.0,2020-09-08 00:00:00
GIGABYTE Radeon RX 5600 XT OC 6GB GDDR6 Graphics Card (GV-R56XTGAMING OC-6GD),233.5,2020-09-09 00:00:00
"XFX Radeon RX 5600 XT THICC III PRO, RX-56XT6TF48 Video Card",260.0,2020-09-09 00:00:00
Sapphire PULSE Radeon RX 5600 XT 6GB GDDR6 Graphics Card (11296-01-20G) NIB,270.0,2020-09-09 00:00:00
XFX Thicc II Pro AMD Radeon RX 5600 XT 12 6GB GDDR6 Graphics Card (RX56XT6DFD6),227.5,2020-09-11 00:00:00
Sapphire PULSE Radeon RX 5600 XT 6GB GDDR6 Graphics Card (11296-01-20G) NIB,255.0,2020-09-12 00:00:00
XFX RX 5600 XT THICC II PRO-14GBPS 6GB Graphics Card (RX-56XT6DF46),226.0,2020-09-12 00:00:00
GIGABYTE Radeon RX 5600 XT OC 6GB GDDR6 Graphics Card (GV-R56XTGAMING OC-6GD) ,240.0,2020-09-12 00:00:00
PowerColor Radeon RX 5600 XT ITX 6GB,278.5,2020-09-13 00:00:00
PowerColor Red Dragon Overclocked Radeon RX 5600 XT 6GB Graphics Card,280.0,2020-09-13 00:00:00
XFX Thicc II Pro AMD Radeon RX 5600 XT 12 6GB GDDR6 Graphics Card (RX56XT6DFD6),240.0,2020-09-14 00:00:00
XFX RX 5600 XT THICC II PRO-14GBPS 6GB Graphics Card (RX-56XT6DF46),228.0,2020-09-17 00:00:00
SAPPHIRE Pulse AMD Radeon RX 5600 XT 6GB GDDR6 Graphics Card (112960120G),292.0,2020-09-18 00:00:00
MSI Radeon RX 5600 XT DirectX 12 RX 5600 XT MECH OC 6GB 192-Bit GDDR6 Video Card,278.5,2020-09-24 00:00:00
