sale_condition,groupA,groupB,groupC,title,price,date
Auction,calculator,GPUs,RX 580,XFX - AMD Radeon RX 580 GTS Black Edition 8GB GDDR5 PCI Express 3.0 Graphics ...,96.9,2020-09-30
Auction,calculator,GPUs,RX 580,MSI Radeon Armor RX 580 4GB GDDR5 Graphics Card (RX 580 ARMOR 4G OC),98.0,2020-09-30
Auction,calculator,GPUs,RX 580,ASUS MINING card AMD RX580-8gb,134.82,2020-09-30
Auction,calculator,GPUs,RX 580,LIGHTLY USED GRAPHICS CARD - ASUS STRIX RX 580 OC Edition 8GB VRAM,170.55,2020-09-30
Auction,calculator,GPUs,RX 580,"**USED, Pristine Condition!** OWC Mercury Helios FX 650 eGPU w/ AMD RX 580 GPU ",305.0,2020-09-30
Auction,calculator,GPUs,RX 580,SAPPHIRE Nitro+ Radeon RX 580 8GB - Mac OS / Hackintosh Compatible,177.5,2020-09-30
Auction,calculator,GPUs,RX 580,SAPPHIRE Pulse Radeon RX 580 8gb Gddr5,110.0,2020-09-30
Auction,calculator,GPUs,RX 580,GIGABYTE Radeon RX 580 Gaming 8GB GDDR5 Graphic Card (GVRX580GAMING8G),148.5,2020-09-30
Auction,calculator,GPUs,RX 580,gigabyte radeon rx 580 4gb,129.86,2020-09-30
Auction,calculator,GPUs,RX 580,ASRock Radeon RX 580 8GB GDDR5 Graphics Card ,134.5,2020-09-30
Auction,calculator,GPUs,RX 580,ASUS AMD Radeon RX580 8GB GDDR5 Graphics Card (DUAL-RX580-O8G),150.55,2020-09-30
Auction,calculator,GPUs,RX 580,MSI AMD Radeon RX 580 8GB GDDR5 PCI Express Graphics Card,135.75,2020-10-01
Auction,calculator,GPUs,RX 580,XFX rx 580 4gb,129.65,2020-10-01
Auction,calculator,GPUs,RX 580,XFX Radeon RX 580 6GB GDDR5 Graphics Card (RX-580P8DFD6),150.5,2020-10-01
Auction,calculator,GPUs,RX 580,MSI Radeon RX 580 8GB Mini V1 Graphics Card,169.05,2020-10-01
Auction,calculator,GPUs,RX 580,GIGABYTE Radeon RX 580 Gaming 8GB GDDR5 Graphic Card (GVRX580GAMING8G),172.0,2020-10-01
Auction,calculator,GPUs,RX 580,GIGABYTE Radeon RX 580 Gaming 8GB GDDR5 Graphic Card,172.5,2020-10-01
Auction,calculator,GPUs,RX 580,GIGABYTE Gaming Box RX 580 8G Graphic Card eGPU (GV-RX580IXEB-8GD) -READ!!!-,296.75,2020-10-01
Auction,calculator,GPUs,RX 580,PowerColor Radeon RX 580 8GB GDDR5 Graphics Card (AXRX5808GBD53DHDV2OC),148.65,2020-10-01
Auction,calculator,GPUs,RX 580,MSI Radeon Armor RX 580 4GB GDDR5 Graphics Card (RX 580 ARMOR 4G OC),111.59,2020-10-01
Auction,calculator,GPUs,RX 580,MSI Radeon RX 580 8GB GDDR5 Graphics Card (RX580ARMOR8GOC),157.5,2020-10-01
Auction,calculator,GPUs,RX 580,XFX AMD Radeon RX 580 GTS Black Core Edition (RX-580P828D6) 8GB GDDR5 PCI Expre…,104.2,2020-10-01
Auction,calculator,GPUs,RX 580,MSI Radeon Armor RX 580 4GB GDDR5 Graphics Card (RX 580 ARMOR 4G OC),106.25,2020-10-01
Auction,calculator,GPUs,RX 580,Radeon RX 580 8gb PowerColor Red Devil Golden Sample     (new but opened box),176.7,2020-10-01
Auction,calculator,GPUs,RX 580,Aorus Radeon RX 580 8GB GDDR5 Graphics Card (GV-RX580AORUS-8GD),152.5,2020-10-01
Auction,calculator,GPUs,RX 580,GIGABYTE Radeon RX 580 8GB GDDR5 Graphics Card (GVRX580GAMING8GD),110.0,2020-10-01
Auction,calculator,GPUs,RX 580,"Blackmagic eGPU RX 580 for Mac - Silver - Thunderbolt 3 x2, HDMI, USB 3.0 x4",635.0,2020-10-01
Auction,calculator,GPUs,RX 580,Powercolor Red Devil Radeon RX 580 OC 8GB Graphics Card (AXRX580 8GBD5-3DHG/OC),158.5,2020-10-01
Auction,calculator,GPUs,RX 580,Blackmagic eGPU - AMD RX580 8GB : Excellent Condition : Thunderbolt 3 : OS X,576.0,2020-10-01
Auction,calculator,GPUs,RX 580,Blackmagic eGPU - AMD RX580 8GB : Brand New and Sealed : Thunderbolt 3 : OS X,666.39,2020-10-01
Auction,calculator,GPUs,RX 580,SAPPHIRE Pulse Radeon RX 580 8gb Gddr5,165.2,2020-10-01
Auction,calculator,GPUs,RX 580,SAPPHIRE Nitro+ Radeon RX 580 8GB GDDR5 Graphics Card (11265-01-20G),184.25,2020-10-02
Auction,calculator,GPUs,RX 580,MSI Radeon Armor RX 580 4GB GDDR5 Graphics Card (RX 580 ARMOR 4G OC) Cleaned!,126.4,2020-10-02
Auction,calculator,GPUs,RX 580,MSI Radeon RX 580 ARMOR 8G OC 8GB GDDR5 Gaming Graphics Card (Check Description),135.9,2020-10-02
Auction,calculator,GPUs,RX 580,Asus Gaming Graphics Card Radeon RX580 OC Edition Memory: 4GB GDDR5 AMD Chipset,122.55,2020-10-02
