title,price,date
Samsung Galaxy Note10+ 5G - 256GB - Aura Black (AT&T) (Single SIM),590.0,2020-08-14 00:00:00
Samsung Galaxy Note 5 SM-N920P/White/ 32GB Sprint/Compatible CDMA Carrier/ Mint,114.98,2020-08-14 00:00:00
Samsung Galaxy Note10+ 5G 256GB - Aura Glow (Verizon) (Read Description) AG9043,390.0,2020-08-14 00:00:00
Samsung Galaxy Note10+ 5G SM-N976V - 256GB - Aura Glow *READ*,550.0,2020-08-14 00:00:00
Samsung Galaxy Note5 N920V 32GB Black Verizon LCD Shadow GOOD 3882,139.89,2020-08-14 00:00:00
Samsung Galaxy Note5 SM-N920A - 32GB - Black (Unlocked) GSM Smartphone - XT17,135.5,2020-08-13 00:00:00
Samsung Galaxy Note5 SM-N920I - 32GB - Black Smartphone,138.09,2020-08-13 00:00:00
Samsung Galaxy Note10+ 5G SM-N976V - 256GB - Aura Black (Verizon) (Single SIM),576.0,2020-08-13 00:00:00
Samsung Galaxy Note 5 - N920T - T-Mobile - Smartphone - FOR PARTS,30.0,2020-08-13 00:00:00
Samsung Galaxy Note 5 32GB - Black - (Unlocked) - Fair Condition,103.5,2020-08-13 00:00:00
Samsung Galaxy Note 5 SM-N920 32GB Gold Platinum Smartphone Please Read 8620a,70.0,2020-08-13 00:00:00
Samsung Galaxy Note5 SM-N920 - 32GB - Gold Platinum (T-Mobile) Smartphone,99.75,2020-08-13 00:00:00
Samsung Galaxy Note 5 N920V Verizon Check IMEI Poor Condition 6-284,73.0,2020-08-13 00:00:00
Google Locked Samsung Galaxy Note5 N920V Verizon Check IMEI GLD RJ-401,96.49,2020-08-13 00:00:00
Samsung Galaxy Note5 N920V 32GB Verizon Check IMEI Grade D RJ-050,91.49,2020-08-13 00:00:00
Samsung Galaxy Note5 N920V 32GB Verizon Check IMEI Poor Condition RJ-509,70.49,2020-08-13 00:00:00
Samsung Galaxy Note 5 (N920V) 64GB Black Verizon GSM Unlocked Look at Pics,99.89,2020-08-12 00:00:00
Samsung Galaxy Note 5 SM-N920 - 32GB - Gold Platinum (Unlocked) Smartphone,166.53,2020-08-12 00:00:00
Samsung Galaxy Note5 SM-N920C - 32GB - Pearl White GSM Unlocked,130.1,2020-08-12 00:00:00
