sale_condition,groupA,groupB,groupC,title,price,date
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Samsung Galaxy S8+ plus SM-G955U- 64GB Black (Unlocked) Cracked Front & Back #S5,90.0,2020-07-08
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Samsung Galaxy S5 SM-G900V 16GB Black Android 6.0.1 Quad Core Verizon Unlocked,52.0,2020-07-08
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Working Samsung Galaxy S5 SM-G900V - 16GB - Shimmery White (Verizon) Smartphone,30.1,2020-07-08
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Samsung Galaxy S5 SM-G900V - 16GB - Charcoal Black (Verizon) Smartphone,52.85,2020-07-08
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Samsung Galaxy S5 SM-G900A - 16GB - Shimmery White (AT&T) Smartphone,116.6,2020-07-08
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Samsung Galaxy S5 Active 16GB Titanium Grey (T-Mobile) - Fair Condition,32.49,2020-07-08
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Lot Of 3 Units X Samsung Galaxy S5 Unlocked - Read Description,46.9,2020-07-08
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Samsung Galaxy S5 16GB (SM-G900V) - Verizon,22.65,2020-07-09
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Samsung Galaxy S5 Android Smartphone,40.75,2020-07-09
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Samsung Galaxy S5 16GB Android Smartphone,36.0,2020-07-09
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Samsung Galaxy S5 Active 16GB Titanium Grey (Telus) - Fair Condition,47.99,2020-07-09
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Samsung Galaxy S5 SM-G900W8 - 16GB - Charcoal Black (Unlocked) Smartphone,50.4,2020-07-09
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Lot of 10 Samsung Galaxy S5 SM-G900V for Verizon network,380.05,2020-07-09
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Samsung Galaxy S5 SM-G900T - 16GB - Charcoal Black (T-Mobile) Smartphone,43.0,2020-07-09
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Samsung S5 White Tmobile - Black screen,24.98,2020-07-09
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,"TOTAL WIRELESS SAMSUNG GALAXY S5 Prepaid Smartphone 5.1"" HD 4G LTE",40.98,2020-07-09
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Samsung Galaxy S5 16GB SM-G900A,60.01,2020-07-09
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Samsung Galaxy S5 SM-G900V 16GB Black Android 6.0.1 Quad Core Verizon Unlocked,48.0,2020-07-10
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Wireless Charging! - Samsung Galaxy S5 - 16GB Charcoal Black Unlocked Smartphone,41.05,2020-07-10
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Samsung Galaxy S5 SM-G900T - 16GB - White (T-Mobile) Smartphone,73.3,2020-07-10
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Samsung Galaxy S5 Active 16GB Titanium Grey (Bell) - Fair Condition,32.49,2020-07-10
Auction,Phones,samsung_galaxy,Samsung Galaxy s5,Samsung Galaxy S5 16 GB - Shimmery White 4G LTE,45.0,2020-07-10
