sale_condition,groupA,groupB,groupC,title,price,date
Auction,calculator,Cameras,Sony A7,Sony Alpha A7 III 24.2MP Digital Camera - Black (Kit with FE 28-70 mm...,1647.0,2020-08-10
Auction,calculator,Cameras,Sony A7,Sony Alpha A7RIV A 7R IV  61MP Digital Camera (Body Only) MINT !!!,2750.0,2020-08-10
Auction,calculator,Cameras,Sony A7,Sony Alpha A7 24.3MP Digital Camera E Mount 35mm Body Only - 7401 Shutter Count,592.0,2020-08-11
Auction,calculator,Cameras,Sony A7,"Sony Alpha A7 III 24.2MP Digital Camera (kit + Tamron 28-75, Viltrox 85mm 1.8)",2425.0,2020-08-11
Auction,calculator,Cameras,Sony A7,Sony Alpha a7R II 42.4MP Digital Camera - Black (Body Only)-USED Good Condition,1043.0,2020-08-11
Auction,calculator,Cameras,Sony A7,"Used Sony Alpha A7III 24.2MP Digital Camera Body + Grip, Battery, & Accessories",1511.0,2020-08-11
Auction,calculator,Cameras,Sony A7,sony a7r ii,1529.0,2020-08-11
Auction,calculator,Cameras,Sony A7,Sony Alpha a7 III Mirrorless Digital Camera (Body Only),1592.24,2020-08-12
Auction,calculator,Cameras,Sony A7,Sony Alpha A7 III 4K Mirrorless Camera w/28-70mm lens and more,1814.99,2020-08-12
Auction,calculator,Cameras,Sony A7,"Sony Alpha A7SII w/ 2 Batteries & Charger, and Sony G 4/18-105 Lens",1453.0,2020-08-12
Auction,calculator,Cameras,Sony A7,Sony Alpha A7 III Mirrorless Digital Camera - Body Only (ILCE7M3B.CEC),1533.0,2020-08-12
Auction,calculator,Cameras,Sony A7,"Sony A7 III, Zeiss FE 24-70 mm F4, excellent condition, clean sensor and lens",1925.0,2020-08-12
Auction,calculator,Cameras,Sony A7,Sony A7R IV 35mm Full-Frame Camera with 61.0MP - Black (Body Only),2470.0,2020-08-12
Auction,calculator,Cameras,Sony A7,"Sony A 7 III Body Only - Includes 1 Battery, Shutter Count 167",1542.5,2020-08-12
Auction,calculator,Cameras,Sony A7,Sony Alpha A7S II 12.2MP Digital Camera - Black (Body Only) ,1309.0,2020-08-12
Auction,calculator,Cameras,Sony A7,Sony Alpha a7R II 42.4MP Digital A7RII Camera - Black (Body Only) - A7R2,1175.0,2020-08-12
Auction,calculator,Cameras,Sony A7,SONY Alpha a7 24.3MP Mirrorless Digital Camera with 28-70mm Lens w/ Extras!,750.0,2020-08-12
Auction,calculator,Cameras,Sony A7,Sony Alpha A7S II 12.2MP Digital Camera - Black (Body Only) ,1200.0,2020-08-13
Auction,calculator,Cameras,Sony A7,Sony Alpha a7R II 42.4MP Mirrorless Full-frame Digital Camera (Body Only),1104.0,2020-08-13
Auction,calculator,Cameras,Sony A7,Sony Alpha A7S II Mirrorless Camera +  accessories,1017.0,2020-08-13
Auction,calculator,Cameras,Sony A7,Sony Alpha A7 24.3MP Digital Camera-(Body Only)-Near Mint-Original Box,536.0,2020-08-13
Auction,calculator,Cameras,Sony A7,Sony Alpha a7R II 42.4MP Digital Camera - USED - Body + Extra Batteries,1138.0,2020-08-13
Auction,calculator,Cameras,Sony A7,Sony ILCE-7 Alpha a7 E-Mount 24.3MP Mirrorless DSLR Camera w/FE 28-70mm OSS Lens,592.0,2020-08-13
Auction,calculator,Cameras,Sony A7,Sony Alpha A7 II 24.3MP Digital Camera - Black (Body Only),617.81,2020-08-13
Auction,calculator,Cameras,Sony A7,Sony Alpha a7riii III Mirrorless Digital Camera with 24-105mm Lens Kit,2800.0,2020-08-13
Auction,calculator,Cameras,Sony A7,MINT++ SONY A7R IV Full-Frame Mirrorless Camera w/ 61 MP  ,2700.0,2020-08-13
