title,price,date
The  Beatles With TONY SHERIDAN My Bonnie The Saints MGM 1964 RARE 45 ,34.7,2020-08-28 00:00:00
""" BEATLES BALLADS THE JOHNNY MANN SINGERS"" LP LIBERTY RECORDS LST-7391 STEREO ",29.48,2020-08-28 00:00:00
THE BEATLES LP Sgt. Pepper's Lonely Hearts Club Band 1967 Capitol   vinyl ,47.0,2020-08-28 00:00:00
The Beatles Abbey Road MFSL 1-023 1980 Audiophile Japan VG/EX half speed master,70.0,2020-08-28 00:00:00
French EP The Beatles Odeon 7 SQ 3739 45 RPM  Please Please Me Ask Me Why,30.0,2020-08-28 00:00:00
Watching Rainbows by The Beatles LP  Rarities German Import Vg+,67.49,2020-08-28 00:00:00
East Coast Invasion 1964 U.S. Tour Interviews  by The Beatles LP Nm ,43.49,2020-08-28 00:00:00
Moviemania ! Interviews Behind Scenes of Hard Days & Help by The Beatles LP Nm ,40.49,2020-08-28 00:00:00
The White Album  by The Beatles 2x LP  Apple Label Embossed Lettering 60s 70s G,33.49,2020-08-28 00:00:00
The Beatles Sgt. Pepper's Lonely Hearts Club Band LP 1967 pressing,38.0,2020-08-28 00:00:00
"""HITS OF THE BEATLES"" LP INSTRUMENTALS PERFORMED BY ""THE CURRENT EVENT"" S98095",28.73,2020-08-28 00:00:00
The Beatles Abbey Road 1st label with no Her Majesy on label 1969 Apple 383,45.5,2020-08-28 00:00:00
"Four By The Beatles EP Capitol EAP-1-2121.  Sleeve is VG, Single is VG pushing t",113.0,2020-08-28 00:00:00
The Beatles - Beatles For Sale - vinyl LP PMC 1240,54.08,2020-08-29 00:00:00
THE BEATLES - BEATLES FOR SALE - 1964 UK 1st PRESSING - EMITEX INNER - EX!!!,44.14,2020-08-29 00:00:00
The Beatles - Beatles For Sale - vinyl LP PMC 1240,54.08,2020-08-29 00:00:00
THE BEATLES - BEATLES FOR SALE - 1964 UK 1st PRESSING - EMITEX INNER - EX!!!,44.14,2020-08-29 00:00:00
The Beatles - Beatles For Sale - vinyl LP PMC 1240,54.08,2020-08-29 00:00:00
THE BEATLES - BEATLES FOR SALE - 1964 UK 1st PRESSING - EMITEX INNER - EX!!!,44.14,2020-08-29 00:00:00
The Beatles - Beatles For Sale - vinyl LP PMC 1240,54.08,2020-08-29 00:00:00
THE BEATLES - BEATLES FOR SALE - 1964 UK 1st PRESSING - EMITEX INNER - EX!!!,44.14,2020-08-29 00:00:00
The Beatles - Beatles For Sale - vinyl LP PMC 1240,54.08,2020-08-29 00:00:00
THE BEATLES - BEATLES FOR SALE - 1964 UK 1st PRESSING - EMITEX INNER - EX!!!,44.14,2020-08-29 00:00:00
The Beatles - Beatles For Sale - vinyl LP PMC 1240,54.08,2020-08-29 00:00:00
THE BEATLES - BEATLES FOR SALE - 1964 UK 1st PRESSING - EMITEX INNER - EX!!!,44.14,2020-08-29 00:00:00
The Beatles Lady Madonna 45 with Picture Sleeve Scranton press Capitol 2138,17.33,2020-08-29 00:00:00
The Beatles White Album 2 lp record 1978 Capitol ,39.0,2020-08-29 00:00:00
