title,price,date
THE BEATLES EP LONG TALL SALLY parlophone 8913 see pics Freepost,34.42,2020-10-01 00:00:00
"The BEATLES, PARLOPONE 45RPM EXTENDED PLAY GEP 8913 LONG TALL SALLY-MONO",23.5,2020-10-02 00:00:00
"The Beatles - Long Tall Sally EP  UK 7"" Picture Sleeve  EX",10.11,2020-10-04 00:00:00
The Beatles-Long Tall Sally-Odeon-Denmark,16.29,2020-10-05 00:00:00
RECORD 7” SINGLE THE BEATLES LONG TALL SALLY 211,5.67,2020-10-05 00:00:00
"THE BEATLES Long Tall Sally EP Mono Vinyl 45 RPM 7"" RSD LIMITED NEW SEALED 2014",32.0,2020-10-16 00:00:00
"Long Tall Sally by The Beatles (Vinyl, 2014, EP, Mono)(0602537995059)",18.25,2020-10-17 00:00:00
"THE BEATLES - LONG TALL SALLY  ORIGINAL PARLOPHONE VINYL E.P. 7"" SINGLE",9.51,2020-10-18 00:00:00
"THE BEATLES,  LONG TALL SALLY,  PARLOPHONE RECORDS 1964",32.37,2020-10-19 00:00:00
The Beatles Long Tall Sally LP Purple Capitol Label Canada Import 6000 Series!!,20.59,2020-10-25 00:00:00
CANADA!!! Ex THE BEATLES Long Tall Sally 1964 MONO CAPITOL T-6063 LP 6000 series,84.51,2020-10-25 00:00:00
The Beatles Long Tall Sally LP Purple Capitol Label Canada Import 6000 Series.,26.49,2020-10-28 00:00:00
"The Beatles ‎–  Long Tall Sally (EP) 7"" Vinyl 45RPM 1964  Parlophone ‎– GEP 8913",24.32,2020-11-01 00:00:00
"THE BEATLES ""LONG TALL SALLY"" US SHEET MUSIC  5/64",270.55,2020-11-04 00:00:00
"THE BEATLES 'Long Tall Sally' 7"" Vinyl EP In Flipback Cover MONO - G06",14.82,2020-11-04 00:00:00
RECORD 7” SINGLE THE BEATLES LONG TALL SALLY 1364,4.32,2020-11-06 00:00:00
THE BEATLES. LONG TALL SALLY. PARLOPHONE GEP 8913 (GREAT EP TRACKS).,23.6,2020-11-06 00:00:00
RECORD 7” SINGLE THE BEATLES LONG TALL SALLY 3047,4.32,2020-11-07 00:00:00
THE BEATLES. LONG TALL SALLY. PARLOPHONE GEP 8913 (GREAT EP TRACKS).,35.38,2020-11-08 00:00:00
RECORD 7” SINGLE THE BEATLES LONG TALL SALLY 1364,2.97,2020-11-11 00:00:00
"The Beatles Long Tall Sally 7"" EP Rare 1964 1st UK 1N/1N Parlophone GEP 8913",20.56,2020-11-14 00:00:00
THE BEATLES - LONG TALL SALLY EP - GEP 8913 - 1ST PRESSING  7TCE 822-1N  823-1N,43.48,2020-11-15 00:00:00
"THE BEATLES - LONG TALL SALLY- 7"" EP",14.71,2020-11-16 00:00:00
THE BEATLES SHEET MUSIC 1964 LONG TALL SALLY SOUTHERN MUSIC CO. FROM THE EP 1964,40.46,2020-11-21 00:00:00
THE BEATLES - LONG TALL SALLY - PARLOPHONE RECORDS - EX,25.63,2020-11-22 00:00:00
The Beatles long tall sally EP 45 Rpm Single gep 8913 1N 1N,37.82,2020-11-28 00:00:00
"Long Tall Sally, by The Beatles",34.71,2020-11-29 00:00:00
The Beatles Vinyl Single Long Tall Sally 45 Extended Play,19.02,2020-11-29 00:00:00
"THE BEATLES-""LONG TALL SALLY"" ORIGINAL SLEEVE-GREAT REPLACEMENT (NO VINYL)-T6063",29.68,2020-12-01 00:00:00
The Beatles Long Tall Sally GEP 8913  Near Mint. ,40.46,2020-12-04 00:00:00
The Beatles EP - Long Tall Sally. Original Parlophone Issue In Mono.,16.86,2020-12-04 00:00:00
THE BEATLES: Long Tall Sally LP – 1978 Canadian Purple Label NM - Unplayed,34.49,2020-12-05 00:00:00
"The Beatles ""Long Tall Sally"" Mono RSD Exclusive Parlophone  Sealed",15.55,2020-12-06 00:00:00
THE BEATLES ~ LONG TALL SALLY ** 1964 PARLOPHONE EP,18.84,2020-12-06 00:00:00
"The Beatles - Long Tall Sally/I Call Your Name. 1969 Japan 7"" 45. AR1155. EX+",36.7,2020-12-12 00:00:00
The Beatles Long Tall Sally LP 6000 Series Canada Import Red Capitol Label Rare!,26.5,2020-12-12 00:00:00
"THE BEATLES Long Tall Sally EP Mono Vinyl 45 RPM 7"" RSD LIMITED NEW SEALED 2014",16.5,2020-12-15 00:00:00
The Beatles Long Tall Sally Vinyl Record T 6063 LP ,112.96,2020-12-17 00:00:00
"The Beatles Long Tall Sally Vinyl LP, Capitol T6063",66.82,2020-12-18 00:00:00
"The Beatles - Long Tall Sally / I Call Your Name | 7"" Japan OR-1155",13.5,2020-12-20 00:00:00
THE BEATLES - LONG TALL SALLY EP - GEP 8913 - 1ST PRESSING  7TCE 822-1N  823-1N,40.08,2020-12-23 00:00:00
The Beatles Long Tall Sally 7” Vinyl Record,34.42,2020-12-25 00:00:00
THE BEATLES=LONG TALL SALLY  E.P.  P/C  VG++,16.2,2020-12-27 00:00:00
