sale_condition,groupA,groupB,groupC,title,price,date
Auction,Albums,TheBeatles,The Beatles The Beatles' Second,Lot of 4 Vintage Beatles LP Vinyls W/White Album Photos SWBO-101 Second Album,35.5,2020-08-28
Auction,Albums,TheBeatles,The Beatles The Beatles' Second,BEATLES - THE BEATLES' SECOND ALBUM - EXCELLENT - ORIGINAL ISSUE,35.32,2020-08-29
Auction,Albums,TheBeatles,The Beatles The Beatles' Second,the rolling stones - i wanna be your man beatles written uk 2nd release record,9.62,2020-08-29
Auction,Albums,TheBeatles,The Beatles The Beatles' Second,The BEATLES - SECOND ALBUM — W/OBI  Flag Series Mono Near Mint,39.86,2020-08-29
Auction,Albums,TheBeatles,The Beatles The Beatles' Second,BEATLES - THE BEATLES' SECOND ALBUM - EXCELLENT - ORIGINAL ISSUE,31.99,2020-08-29
Auction,Albums,TheBeatles,The Beatles The Beatles' Second,The BEATLES - SECOND ALBUM — W/OBI  Flag Series Mono Near Mint,52.0,2020-08-29
Auction,Albums,TheBeatles,The Beatles The Beatles' Second,The Beatles ‎- The Beatles' Second Album - 4 Track Stereo Reel to Reel - 7.5 IPS,285.57,2020-08-30
Auction,Albums,TheBeatles,The Beatles The Beatles' Second,Topps The Beatles Trading Cards 2nd series,4.01,2020-08-30
Auction,Albums,TheBeatles,The Beatles The Beatles' Second,ORIGINAL 1964 TOPPS THE BEATLES 2ND SERIES WAX PACK EMPTY DISPLAY BOX NICE!,346.89,2020-08-30
Auction,Albums,TheBeatles,The Beatles The Beatles' Second,The Beatles Lp Second Album 1964 V. G. T-2080,14.83,2020-08-30
Auction,Albums,TheBeatles,The Beatles The Beatles' Second,THE BEATLES ABBEY ROAD 2/1 2nd PRESS Misaligned Apple STUNNING COVER & AUDIO,144.45,2020-08-30
Auction,Albums,TheBeatles,The Beatles The Beatles' Second,THE BEATLES REVOLVER 2/2 2nd MONO PRESS 1966 Super Clean Vinyl EX/EX+ AUDIO,235.43,2020-08-30
Auction,Albums,TheBeatles,The Beatles The Beatles' Second,1 CENT 4xCD BOX SET The Beatles ‎– The Capitol Albums Vol. 1 Meet/Second/New/65,35.99,2020-08-30
Auction,Albums,TheBeatles,The Beatles The Beatles' Second,The Beatles ‎- The Beatles' Second Album - 4 Track Stereo Reel to Reel - 7.5 IPS,282.77,2020-08-30
Auction,Albums,TheBeatles,The Beatles The Beatles' Second,Topps The Beatles Trading Cards 2nd series,18.01,2020-08-30
Auction,Albums,TheBeatles,The Beatles The Beatles' Second,ORIGINAL 1964 TOPPS THE BEATLES 2ND SERIES WAX PACK EMPTY DISPLAY BOX NICE!,341.89,2020-08-30
