sale_condition,groupA,groupB,groupC,title,price,date
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,The Beatles - Yellow Submarine - Apple LP SW-153 NM- Rare Pitman Press ,52.98,2020-08-30
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,The Beatles Yellow Submarine JOHN PAUL GEORGE & RINGO Set Of 4 Mcfarlane 1999,116.55,2020-08-30
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,"'THE BEATLES YELLOW SUBMARINE"" PAPERBACK BOOK  MAX WILK .SIGNET BOOKS 1968",29.57,2020-09-01
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,"Vintage McFarlane Toys - The Beatles “Yellow Submarine”, 4 Figures, NIB!!",101.55,2020-09-07
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,"THE BEATLES Christmas Ornament Yellow Submarine 5"" x 1.5"" x 5.25 ""H",12.0,2020-09-08
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,The Beatles - Yellow Submarine set of 1999 trading cards with binder,103.0,2020-09-08
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,MPC 759 The Beatles Yellow Submarine new unopened plastic model kit in tin NR,7.99,2020-09-09
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,LEGO 'THE BEATLES YELLOW SUBMARINE' Set / Kit No. 21306 - H17,116.41,2020-09-09
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,1999 The Beatles Yellow Submarine Lyon Lava Lamp & Box In EXCELLENT Condition.,235.0,2020-09-09
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,THE BEATLES McFARLANE YELLOW SUBMARINE MODEL FIGURES RINGO WITH APPLE BONKER ,46.83,2020-09-09
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,The Beatles Yellow Submarine #226 Treasure Hunt 10/10 2020 Hot Wheels Case N,4.0,2020-09-09
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,NWT The Beatles Colorful Yellow Submarine Tunic T 4/5 6/6x 10/12,38.99,2020-09-09
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,The Beatles - Yellow Submarine Inflatable Armchair / 1999 / Official Apple Promo,40.08,2020-09-09
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,Hot Wheels The Beatles Pop Culture 1 - Complete Set - VHTF!! +Yellow Submarine!,55.95,2020-09-09
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,The Beatles Yellow Submarine lp,56.05,2020-09-09
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,"HOT WHEELS THE BEATLE YELLOW SUBMARINE "" KOOL KOMBI"" LOT OF 13 V.H.T.F.",100.0,2020-09-10
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,Lego The Beatles yellow submarine 21306,156.5,2020-09-10
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,THE BEATLES CORGI YELLOW SUBMARINE  DIECAST MODEL No. 05404 AWESOME CONDITION,45.48,2020-09-10
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,1968 THE BEATLES YELLOW SUBMARINE LIGHT SWITCH COVER BLUE MEANIE VINTAGE 60s ,20.5,2020-09-10
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,McFarlane THE BEATLES Yellow Submarine Action Figure Paul McCartney & Glove NEW,7.2,2020-09-10
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,THE BEATLES GENUINE McFARLANE YELLOW SUBMARINE TOY FIGURE GEORGE HARRISON FAB! ,41.47,2020-09-10
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,THE BEATLES GENUINE McFARLANE YELLOW SUBMARINE TOY FIGURE JOHN LENNON AWESOME,41.47,2020-09-10
Auction,Albums,TheBeatles,The Beatles Yellow Submarine,The Beatles Collection 1997 Corgi Classics Diecast Yellow Submarine NIB.,20.0,2020-09-10
