title,price,date
ASRock Radeon RX Vega 56 8GB HBM2 Graphics Card (90-GA0900-00UANF),230.0,2020-08-26 00:00:00
Phantom Gaming X Radeon RX VEGA 56 8G,250.0,2020-08-27 00:00:00
GIGABYTE RX VEGA 56 8GB VIDEO CARD 2X FAN BACKPLATE,238.65,2020-08-29 00:00:00
Perfect Blackmagic eGPU Pro Vega 56,1400.0,2020-08-29 00:00:00
ASRock Phantom Gaming X Radeon RX Vega 56 DirectX 12 RX Vega 56 8G 8GB 2048-Bit,215.99,2020-08-30 00:00:00
SAPPHIRE Pulse Radeon RX Vega 56 8 GB ,230.0,2020-08-30 00:00:00
MSI AMD Radeon RX Vega 56 Air Boost OC - 8GB HBM2 PCI Express x16 Video Card,270.0,2020-08-30 00:00:00
MSI RX Vega 56 Air Boost OC 8GB HBM2 AMD Radeon Graphics Card - DX12/VR/4K Ready,306.99,2020-08-30 00:00:00
MSI AMD Radeon RX Vega 56 Air Boost OC - 8GB **Flashed READ Description**,189.99,2020-08-31 00:00:00
MSI AMD Radeon RX Vega 56 Air Boost OC - 8GB **Backup BIOS ONLY --- READ**,164.99,2020-08-31 00:00:00
MSI AMD Radeon RX Vega 56 Air Boost OC - 8GB HBM2 PCI Express x16 Video Card,350.0,2020-09-01 00:00:00
XFX Radeon Vega 56 8GB graphics card,244.0,2020-09-01 00:00:00
Rx Vega 56 Engineering Sample Hynix HBM,544.8,2020-09-01 00:00:00
PowerColor Radeon RX Vega 56 HBM2 Sumsung Memory GPU Video Card,230.0,2020-09-02 00:00:00
Watercool HEATKILLER® IV for RX Vega 56 and 64,70.0,2020-09-02 00:00:00
MSI AMD Radeon RX Vega 56 Air Boost OC - 8GB HBM2 PCI Express x16 Video Card,235.0,2020-09-03 00:00:00
"Power Color Radeon RX Vega 56 DirectX 8GB, HDMI-2, Box Included.",239.0,2020-09-03 00:00:00
MSI AMD Radeon RX Vega 56 Air Boost OC - 8GB HBM2 PCI Express x16 Video Card,275.99,2020-09-03 00:00:00
MSI AMD Radeon RX Vega 56 Air Boost OC - 8GB HBM2 PCI Express x16 Video Card,285.95,2020-09-04 00:00:00
ASRock AMD Radeon RX Vega 56  - 8GB HBM2 PCI Express x16 Video Card,249.0,2020-09-04 00:00:00
Gigabyte AMD Radeon RX Vega 56 - 8GB HBM2 PCI Express x16 Video Card,235.0,2020-09-04 00:00:00
Radeon RX Vega 56 Air Boost 8G,219.99,2020-09-04 00:00:00
MSI AMD Radeon RX Vega 56 Air Boost OC - 8GB HBM2 PCI Express x16 Video Card,270.0,2020-09-04 00:00:00
Vega 56 reference ,205.0,2020-09-06 00:00:00
MSI AMD Radeon RX Vega 56 Air Boost OC - 8GB HBM2 PCI Express x16 Video Card,220.0,2020-09-07 00:00:00
Asrock AMD Phantom Gaming X Radeon RX VEGA 56 8G,276.0,2020-09-07 00:00:00
MSI RX VEGA 56 8GB used*,235.99,2020-09-08 00:00:00
