sale_condition,groupA,groupB,groupC,title,price,date
Auction,Phones,iPhone,iPhone 6,Apple iPhone 6 - 128GB - Silver (Unlocked) A1549 (CDMA + GSM),143.0,2020-08-10
Auction,Phones,iPhone,iPhone 6,2 Units of Apple iPhone 6 - 64GB - Gold (Unlocked) A1549 (GSM + CDMA) Grade A,310.75,2020-08-10
Auction,Phones,iPhone,iPhone 6,Apple iPhone 6S - 16GB - Silver (Unlocked) A1688 (CDMA + GSM) Grade A,128.0,2020-08-10
Auction,Phones,iPhone,iPhone 6,Apple iPhone 6 - 16GB - Gold A1549 (GSM),140.45,2020-08-10
Auction,Phones,iPhone,iPhone 6,Apple iPhone 8 64GB Unlocked A1905 GSM - Space Gray,325.0,2020-08-10
Auction,Phones,iPhone,iPhone 6,Apple iPhone 6 - 32GB - Space Gray (Unlocked) A1549 (CDMA + GSM),172.5,2020-08-10
Auction,Phones,iPhone,iPhone 6,Apple iPhone 6 - 128GB - Silver (Unlocked) A1549 (CDMA + GSM),143.0,2020-08-10
Auction,Phones,iPhone,iPhone 6,2 Units of Apple iPhone 6 - 64GB - Gold (Unlocked) A1549 (GSM + CDMA) Grade A,310.75,2020-08-10
Auction,Phones,iPhone,iPhone 6,Apple iPhone 6S - 16GB - Silver (Unlocked) A1688 (CDMA + GSM) Grade A,128.0,2020-08-10
Auction,Phones,iPhone,iPhone 6,Apple iPhone 6 - 16GB - Gold A1549 (GSM),140.45,2020-08-10
Auction,Phones,iPhone,iPhone 6,Apple iPhone 8 64GB Unlocked A1905 GSM - Space Gray,325.0,2020-08-10
Auction,Phones,iPhone,iPhone 6,Apple iPhone 6 - 32GB - Space Gray (Unlocked) A1549 (CDMA + GSM),172.5,2020-08-10
Auction,Phones,iPhone,iPhone 6,Apple iPhone 8 - 64GB UNLOCKED Smartphone - Rose Gold (A1905) GSM + CDMA Grade A,278.0,2020-08-11
Auction,Phones,iPhone,iPhone 6,Apple iPhone 6 - 16GB - Space Gray **FOR PARTS ONLY** SOLD AS IS,41.0,2020-08-11
Auction,Phones,iPhone,iPhone 6,"LOT OF THREE TESTED CDMA + GSM UNLOCKED AT&T APPLE iPhone 6S, 128GB PHONES A105J",425.0,2020-08-11
Auction,Phones,iPhone,iPhone 6,"IC LOCKED, GSM UNLOCKED APPLE iPhone 8, 64GB MQ722LL/A PHONE FOR PARTS G20H",146.0,2020-08-11
Auction,Phones,iPhone,iPhone 6,"LOT OF FIVE GSM UNLOCKED GLOBAL APPLE iPhone 6, 16GB PHONES FOR REPAIR Q38T",410.0,2020-08-11
