title,price,date
New Listing,103.85,2020-08-14 00:00:00
New Listing,225.0,2020-08-14 00:00:00
New Listing,219.97,2020-08-14 00:00:00
New Listing,34.79,2020-08-14 00:00:00
New Listing,79.99,2020-08-14 00:00:00
New Listing,104.99,2020-08-14 00:00:00
New Listing,139.59,2020-08-14 00:00:00
NEW(OTHER) GRAY VERIZON GSMUNLOCKED 64GB APPLE IPHONE 6S //PLEASE READ!! HU03,129.0,2020-08-14 00:00:00
Apple iPhone 6 A1549 AT&T 64GB Smartphone iLocked #R1467,28.0,2020-08-14 00:00:00
Apple iPhone 6 64GB A1586 Sprint Unlocked Smartphone iLocked #R1481,25.0,2020-08-14 00:00:00
New Listing,39.99,2020-08-14 00:00:00
New Listing,69.99,2020-08-14 00:00:00
Apple iPhone 6 - 32GB - Space Gray (Boost Mobile) A1586 (CDMA + GSM),59.0,2020-08-14 00:00:00
Nice iPhone 6 16GB GSM Unlocked A1549 Gray Black Fully Tested *No Touch ID*,79.99,2020-08-14 00:00:00
New Listing,154.93,2020-08-14 00:00:00
Apple iPhone 6s - 16GB - Space Gray (AT&T) A1633 (CDMA + GSM) MKQ52LL/A,79.99,2020-08-14 00:00:00
Apple iPhone 6s - 32GB - Space Gray (Cricket) A1633 (CDMA + GSM)  - 8.9/10!!!,97.3,2020-08-14 00:00:00
Great - Apple iPhone 6 - 16GB - Silver (Unlocked) A1586 (CDMA + GSM),98.44,2020-08-14 00:00:00
New Listing,77.99,2020-08-14 00:00:00
Apple iPhone 6 - 16GB - Space Gray (Unlocked) A1549 (CDMA + GSM),95.0,2020-08-14 00:00:00
New Listing,59.99,2020-08-14 00:00:00
New Listing,54.99,2020-08-14 00:00:00
Apple iPhone 6 Plus - 64GB - Space Gray (Unlocked) A1522 (GSM)tmobile ,189.0,2020-08-14 00:00:00
Apple iPhone 6 - 64GB - Gold (Unlocked) A1549 (CDMA + GSM) Good Conditon,98.6,2020-08-14 00:00:00
Apple iPhone 6 - 16GB - Silver A1549 (AT&T) Works With AT&T Network ,86.73,2020-08-14 00:00:00
New Listing,29.95,2020-08-14 00:00:00
Apple iPhone 6S 32GB   Rose Gold AT&T Unlocked -EXCELLENT 9/10!,147.95,2020-08-14 00:00:00
New Listing,159.1,2020-08-14 00:00:00
New Listing,49.94,2020-08-14 00:00:00
New Listing,139.9,2020-08-14 00:00:00
Nice iPhone 6 16GB Verizon Unlocked A1586 Gray Black Fully Tested *No Touch ID*,79.89,2020-08-14 00:00:00
New Listing,79.99,2020-08-14 00:00:00
New Listing,76.99,2020-08-14 00:00:00
"Lot of 2 Parts/Repair Apple iPhone 6  A1549 Ic Lock, For Parts Only Or Repair",49.0,2020-08-14 00:00:00
New Listing,226.0,2020-08-14 00:00:00
Apple iPhone 6s Space Grey 32GB Unlocked (Read Description),93.4,2020-08-14 00:00:00
New Listing,92.98,2020-08-14 00:00:00
New Listing,72.98,2020-08-14 00:00:00
New Listing,97.98,2020-08-14 00:00:00
New Listing,112.98,2020-08-14 00:00:00
New Listing,107.98,2020-08-14 00:00:00
Apple iPhone 6 Plus - 16GB - Gold ,54.6,2020-08-14 00:00:00
Apple iPhone 6 (A1549) 16GB - Space Gray (T-Mobile) Smartphone Clean IMEI J8544,69.99,2020-08-14 00:00:00
New Listing,74.99,2020-08-14 00:00:00
New Listing,71.99,2020-08-14 00:00:00
New Listing,84.6,2020-08-14 00:00:00
New Listing,60.0,2020-08-14 00:00:00
Apple iPhone 6s - 128GB - Space Gray (Unlocked) A1688 Unlocked,119.99,2020-08-14 00:00:00
NEW MetroPCS Apple iPhone 6S 32GB 4G LTE - FAST SHIPPING!!,184.59,2020-08-14 00:00:00
Apple iPhone 6 White FOR PARTS ONLY- Water 💦 Damage- AS/IS See Pictures,35.69,2020-08-14 00:00:00
New Listing,130.0,2020-08-14 00:00:00
New Listing,157.48,2020-08-14 00:00:00
Used - Good - Apple iPhone 6s - 32GB - Silver (Trac Fone) A1633 (CDMA + GSM),97.45,2020-08-14 00:00:00
Apple iPhone 6s - 128GB - Space Gray (AT&T) A1633 (CDMA + GSM) MKQE2LL/A,119.34,2020-08-14 00:00:00
New Listing,347.01,2020-08-14 00:00:00
New Listing,99.99,2020-08-14 00:00:00
Apple iPhone 6s - 16G- SilverA1688 T Mobile (GSM),94.9,2020-08-14 00:00:00
Apple iPhone 6s - 32GB - Space Gray (Straight Talk) A1688 (CDMA + GSM),102.0,2020-08-14 00:00:00
Apple iPhone 8 - 64GB - Gold (Unlocked) A1863 (CDMA + GSM) Mint Condition,249.99,2020-08-14 00:00:00
New Listing,98.0,2020-08-14 00:00:00
New Listing,59.6,2020-08-14 00:00:00
New Listing,57.85,2020-08-14 00:00:00
New Listing,118.48,2020-08-14 00:00:00
New Listing,50.99,2020-08-14 00:00:00
Apple iPhone 6 - 16GB - White/Silver (Verizon) A1549 free shipping,85.0,2020-08-14 00:00:00
New Listing,45.99,2020-08-14 00:00:00
New Listing,55.99,2020-08-14 00:00:00
Apple iPhone 6 - 16GB - Space Gray (Unlocked) A1586 (CDMA + GSM)  Sealed box,180.95,2020-08-14 00:00:00
Apple iPhone 6 Plus - 16GB - Model A1522 - UNLOCKED ***Certified Pre-Owned***,177.13,2020-08-14 00:00:00
New Listing,35.99,2020-08-14 00:00:00
Nice iPhone 6 64GB GSM Unlocked A1549 Gray Black Fully Tested *No Touch ID*,89.99,2020-08-14 00:00:00
iPhone 8 64GB Verizon Mint Condition! Clean IMEI! Unlocked!,229.99,2020-08-14 00:00:00
Apple iPhone 8 - 64GB - Silver (Unlocked GSM),239.0,2020-08-14 00:00:00
Apple iPhone 8 - 64GB - Silver (Unlocked) Bundle,250.0,2020-08-14 00:00:00
