title,price,date
Apple iPhone 6 Plus - 128GB - Space Gray (Unlocked) A1522 (CDMA + GSM) Grade A,174.89,2020-08-14 00:00:00
Apple iPhone 6 Plus - 64GB - Gold (Unlocked) A1522 (GSM),141.35,2020-08-14 00:00:00
Apple iPhone 6 Plus - 64GB - Space Gray (AT&T) A1522 (GSM) AT&T Network,125.24,2020-08-14 00:00:00
Apple iPhone 6 Plus - 64GB - Silver (Unlocked),134.25,2020-08-14 00:00:00
Apple iPhone 6 Plus - 16GB - Silver (Unlocked) A1522 (CDMA + GSM),99.6,2020-08-14 00:00:00
Apple iPhone 6 Plus - 16GB - Gold ,19.6,2020-08-14 00:00:00
Apple iPhone 6 Plus - 64GB - Silver (Unlocked) A1524 (CDMA + GSM),138.5,2020-08-14 00:00:00
Apple iPhone 6 Plus - 16GB - Silver (AT&T) A1522 (GSM),32.4,2020-08-14 00:00:00
 iPhone 6 Plus 32 GB Space Gray GOOD CONDITION! ,99.9,2020-08-14 00:00:00
New Listing,105.0,2020-08-14 00:00:00
Apple iPhone 6 Plus - 64GB - Silver (Unlocked) A1522 (CDMA + GSM) Cracked Screen,89.29,2020-08-14 00:00:00
Apple iPhone 6 Plus - 16GB - Gold (Unlocked) A1522 (CDMA + GSM),80.99,2020-08-14 00:00:00
Apple iPhone 6 Plus Ic On. Parts,33.75,2020-08-13 00:00:00
Apple iPhone 6 Plus - 128GB - Space Gray (Unlocked) A1524 (CDMA + GSM),98.99,2020-08-13 00:00:00
Apple iPhone 6 Plus 64GB Gold (Unlocked) Clean IMEI Phone Only W7,102.6,2020-08-13 00:00:00
Apple iPhone 6 Plus - 64GB - Gold (Unlocked) A1524 (CDMA + GSM),122.5,2020-08-13 00:00:00
Apple iPhone 6 Plus - 16GB - Gold (Unlocked) A1522 (CDMA + GSM),71.0,2020-08-13 00:00:00
Apple iPhone 6 Plus - 32GB - Rose Gold  T-Mobile A1687,69.99,2020-08-13 00:00:00
Apple iPhone 6 Plus - 16GB - Silver (Unlocked) A1522 (CDMA + GSM),89.25,2020-08-13 00:00:00
Apple iPhone 6 Plus - 16GB - Space Gray (Unlocked) A1522 (GSM),130.0,2020-08-13 00:00:00
New Listing,136.0,2020-08-13 00:00:00
Apple iPhone 6 Plus - 64GB - Gold (Unlocked) A1524 (CDMA + GSM),122.4,2020-08-13 00:00:00
Apple iPhone 6 Plus - 16GB - Gold (Verizon) A1522 (CDMA + GSM) BROKEN SCREEN,104.89,2020-08-13 00:00:00
Apple iPhone 6 Plus - 64GB - Space Gray (Unlocked) A1524 (CDMA + GSM),65.0,2020-08-13 00:00:00
Apple iPhone 6 Plus - 16GB - Gold (Unlocked) A1524 (CDMA + GSM),70.0,2020-08-13 00:00:00
Apple iPhone 6 Plus - 16GB - Gray (Sprint) A1524 CDMA + GSM SEALED CLEAN IMEI,125.25,2020-08-13 00:00:00
Apple iPhone 6 Plus - 16GB - Gold (Sprint) A1524 CDMA + GSM SEALED CLEAN IMEI,111.75,2020-08-13 00:00:00
Apple iPhone 6 Plus - 16GB - Gray (Sprint) A1524 CDMA + GSM SEALED CLEAN IMEI,95.75,2020-08-13 00:00:00
Apple iPhone 6 Plus - 16GB - Silver (Sprint) A1524 CDMA + GSM SEALED CLEAN IMEI,117.25,2020-08-13 00:00:00
Apple iPhone 6 Plus - 16GB - Silver (Sprint) A1524 CDMA + GSM SEALED CLEAN IMEI,88.75,2020-08-13 00:00:00
Apple iPhone 6 Plus - 16GB - Space Gray ,80.95,2020-08-13 00:00:00
Apple iPhone 6 Plus - 16GB - Gold (Unlocked) A1524 (CDMA + GSM),76.0,2020-08-13 00:00:00
Apple iPhone 6 Plus - 16GB - Gold (Unlocked) A1524 (CDMA + GSM),115.0,2020-08-13 00:00:00
Apple iPhone 6 Plus - 128GB - Gold (Unlocked) A1522 (CDMA + GSM),50.0,2020-08-13 00:00:00
Apple iPhone 6 Plus - 128GB - Space Gray (Unlocked) (Read Description) AG9041,97.0,2020-08-13 00:00:00
Apple iPhone 6 Plus - 128GB - Space Gray (Unlocked) A1522 (GSM) (CA),124.44,2020-08-13 00:00:00
