title,price,date
New Listing,107.0,2020-10-04 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator Blue - Tested & Working,89.95,2020-10-04 00:00:00
New Listing,100.0,2020-10-04 00:00:00
New Listing,108.0,2020-10-04 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator - Brand New In Box,117.0,2020-10-04 00:00:00
Texas Instruments TI-84 Plus CE - Graphing Calculator - Black - BRAND NEW!,109.99,2020-10-03 00:00:00
New TI-84 Plus CE Charger Power AC Adapter Genuine TI Product w USB Cable,5.98,2020-10-03 00:00:00
*NEW* Texas Instruments Ti-84 Plus CE Graphing Calculator - Galaxy Grey,119.99,2020-10-03 00:00:00
Texas Instruments TI 84 PLUS CE Graphing Calculator - Blue,108.0,2020-10-03 00:00:00
New Listing,105.0,2020-10-03 00:00:00
New TI-84 Plus CE Replacement Battery Nspire CX and CAS w/o Wire Genuine TI,9.99,2020-10-03 00:00:00
New Listing,99.98,2020-10-03 00:00:00
"Texas Instruments TI-84 Plus CE Color Graphing Calculator - Red,Blue,White,Black",113.99,2020-10-03 00:00:00
New Listing,107.85,2020-10-03 00:00:00
New Listing,99.0,2020-10-03 00:00:00
TI-84 Plus CE Graphing Calculator Color Screen TI84 Graphic - Yellow Special Ed.,102.98,2020-10-03 00:00:00
New Listing,105.0,2020-10-03 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator - Blue - New & Sealed,109.95,2020-10-03 00:00:00
New Listing,105.0,2020-10-03 00:00:00
New Listing,100.0,2020-10-03 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator - Blue - Brand New Sealed!,114.95,2020-10-03 00:00:00
New Listing,77.85,2020-10-03 00:00:00
New Listing,108.84,2020-10-03 00:00:00
New Listing,95.75,2020-10-03 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator,108.0,2020-10-03 00:00:00
Texas Instruments Ti-84 Plus CE Graphing Color Calculator Radical Red (SEALED),114.89,2020-10-03 00:00:00
Texas Instruments TI-84 Plus Ce Graphing Calculator Black Electronics Electronic,128.57,2020-10-03 00:00:00
Texas Instruments TI-84 Plus CE Color Graphing Calculator White New,109.55,2020-10-03 00:00:00
NEW TI-84 Plus CE TI-NSprie Charger Charging Cable USB TI NSpire CAS ,12.99,2020-10-03 00:00:00
New Factory TI-84 Plus CE Charger AC Adapter with USB Cable,6.99,2020-10-03 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator - Black,94.99,2020-10-03 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator Black FREE SHIPPING!,80.0,2020-10-03 00:00:00
Texas Instruments TI84 Plus CE Graphing Calculator - Black (NEW),104.95,2020-10-03 00:00:00
NEW TEXAS INSTRUMENTS TI-84 PLUS CE GRAPHING CALCULATOR,95.0,2020-10-03 00:00:00
Texas Instruments TI-84 Plus CE Black Graphing Calculator *TESTED & WORKING*,84.99,2020-10-03 00:00:00
Texas Instruments TI 84 PLUS CE Graphing Calculator - Blue,99.59,2020-10-03 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator - NEW IN PACKAGE,100.0,2020-10-03 00:00:00
Texas Instruments TI 84 PLUS CE Graphing Calculator - Blue,88.25,2020-10-03 00:00:00
graphing calculator ti-84 plus ce used,69.6,2020-10-03 00:00:00
TEXAS INSTRUMENTS TI-84 PLUS CE COLOR GRAPHING CALCULATOR (BLUE 300) NEW SEALED,99.99,2020-10-03 00:00:00
Texas Instruments TI 84 PLUS CE Graphing Calculator - Blue Brand new,100.99,2020-10-03 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator,72.7,2020-10-03 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator,117.6,2020-10-02 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator - White ***SHIPS FREE***,99.95,2020-10-02 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator *FREE SHIPPING*,105.0,2020-10-02 00:00:00
Texas Instruments TI 84 PLUS CE Graphing Calculator - Blue,115.5,2020-10-02 00:00:00
Texas Instruments TI-84 PLUS CE GRAPHING CALCULATOR.,80.0,2020-10-02 00:00:00
"SEALED Texas Instruments TI-84 Plus CE Color Graphing Calculator, Rose Gold  NIB",110.0,2020-10-02 00:00:00
NEW GENUINE TI-84 PLUS CE CHARGER CABLE CORD TI NSPIRE CX CAS FREE SHIPPING,7.99,2020-10-02 00:00:00
Texas Instruments TI 84 Plus CE Graphing Calculator,114.0,2020-10-02 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator - Blue - New & Sealed,104.99,2020-10-02 00:00:00
Graphing Calculator Carrying Case for Texas Instruments TI-84 Plus CE Hard EVA,9.49,2020-10-02 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator Black FREE SHIPPING!! CA,79.95,2020-10-02 00:00:00
New In Box Casio PRIZM fx-CG50 Compare To TI-84 Plus CE,69.99,2020-10-02 00:00:00
NEW TEXAS INSTRUMENTS TI-84 PLUS CE GOLD GRAPHING CALCULATOR-NIP,112.99,2020-10-02 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator - NEW IN PACKAGE,100.0,2020-10-02 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator Radical Red Brand New Sealed,99.95,2020-10-02 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator Radical Red Brand New Sealed,115.99,2020-10-02 00:00:00
Texas Instruments TI-84 PLUS CE Graphing Calculator White Black,82.0,2020-10-02 00:00:00
Graphing Calculator Carrying EVA Hard Case for Texas Instruments TI-84 Plus CE,9.49,2020-10-02 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator (Mint) ,85.0,2020-10-02 00:00:00
Texas Instruments TI84 Plus CE Graphing Calculator - Black,100.0,2020-10-02 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator - White-FAST SHIPPING !! NEW,95.0,2020-10-02 00:00:00
"Texas Instruments TI 84 PLUS CE Graphing Calculator - Mint *New, slightly used*",73.09,2020-10-02 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator - NEW IN PACKAGE,100.0,2020-10-02 00:00:00
"Texas Instruments TI 84 PLUS CE Graphing Calculator - Coral *New, slightly used*",73.09,2020-10-02 00:00:00
"Texas Instruments TI 84 PLUS CE Graphing Calculator - Blue *New, slightly used*",73.09,2020-10-02 00:00:00
New Calculators Bundle Texas Instruments 5 TI-84 Plus CE & 1 Ti 83 Plus,578.95,2020-10-02 00:00:00
"Texas Instruments TI-84 Plus CE Color Graphing Calculator - Red,Blue,White,Black",113.99,2020-10-02 00:00:00
New Texas Instruments TI-84 Plus CE Color Graphing Calculator - White - SAT ACT ,99.95,2020-10-02 00:00:00
New Texas Instruments TI-84 Plus CE Color Graphing Calculator - RED - SAT ACT ,99.95,2020-10-02 00:00:00
"SEALED Texas Instruments TI-84 Plus CE Color Graphing Calculator, Rose Gold ",114.99,2020-10-02 00:00:00
"NEW Lot of 2 Texas Instruments TI-84 Plus CE Graphing Calculator, Black",209.99,2020-10-02 00:00:00
NEW Texas Instruments TI-84 Plus CE Graphing Calculator - FREE SHIPPING!!,109.99,2020-10-02 00:00:00
Texas Instruments TI-84 Plus CE Color Graphing Calculator,89.99,2020-10-02 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator - NEW IN PACKAGE,100.0,2020-10-02 00:00:00
Texas Instruments Ti 84 Plus CE School Edition Calculator Yellow No Cover,89.99,2020-10-02 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator (Mint) ,91.15,2020-10-02 00:00:00
Texas Instruments Ti-84 Plus CE 3MB ROM Graphing Calculator - Radical Red,99.6,2020-10-02 00:00:00
NEW Texas Instruments TI-84 Plus CE Graphing Calculator - FREE SHIPPING!!,109.99,2020-10-01 00:00:00
"Texas Instruments TI-84 Plus CE Graphing Calculator, Color Screen. New",97.5,2020-10-01 00:00:00
NEW Texas Instruments TI-84 Plus CE Graphing Calculator - FREE SHIPPING!!,109.99,2020-10-01 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator with USB cable (Pink),92.0,2020-10-01 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator - Black - Factory Sealed!,104.99,2020-10-01 00:00:00
Texas Instruments TI-84 Plus CE Graphing Calculator,79.59,2020-10-01 00:00:00
TI-84 Plus CE Graphing Calculator Color Screen TI84 Graphic,89.99,2020-10-01 00:00:00
"TI 84 Plus CE Battery, Texas Instruments TI 84 Plus CE Charger Combo Kit ",22.99,2020-10-01 00:00:00
Texas Instruments TI-84 Plus CE Pink Color Graphing Calculator In Box Great ,88.39,2020-10-01 00:00:00
Texas Instruments Ti-84 Plus CE Plum Graphing Color Calculator - Rose Gold,99.6,2020-10-01 00:00:00
"TEXAS INSTRUMENTS TI-84 PLUS CE GRAPHING CALCULATOR WITH CASE,WHITE",98.0,2020-10-01 00:00:00
Texas Instruments TI-84 Plus CE Color Graphing Calculator Rose Gold,105.0,2020-10-01 00:00:00
