title,price,date
Nintendo 3ds xl console system poor condition with charger. ,44.0,2020-08-11 00:00:00
Nintendo DSi Barely Used US Matte Black Very Sleek Open Box,132.75,2020-08-11 00:00:00
New Listing,79.99,2020-08-11 00:00:00
New Nintendo 3DS XL Galaxy Style - Charger Included No Box or Stylus,174.9,2020-08-11 00:00:00
New Listing,64.99,2020-08-11 00:00:00
Nintendo 3DS Handheld System Aqua Blue w/ New Super Mario Bros. 2 bundle lot,149.9,2020-08-11 00:00:00
Special Edition Metroid Nintendo NEW 3DS XL with AMBASSADOR PROGRAM (RARE GBA),399.0,2020-08-11 00:00:00
Nintendo New 3DS XL Galaxy Edition with Case,160.0,2020-08-11 00:00:00
"Nintendo 3DS XL with Box, Carrying Case, Zelda, Pokémon Bundle - Great Condition",180.74,2020-08-11 00:00:00
New Nintendo 3DS XL Super NES SNES Edition Console,345.07,2020-08-11 00:00:00
Nintendo 3ds,66.2,2020-08-11 00:00:00
3DS XL with Skylanders Bundle,206.95,2020-08-11 00:00:00
"Nintendo 3DS Handheld System, Flame Red, Charger, Animal Crossing and Case",110.0,2020-08-11 00:00:00
New Listing,108.4,2020-08-11 00:00:00
Nintendo 3DS XL Pikachu Edition Yellow Handheld System,151.75,2020-08-11 00:00:00
3ds xl w/ New Super Mario Bros. & Lego Avengers + Zelda Case!,133.0,2020-08-11 00:00:00
New Listing,175.9,2020-08-11 00:00:00
New Nintendo 3DS XL Galaxy Edition Purple RED-001 6 Games Case Charger,179.99,2020-08-11 00:00:00
U2565 Nintendo 3DS LL XL console Black Japan w/box,77.98,2020-08-11 00:00:00
New Listing,59.0,2020-08-11 00:00:00
New Listing,112.99,2020-08-11 00:00:00
New Nintendo 3DS Super Mario Black Edition System w/Charger,161.2,2020-08-11 00:00:00
Nintendo 3DS Kingdom hearts Console 3D Dream Drop Distance limited box ,154.43,2020-08-11 00:00:00
"Nintendo ""New"" 3ds XL",122.59,2020-08-11 00:00:00
New Listing,98.3,2020-08-11 00:00:00
New Nintendo 3DS Super Mario Black Edition System w/Charger,138.7,2020-08-11 00:00:00
Nintendo 3DS XL Green Special Yoshi Edition Console Bundle ,181.0,2020-08-11 00:00:00
Nintendo DS Lite Crimson Red w/ Stylus + Charger,77.45,2020-08-11 00:00:00
New Listing,69.0,2020-08-11 00:00:00
New Listing,69.0,2020-08-11 00:00:00
New Listing,129.99,2020-08-11 00:00:00
"Nintendo 3DS XL - Red With Charger,Stylus And Trvl Case Including 3 Games",131.45,2020-08-11 00:00:00
New Listing,185.0,2020-08-11 00:00:00
New Listing,30.0,2020-08-11 00:00:00
New Listing,164.9,2020-08-11 00:00:00
"Nintendo 3DS Super Mario 3D Flame Red Box,  **BOX ONLY**",24.89,2020-08-11 00:00:00
Nintendo 3DS XL 4GB Blue Handheld System (No Stylus),110.9,2020-08-11 00:00:00
Nintendo 3DS XL Galaxy Style 1GB Purple Console MINT Condition,144.75,2020-08-11 00:00:00
Nintendo 3DS Handheld game system With 4 Games,99.9,2020-08-11 00:00:00
"NINTENDO 3DS XL SPR-001 HANDHELD CONSOLE SYSTEM - RED - Please read, bad camera",67.95,2020-08-11 00:00:00
Nintendo 3DS Super Mario 3D Land Flame Red Handheld System,102.64,2020-08-11 00:00:00
Nintendo 3DS XL Galaxy Style BUNDLE,145.5,2020-08-11 00:00:00
Nintendo “New” 3DS Super Mario Black Edition System,179.98,2020-08-11 00:00:00
New Listing,100.0,2020-08-11 00:00:00
Nintendo 3DS / Nintendo 2DS -- MODDING SERVICE [READ DESCRIPTION],45.0,2020-08-11 00:00:00
New Listing,106.99,2020-08-11 00:00:00
New Listing,78.25,2020-08-11 00:00:00
Nintendo 3DS Cosmic Black CTR-001 2011 version,87.3,2020-08-11 00:00:00
New Listing,88.3,2020-08-11 00:00:00
Nintendo New 3DS XL 4GB Black Handheld System Bundle,159.99,2020-08-11 00:00:00
Z10957 Nintendo 3DS Aqua Blue console Japan N3DS x Express,29.0,2020-08-11 00:00:00
Z12790 Nintendo 3DS LL Black console Japan x Express,60.0,2020-08-11 00:00:00
Z12792 Nintendo NEW 3DS LL Metallic black console Japan x Express,71.0,2020-08-11 00:00:00
b237 Nintendo 3DS LL Pink x White console Japan w/penx Express,36.28,2020-08-11 00:00:00
b239 Nintendo 3DS LL White console Japan Junk For parts Express,37.37,2020-08-11 00:00:00
Z12791 Nintendo 3DS LL Animal Crossing New Leaf console limited Japan w/penx,45.11,2020-08-11 00:00:00
P3766 Nintendo 3DS LL Blue x Black console Japan Express,61.0,2020-08-11 00:00:00
Z10533 Nintendo 3DS LL White console Japan x Express,44.28,2020-08-11 00:00:00
b231 Nintendo 3DS Clear Black console Japan N3DS Junk For parts Express,30.74,2020-08-11 00:00:00
P7519 Nintendo 3DS Black console Japan N3DS x Express,30.5,2020-08-11 00:00:00
b236 Nintendo 3DS LL Blue x Black console Japan w/penx Express,27.37,2020-08-11 00:00:00
P7527 Nintendo 3DS Black console Japan N3DS Junk For parts Express,34.86,2020-08-11 00:00:00
P7525 Nintendo 3DS Black console Japan N3DS x Express,22.96,2020-08-11 00:00:00
P7528 Nintendo 3DS Metallic Red console Japan N3DS Junk For parts Express,36.27,2020-08-11 00:00:00
P7520 Nintendo 3DS White console Japan N3DS Express,34.5,2020-08-11 00:00:00
b232 Nintendo 3DS Ice white console Japan N3DS Junk For parts Express,31.23,2020-08-11 00:00:00
b240 Nintendo 3DS LL Pink x White console Japan Junk For parts Express,35.24,2020-08-11 00:00:00
Z12794 Nintendo NEW 3DS LL Hailar Edition (The Legend of Zelda) console JP w/pen,88.0,2020-08-11 00:00:00
Z12789 Nintendo 3DS LL Black console Japan w/penx Express,41.5,2020-08-11 00:00:00
P7526 Nintendo 3DS Cobalt Blue console Japan N3DS Junk For parts Express,31.95,2020-08-11 00:00:00
New Listing,112.99,2020-08-11 00:00:00
Nintendo 3DS XL Pokemon X and Y Blue Handheld System W/ Power Cord,160.5,2020-08-11 00:00:00
V2750 Nintendo new 3DS console Black Japan w/stylus pen,91.98,2020-08-11 00:00:00
Nintendo 3DS Cobalt Blue Handheld System (NTSC-J),85.0,2020-08-11 00:00:00
Nintendo 3DS XL Handheld System Red CTR-001(USA) CTR-S-USZ-CO comes with case,76.1,2020-08-11 00:00:00
**EUC**  PINK Nintendo 3DS Bundle w/Case & Chargers **EUC**,125.47,2020-08-11 00:00:00
Nintendo NEW  2DS XL + 100 3DS games - Mario Pokemon Ultra Sun Moon Smash Bros ,249.99,2020-08-11 00:00:00
New Listing,109.99,2020-08-11 00:00:00
New Listing,135.0,2020-08-11 00:00:00
nintendo 3ds xl,83.9,2020-08-11 00:00:00
Excellent Black Nintendo New 3DS XL 4GB Handheld System with Original Stylus,136.75,2020-08-11 00:00:00
"Nintendo ""New"" 3DS XL Metallic Grey  Handheld System W Donkey Kong Mario Kart",168.98,2020-08-11 00:00:00
Nintendo 3DS XL Handheld Console - Blue/Black - With Charger,123.6,2020-08-11 00:00:00
Nintendo 3DS Handheld System Red Charging Port Short Still Works,63.5,2020-08-11 00:00:00
Nintendo 3DS Handheld System - Flame Red + Game Lot *READ DESCRIPTION*,130.99,2020-08-11 00:00:00
Nintendo 2DS XL Handheld System - Black & Turquoise with game and case,105.9,2020-08-11 00:00:00
"Nintendo 3DS Flame Red With Charger, Charging Pad, Sonic Colors, And 2 GB SD",74.6,2020-08-11 00:00:00
"Nintendo 3DS Lite - Black, Includes Games, Charger, And Carrying Case",49.3,2020-08-11 00:00:00
New Listing,59.0,2020-08-11 00:00:00
