name,queryDataDirectory,productListDirectory,AveragePriceDirectory,VolumeDirectory,AllListingsLink,AuctionLink,BuyItNowLink
1984,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=1984&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=1984&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=1984&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
A Brief History of Time,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=A Brief History of Time&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=A Brief History of Time&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=A Brief History of Time&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
A Separate Peace,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=A Separate Peace&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=A Separate Peace&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=A Separate Peace&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
A Tale of Two Cities,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=A Tale of Two Cities&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=A Tale of Two Cities&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=A Tale of Two Cities&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
All Quiet on the Western Front,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=All Quiet on the Western Front&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=All Quiet on the Western Front&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=All Quiet on the Western Front&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Alpha A6300,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Alpha A6300&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Alpha A6300&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Alpha A6300&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
An Inspector Calls,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=An Inspector Calls&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=An Inspector Calls&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=An Inspector Calls&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
"Anne of Green Gables (Anne of Green Gables, #1)",,,,,"https://www.ebay.com/sch/i.html?_from=R40&_nkw=Anne of Green Gables (Anne of Green Gables, #1)&LH_Sold=1&LH_Complete=1&_ipg=200","https://www.ebay.com/sch/i.html?_from=R40&_nkw=Anne of Green Gables (Anne of Green Gables, #1)&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200","https://www.ebay.com/sch/i.html?_from=R40&_nkw=Anne of Green Gables (Anne of Green Gables, #1)&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200"
Anthem,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Anthem&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Anthem&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Anthem&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Apple AirPods Max,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Apple AirPods Max&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Apple AirPods Max&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Apple AirPods Max&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Apple Airpods 1st Generation,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Apple Airpods 1st Generation&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Apple Airpods 1st Generation&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Apple Airpods 1st Generation&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Apple Airpods 2nd Generation,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Apple Airpods 2nd Generation&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Apple Airpods 2nd Generation&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Apple Airpods 2nd Generation&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Apple Airpods Pro,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Apple Airpods Pro&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Apple Airpods Pro&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Apple Airpods Pro&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
