sale_condition,groupA,groupB,groupC,title,price,date
Auction,Phones,iPhone,iPhone XS,sample title 0,0,2018-01-10
BIN,Phones,iPhone,iPhone XS,sample title 1,2,2018-01-11
Auction,Phones,iPhone,iPhone XS,sample title 2,4,2018-01-12
BIN,Phones,iPhone,iPhone XS,sample title 3,6,2018-01-13
Auction,Phones,iPhone,iPhone XS,sample title 4,8,2018-01-14
BIN,Phones,iPhone,iPhone XS,sample title 5,10,2018-01-15
Auction,Phones,iPhone,iPhone XS,sample title 6,12,2018-01-16
BIN,Phones,iPhone,iPhone XS,sample title 7,14,2018-01-17
Auction,Phones,iPhone,iPhone XS,sample title 8,16,2018-01-18
BIN,Phones,iPhone,iPhone XS,sample title 9,18,2018-01-19
Auction,Phones,iPhone,iPhone XS,sample title 25,25,2018-01-25
Auction,Phones,iPhone,iPhone XS,sample title 24,24,2018-01-24
Auction,Phones,iPhone,iPhone XS,sample title 23,23,2018-01-23
Auction,Phones,iPhone,iPhone XS,sample title 22,22,2018-01-22
Auction,Phones,iPhone,iPhone XS,sample title 21,21,2018-01-21
