sale_condition,groupA,groupB,groupC,title,price,date
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,*MINT* Apple Pencil 1st Generation Model A1603,95.0,2020-11-01
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple Pencil 1st generation,77.0,2020-11-01
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple Pencil 1st Generation for iPad Pro and iPad,69.0,2020-11-01
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,apple pencil 1st generation used,61.0,2020-11-01
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,"Apple MK0C2AM/A Pencil (1st Generation) for iPad Pro, iPad (6th, 7th, 8th Gen)",75.0,2020-11-01
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple Pencil 1st Generation Used - Perfect Condition,66.0,2020-11-01
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple Pencil (1st Generation) - Lightly Used,62.0,2020-11-01
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple Pencil (1st Generation),61.0,2020-11-01
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple Pencil 1st Generation (Lightning),62.49,2020-11-01
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,"Apple Pencil (1st Gen) for iPad Pro and iPad, Mini and Air Like New in Box",62.09,2020-11-01
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Authentic Apple Pencil 1st Generation for iPad Pro MK0C2AM/A Stylus Pen,76.0,2020-11-01
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple Pencil 1st Generation FOR PARTS (s. 128)(L),10.5,2020-11-01
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,"Apple MK0C2AM/A Pencil (1st Generation) for iPad Pro, iPad (6th, 7th, 8th Gen)",70.0,2020-11-02
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,apple pencil 1st Gen A1603,69.0,2020-11-02
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple Pencil (1st Generation) Model A1603 New Open Box Includes All Original NIB,91.0,2020-11-02
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,apple pencil 1st generation,50.0,2020-11-02
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple Pencil 1st Generation For iPad # MKOC2AM/A  A1603,80.0,2020-11-02
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple MK0C2AM/A Pencil - White (1st generation),68.0,2020-11-03
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,apple pencil 1st generation,68.0,2020-11-03
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple Pencil for Ipad and Ipad Pro - 1st Generation - Original,21.49,2020-11-03
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,apple pencil 1st generation used,77.0,2020-11-03
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple iPad Mini Case (Otterbox) + Apple Pencil 1st Gen + Black Apple Smart Cover,50.0,2020-11-03
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,apple pencil 1st Gen A1603,90.0,2020-11-03
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Genuine OEM Apple Pencil MK0C2AM/A 1st Generation White for iPad Pro / iPad,59.0,2020-11-03
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple Pencil First Generation,76.0,2020-11-03
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple Pencil 1st Generation For Ipad With Extras,64.0,2020-11-03
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,apple pencil 1st generation used,59.0,2020-11-03
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple Pencil 1st Generation Used Great Condition,66.0,2020-11-03
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple pencil 1st generation Model A1603,58.75,2020-11-03
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple Pencil 1st Generation - Excellent Condition w/ Pencil Holder. Model A1603,69.0,2020-11-04
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple Pencil 1st Generation,59.0,2020-11-04
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple Pencil (1st Generation) for iPad Pro 12.9 Inch 1st And 2nd Generation,81.0,2020-11-04
Auction,calculator,Apple Pencil,Apple Pencil 1st Generation,Apple Pencil 1st Generation No Box Just The Pencil Used But Great Condition,59.0,2020-11-04
