sale_condition,groupA,groupB,groupC,title,price,date
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only),980.0,2020-10-05
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - (Body Only),1052.0,2020-10-05
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only),1200.0,2020-10-05
Auction,calculator,Cameras,Canon EOS 6D Mark II,Perfect Condition Canon EOS 6D Mark II 26.2MP Digital SLR Camera W/EF 50mm Lens,1000.0,2020-10-07
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only),1058.0,2020-10-07
Auction,calculator,Cameras,Canon EOS 6D Mark II,used Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only),1020.0,2020-10-10
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera Body AND BG-E21 Battery Grip,1200.0,2020-10-11
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only),1200.0,2020-10-12
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II Digital SLR Camera with 50mm f/1.8 lens and battery grip ,1002.0,2020-10-12
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only),1018.26,2020-10-12
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only),913.12,2020-10-16
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only),937.85,2020-10-16
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Kit w/ EF 24-105mm Bundl,1380.0,2020-10-19
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP SLR Camera - Body Only - EXCELLENT Low Shutter!!,1175.0,2020-10-19
Auction,calculator,Cameras,Canon EOS 6D Mark II,used Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only),1175.0,2020-10-19
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black With Accessories,1091.0,2020-10-21
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black With Accessories,1081.0,2020-10-21
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black body w/ Battery Grip,1080.0,2020-10-26
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II Digital Camera - Black ( Body & Canon Battery Grip),860.0,2020-10-26
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only),550.0,2020-10-26
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only),1056.0,2020-10-27
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only),1045.0,2020-10-27
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II Digital SLR Camera Body Only Black Mint Condition,940.0,2020-10-28
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only) Very nice.,990.0,2020-10-28
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP DSLR Camera (w/ EF 50mm f/1.8 STM Lens & 32GB SD),1001.0,2020-10-28
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP DSLR Camera (w/ EF 50mm f/1.8 STM Lens & 32GB SD),991.0,2020-10-28
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black body Battery Grip,1020.0,2020-10-29
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black body Battery Grip,986.0,2020-10-29
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II DSLR Camera (Body) with BG-E21 Battery Grip & Battery,920.0,2020-11-01
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black With Accessories,938.0,2020-11-01
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black With Accessories,929.0,2020-11-01
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II Digital SLR Camera (Body Only),1043.0,2020-11-02
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only),1001.0,2020-11-02
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2 MP Digital Camera - Black (Body Only),1350.0,2020-11-02
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II Digital SLR Camera (Body Only),1035.0,2020-11-02
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II Body + 4 Batteries + 2 Chargers,910.0,2020-11-05
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2 MP Digital Camera - Black (Body Only) See Pics! ,800.0,2020-11-06
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II w/EF 24-105mm + 50mm STM + Flash + 1.4 Extender + Grip,1385.0,2020-11-06
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only),850.0,2020-11-07
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP + Canon EF 50mm f/1.8 STM Lens Kit,1235.0,2020-11-07
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only),635.0,2020-11-08
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Kit w/ EF 24-105mm...,2325.0,2020-11-10
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only),985.0,2020-11-11
Auction,calculator,Cameras,Canon EOS 6D Mark II,Canon EOS 6D Mark II 26.2MP Digital SLR Camera - Black (Body Only),950.0,2020-11-13
