sale_condition,groupA,groupB,groupC,title,price,date
Auction,calculator,Cameras,Canon PowerShot,Canon PowerShot Digital ELPH SD790 IS / Digital IXUS 90 IS 10.0MP w/ 4GB sandisk,33.24,2020-08-10
Auction,calculator,Cameras,Canon PowerShot,Canon Powershot Camera SD1300 IS Digital ELPH Silver (pre-owned with box),29.4,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,Canon PowerShot SX540 HS Digital Camera Black. * READ*,123.9,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,Canon PowerShot G9 12.1MP Digital Camera - Black,93.61,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,Canon PowerShot Digital ELPH SD960 12.1MP Digital Camera + Charger + Case,18.4,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,Canon PowerShot ELPH 150 IS 20 megapixel 10x zoom Digital Camera w/ 8gb card ,35.0,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,Canon PowerShot SX40 HS 12.1 MP 35x Optical Zoom PLUS Case and 32G Memory Card,107.56,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,Canon PowerShot A570 IS Digital Camera - Silver,20.4,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,Canon PowerShot Digital ELPH SD1000 7.1MP Digital Camera - Silver,21.98,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,White Canon Power Shot E1 digital camera with box case 10 megapixel 4X op zoom,19.77,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,CANON POWERSHOT A1400 16.0MP DIGITAL CAMERA 5 X ZOOM ,25.0,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,Canon PowerShot A2300 16.0MP Digital Camera - Blue,31.85,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,AS IS: LOT OF 2 Canon PowerShot ELPH 360 HS 20.2 MP Digital Camera - Black,13.98,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,"Canon PowerShot SX610 HS, Black",60.0,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,Canon PowerShot SX70 HS 20.3 MP Digital Camera - Black,305.56,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,Canon PowerShot G7X Mark II 20.1 MP Compact Digital Camera - Black,407.22,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,Canon PowerShot SX150 IS 14.1MP Digital Camera - Black,36.0,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,Canon PowerShot ELPH 190 IS / IXUS 180 20.0 MP Digital Camera - Blue,50.25,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,Canon PowerShot SX40 HS 12.1MP 35x Optical Zoom Digital Camera + Case,146.5,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,CANON POWERSHOT SD800 IS Digital Elph Camera,15.5,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,Canon PowerShot A1200 Digital Camera PC1586,15.45,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,Canon Powershot G10 (14.7MP) + WP-DC28 Underwater Housing (Rare) + Extras,161.6,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,Canon PowerShot G7 X Mark II 20.1 MP Digital Camera - Black USED TWICE,518.25,2020-08-11
Auction,calculator,Cameras,Canon PowerShot,Canon PowerShot Digital ELPH SD780 IS  12.1MP Digital Camera Pack.Red,33.45,2020-08-11
