title,price,date
Fujinon XF 8-16mm F2.8 R LM Weather Resistant Lens MINT CONDITION with Warranty,1499.0,2020-08-12 00:00:00
Fujifilm Fujinon XF 23mm F/2 R WR Lens - Black,291.25,2020-08-12 00:00:00
Fujifilm Fujinon XF 90mm F/2 R LM WR Lens *EXCELLENT+,874.91,2020-08-12 00:00:00
FUJIFILM Fuji Fujinon XF 18-55mm F/2.8-4 R LM OIS Zoom Lens,299.99,2020-08-12 00:00:00
Fujifilm Fujinon XF 10-24mm F/4 OIS R Lens,636.0,2020-08-12 00:00:00
EXCELLENT Fujifilm Fujinon XF 18-55mm f/2.8-4 OIS LM R Zoom X-Mount Lens (READ),245.0,2020-08-12 00:00:00
RISESPRAY 35mm f/1.2 APS-C Lens for Fuji Fujifilm X FX Mount XPro1 X Pro2 XA1 A3,79.65,2020-08-12 00:00:00
Fujifilm Fujinon Fuji XF 23mm f/1.4 R Lens with hood and ALL original packaging,688.0,2020-08-13 00:00:00
"FUJIFILM Fuji Fujinon XF 27mm F/2.8, New Open Box",297.99,2020-08-13 00:00:00
Fujifilm XF 50mm F/2 R WR Lens - Black,350.0,2020-08-13 00:00:00
Fuji Fujifilm XF 16-55mm f2.8 R LM WR Lens 16-55/2.8 - Sharp!,799.0,2020-08-13 00:00:00
"Box for FUJINON XF 18mm F2 R X-mount Lens Fuji Fujifilm, AVIA w/tracking",18.98,2020-08-13 00:00:00
Fujifilm Fujinon XF 23mm F1.4 - F16 R Prime Lens,652.33,2020-08-13 00:00:00
Fuji Fujifilm XF 18-135mm f3.5-5.6 Fujinon R LM OIS WR Lens (PARTS / REPAIR),149.0,2020-08-13 00:00:00
Fujifilm XF 16-80mm f/4 R OIS WR Zoom Camera Lens,650.0,2020-08-13 00:00:00
Fujifilm Fuji Super EBC Fujinon XF 50mm F2 R WR – Mint – Free Filter Included!,391.98,2020-08-13 00:00:00
Fujifilm Fujinon XF 50mm f2 R WR Lens—Excellent Condition,335.0,2020-08-14 00:00:00
FUJIFILM Fuji Fujinon XF 56mm F/1.2 R plus B+W UV filter,820.0,2020-08-14 00:00:00
Fujifilm Fujinon Fuji XF 23mm 23 mm F/1.4 R  Wide Angle Lens,767.89,2020-08-14 00:00:00
Mint- Fujifilm Fujinon Super EBC XF 10-24mm F4 R OIS Aspherical Lens,647.88,2020-08-14 00:00:00
Fujifilm Fujinon XF 18-55mm f/2.8-4 OIS LM R Lens,285.0,2020-08-14 00:00:00
Used Fujifilm XF 56mm F1.2 R Lens (#85A11489,699.99,2020-08-14 00:00:00
