sale_condition,groupA,groupB,groupC,title,price,date
Auction,calculator,Cameras,Kodak DC,3 KODAK CAMERAS- 1- DC215 ZOOM 1- EKTRALITE 1D 1- INSTAMATIC 2D 2- KODAK...,10.0,2020-08-17
Auction,calculator,Cameras,Kodak DC,JA8549  JAPAN AIR LINES  DC-10-40  OLD COLORS   ORIGINAL KODAK SLIDE,7.0,2020-08-21
Auction,calculator,Cameras,Kodak DC,"Kodak DC215 Digital Camera - Ultra Rare ""Metallics"" Edition  Blue - 1999",55.04,2020-08-22
Auction,calculator,Cameras,Kodak DC,"Kodak DC215 Digital Camera - Ultra Rare ""Metallics"" Edition  Purple - 1999",63.14,2020-08-22
Auction,calculator,Cameras,Kodak DC,Gray Line Washington DC GM PD 4107 bus Kodachrome original Kodak slide,5.09,2020-08-23
Auction,calculator,Cameras,Kodak DC,USA Tourism Poster Stamp 1915 Washington DC The Capitol Building Kodak Gift Shop,3.0,2020-08-24
Auction,calculator,Cameras,Kodak DC,Kodak DC4800 Zoom Digital Camera ,34.98,2020-08-25
Auction,calculator,Cameras,Kodak DC,Kodak Ektachrome (72) 35mm Slides Walt Disney World & Washington D.C. 1976,20.0,2020-08-28
Auction,calculator,Cameras,Kodak DC,1940s 4 REELS 8mm FILM Washington DC Home MOVIES Beach Seas Japanese Bomb USA  ,56.66,2020-08-30
Auction,calculator,Cameras,Kodak DC,D-ADJO  SABENA  DC-10-30  HYBRID COLORS     ORIGINAL KODAK SLIDE,7.0,2020-09-01
Auction,calculator,Cameras,Kodak DC,VH-TJU  TRANS AUSTRALIA  DC-9-32     ORIGINAL KODAK SLIDE,7.0,2020-09-02
Auction,calculator,Cameras,Kodak DC,Hawaiian Airlines Douglas DC9 Kodachrome original Kodak Slide,5.34,2020-09-04
Auction,calculator,Cameras,Kodak DC,United Airlines Douglas DC8 Kodachrome original Kodak Slide,9.6,2020-09-04
Auction,calculator,Cameras,Kodak DC,VH-PNM  BPA QUEENSLANDS AIRLINES  DC-3      ORIGINAL KODAK SLIDE,7.0,2020-09-04
Auction,calculator,Cameras,Kodak DC,VH-EDC  SOUTH PACIFIC AIRMOTIVE  DC-3    ORIGINAL KODAK SLIDE,7.0,2020-09-04
Auction,calculator,Cameras,Kodak DC,HK-3286  SADELCA  COLOMBIA  DC-3     OLD COLORS   ORIGINAL KODAK SLIDE,7.0,2020-09-13
Auction,calculator,Cameras,Kodak DC,VH-EDD  BUSH PILOTS AIRWAYS  DC-3       ORIGINAL KODAK  SLIDE,11.0,2020-09-13
Auction,calculator,Cameras,Kodak DC,Kodak DC3200 1.0 MP Digital Camera - Grey,29.06,2020-09-18
Auction,calculator,Cameras,Kodak DC,31 1990's  MARVEL AND DC VENDING MACHINE PRISM CARD - ( KODAK ),62.5,2020-09-19
Auction,calculator,Cameras,Kodak DC,VH-CIN   RAAF  DC-3   ORIGINAL KODAK SLIDE,7.0,2020-09-23
Auction,calculator,Cameras,Kodak DC,C-GCPD  FLY2K   DC-10-30     ORIGINAL KODAK SLIDE,8.0,2020-09-25
Auction,calculator,Cameras,Kodak DC,HK-3892X  TRANSOCEANICA COLOMBIA  DC-6A   ORIGINAL KODAK SLIDE,7.0,2020-09-26
Auction,calculator,Cameras,Kodak DC,KODAK DC120 Zoom Digital Camera 1.2MP,37.82,2020-10-04
Auction,calculator,Cameras,Kodak DC,Kodak DC215 Minolta AF-E Olympus Superzoom 110 Kalimar 80-200mm Bundle Job Lot,14.18,2020-10-04
Auction,calculator,Cameras,Kodak DC,Kodak Digital Science Dc260 Zoom Camera includes accessories,15.29,2020-10-05
