sale_condition,groupA,groupB,groupC,title,price,date
Auction,calculator,Cameras,Leica M,Leica Summaron 3.5cm f3.5 M Lens VERY NICE 1274351,462.0,2020-08-10
Auction,calculator,Cameras,Leica M,"Leica Brown Leather ""D"" Shaped Case for M Mount Lens with Googles Rare, Lovely ",55.0,2020-08-10
Auction,calculator,Cameras,Leica M,Leica Summaron 3.5cm f3.5 M Lens VERY NICE 1274351,498.0,2020-08-10
Auction,calculator,Cameras,Leica M,"Leica Brown Leather ""D"" Shaped Case for M Mount Lens with Googles Rare, Lovely ",69.0,2020-08-10
Auction,calculator,Cameras,Leica M,Leica M4 come with 2 lenses and more leica Accessories plz read!,1309.95,2020-08-11
Auction,calculator,Cameras,Leica M,LEICA LEITZ WETZLAR HEKTOR 135mm (13.5cm) f4.5  LENS  LTM w/ lens cap  NICE,60.47,2020-08-11
Auction,calculator,Cameras,Leica M,Leica M Monochrom Typ 246 + Leica 35mm Lense & 7 Artisans 50mm Digital Camera,4601.0,2020-08-11
Auction,calculator,Cameras,Leica M,Leica M M9 18.0MP Digital Camera - Black (Body Only) with Handgrip,2140.51,2020-08-11
Auction,calculator,Cameras,Leica M,"Vintage Leica M3 Double Stroke With Summicron Lens , Meter And Case 1955",1290.05,2020-08-11
Auction,calculator,Cameras,Leica M,Voigtlander Color Skopar 25mm F4 P VM For Leica M + 25mm Viewfinder,353.11,2020-08-11
Auction,calculator,Cameras,Leica M,Leica Leitz Canada Summicron M 1:2/90,575.25,2020-08-11
Auction,calculator,Cameras,Leica M,Leica M9 body - brand new sensor,2518.95,2020-08-11
Auction,calculator,Cameras,Leica M,:Leica M2 35mm Film Rangefinder Camera Chassis Only - For Parts,332.9,2020-08-11
Auction,calculator,Cameras,Leica M,LEICA NOCTILUX-M 50MM  F1.2 in good condition,16255.0,2020-08-11
Auction,calculator,Cameras,Leica M,Leica SUMMICRON-M III 50mm f/2 Aspherical Lens (Black),933.21,2020-08-11
Auction,calculator,Cameras,Leica M,Leica M4 Black Chrome Shell with Top Cover and Bottom Cover,375.9,2020-08-11
Auction,calculator,Cameras,Leica M,Leica M4 come with 2 lenses and more leica Accessories plz read!,1349.1,2020-08-11
Auction,calculator,Cameras,Leica M,LEICA LEITZ WETZLAR HEKTOR 135mm (13.5cm) f4.5  LENS  LTM w/ lens cap  NICE,49.0,2020-08-11
