sale_condition,groupA,groupB,groupC,title,price,date
Auction,calculator,Cameras,Leica T,"Leica T 16.3MP Silver, with extra battery and universal strap lugs",437.0,2020-08-25
Auction,calculator,Cameras,Leica T,Leica T (TYP 701) Mirrorless Digital Camera (Black) 16.3MP APS-C (Body),420.0,2020-08-29
Auction,calculator,Cameras,Leica T,"Leica T Typ 701, Black, Boxed MINT, all original packaging",625.56,2020-09-07
Auction,calculator,Cameras,Leica T,"Leica T Typ 701, Black, Boxed MINT",438.25,2020-09-13
Auction,calculator,Cameras,Leica T,Leica T Camera Type 701 mirrorless Silver With many extras,400.0,2020-09-21
Auction,calculator,Cameras,Leica T,"Leica T Typ 701, Black, Boxed MINT",413.25,2020-10-04
Auction,calculator,Cameras,Leica T,"Leica T Typ 701, Black, Boxed MINT",434.0,2020-10-04
Auction,calculator,Cameras,Leica T,Leica T Silver L-Mount Leather Case and T-Snap,439.36,2020-10-11
Auction,calculator,Cameras,Leica T,Leica T Silver L-Mount Leather Case and T-Snap,451.94,2020-10-11
Auction,calculator,Cameras,Leica T,Leica T Body with Leica 18-56mm T Lens No Reserve,1295.0,2020-10-13
Auction,calculator,Cameras,Leica T,Leica T Body with Leica 18-56mm T Lens No Reserve,1329.0,2020-10-13
Auction,calculator,Cameras,Leica T,Leica t vario elmar zoom asph 18x56 complete with its accessories new condition.,1181.52,2020-10-25
Auction,calculator,Cameras,Leica T,Leica t vario elmar zoom asph 18x56 complete with its accessories new condition.,1215.35,2020-10-25
Auction,calculator,Cameras,Leica T,Leica t vario elmar zoom asph 18x56 complete with its accessories new condition.,1219.47,2020-10-25
Auction,calculator,Cameras,Leica T,Leica T Typ 701 Mirrorless Digital Camera Silver + 2 manual lenses,450.0,2020-11-15
Auction,calculator,Cameras,Leica T,Leica T Typ 701 Mirrorless Digital Camera Silver + 2 manual lenses,450.0,2020-11-15
Auction,calculator,Cameras,Leica T,"Leica T  Fully Boxed, Mint, Extras  Best On Ebay!",582.04,2020-11-21
Auction,calculator,Cameras,Leica T,"Leica T  Fully Boxed, Mint, Extras  Best On Ebay!",588.85,2020-11-21
Auction,calculator,Cameras,Leica T,Leica T Type 701 16.3MP Digital Camera-Silver (Body Only),86.71,2020-11-22
Auction,calculator,Cameras,Leica T,Leica T Type 701 16.3MP Digital Camera-Silver (Body Only),87.01,2020-11-22
Auction,calculator,Cameras,Leica T,Leica T Type 701 16.3MP Digital Camera-Silver (Body Only),85.37,2020-11-22
Auction,calculator,Cameras,Leica T,Leica T Camera Type 701 mirrorless Silver,425.0,2020-11-23
Auction,calculator,Cameras,Leica T,Leica T Camera Type 701 mirrorless Silver,433.5,2020-11-23
Auction,calculator,Cameras,Leica T,"Leica TL2 Mirrorless Digital Camera Body, Silver {24.2 M/P} 18188",999.0,2020-12-01
Auction,calculator,Cameras,Leica T,"Leica TL2 Mirrorless Digital Camera Body, Silver {24.2 M/P} 18188",1014.2,2020-12-01
Auction,calculator,Cameras,Leica T,Leica T (Typ 701) 16MP Mirrorless Digital Camera - Silver (Body Only)  #P0606,407.0,2020-12-21
Auction,calculator,Cameras,Leica T,Leica T (Typ 701) 16MP Mirrorless Digital Camera - Silver (Body Only)  #P0606,389.99,2020-12-21
Auction,calculator,Cameras,Leica T,"Leica TL2 Mirrorless Digital Camera Body, Silver {24.2 M/P} 18188",970.0,2020-12-22
Auction,calculator,Cameras,Leica T,"Leica TL2 Mirrorless Digital Camera Body, Silver {24.2 M/P} 18188",985.2,2020-12-22
Auction,calculator,Cameras,Leica T,"Leica T (TYP 701) with Sigma 30mm 1.4 and 45mm 2.8 lenses, strap, extra battery",860.0,2020-12-27
Auction,calculator,Cameras,Leica T,"Leica T (TYP 701) with Sigma 30mm 1.4 and 45mm 2.8 lenses, strap, extra battery",834.0,2020-12-27
