sale_condition,groupA,groupB,groupC,title,price,date
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS Super Mario Maker for Nintendo 3DS Bundle - Yellow/Red,55.5,2020-08-10
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2ds Xl Blue,39.14,2020-08-10
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS Launch Edition Crimson Red Handheld System,57.25,2020-08-10
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS XL With Pokémon Case And 3 Games,105.9,2020-08-10
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS Video Game Console For Parts or Repair Only Missing Parts Wont Work,25.15,2020-08-10
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS  With Games,59.0,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS XL Black/Turquoise Handheld System with Mario Kart 7 Bundle,122.4,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS XL Purple/Silver System with Ocarina of Time - BARELY USED!!!!!!!,122.5,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS Mario Kart 7 with Charger - No Game included - Fast Shipping,49.2,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS XL Handheld System - Black & Turquoise,98.25,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS Launch Edition Crimson Red Handheld System with Game Bundle,86.9,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS XL Poké Ball Edition Console With Pokémon Case And Star Wars Case,135.4,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,nintendo 2ds,51.0,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,nintendo 2ds console bundle,101.0,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS Launch Edition Crimson Red Handheld System,54.9,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS XL Handheld Console w/ Mario Kart 7 Pre-installed Black/Turquoise,124.9,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS XL Poké Ball Edition Console,203.0,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,"Nintendo 2DS Legend Of Zelda Ocarina Of Time System, Games, Charger and Case",104.71,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2ds XL Handheld Console Black And Blue Very Nice Tested,93.9,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS XL Mario Kart 7 Console Bundle - Turquoise/Black,114.9,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS XL Handheld System - Black & Turquoise with game and case,100.9,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS Video Game Console For Parts or Repair Only Missing Parts Wont Work,15.99,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS Mario Kart 7 Limited Edition 4GB Electric Blue Handheld System,59.0,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS XL Handheld System - Black & Turquoise,104.89,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,Nintendo 2DS White and Red Handheld System With Mario Party Island Tour Game.,54.0,2020-08-11
Auction,calculator,Nintendo DS,Nintendo 2DS,NINTENDO 2DS XL Black + Turquoise With Pokémon moon+ more!! SHIPS FAST!,119.15,2020-08-11
