sale_condition,groupA,groupB,groupC,title,price,date
Auction,calculator,Cameras,Panasonic LUMIX GH5s,Panasonic Lumix GH5S Mirrorless Digital Camera-(Body Only) Lightly Used + Extras,1591.0,2020-08-11
Auction,calculator,Cameras,Panasonic LUMIX GH5s,Panasonic Lumix GH5s Mirrorless Camera - with 8Sinn Cage and Rods Support,1714.05,2020-08-12
Auction,calculator,Cameras,Panasonic LUMIX GH5s,Panasonic Lumix GH5 Mirrorless Digital Camera - Black (Body + Cage),1023.4,2020-08-15
Auction,calculator,Cameras,Panasonic LUMIX GH5s,Panasonic LUMIX GH5 20.3MP Digital Camera - Black (Kit with Leica DG Vario-Elma…,1686.9,2020-08-16
Auction,calculator,Cameras,Panasonic LUMIX GH5s,Panasonic Lumix DMC-GH5s + extras,1423.25,2020-08-21
Auction,calculator,Cameras,Panasonic LUMIX GH5s,Panasonic LUMIX GH5s 10.2MP Mirrorless Camera - Black (Body Only),1568.95,2020-08-27
Auction,calculator,Cameras,Panasonic LUMIX GH5s,Panasonic DC-GH5s with 3 Batteries & Charger,1400.0,2020-08-27
Auction,calculator,Cameras,Panasonic LUMIX GH5s,"Panasonic Lumix GH5S Mirrorless Camera, EF Adaptor, 2 Lenses, Accessories",1333.53,2020-08-29
Auction,calculator,Cameras,Panasonic LUMIX GH5s,Lumix GH5s With VLOG + 2 batts + Lens + Extras PERFECT Condition; Shutter=42,1630.0,2020-08-30
Auction,calculator,Cameras,Panasonic LUMIX GH5s,Panasonic Lumix DMC-GH5s + Cage,1561.75,2020-09-02
Auction,calculator,Cameras,Panasonic LUMIX GH5s,Panasonic Lumix GH5S  WITH SMALL RIG CAGE - Black (Body Only) ,1420.0,2020-09-05
Auction,calculator,Cameras,Panasonic LUMIX GH5s,Panasonic Lumix GH5S Mirrorless Digital Camera - Black(Body and extra batteries),1281.0,2020-09-05
Auction,calculator,Cameras,Panasonic LUMIX GH5s,Panasonic DC-GH5S Lumix G Mirrorless Digital Camera Body Only 10.28MP Black,1399.87,2020-09-09
