sale_condition,groupA,groupB,groupC,title,price,date
Auction,calculator,GPUs,RTX 1070 ,"GIGABYTE NVIDIA GeForce GTX 1070 8 GB GDDR5 Graphics Card (NVIDIA, RTX, GPU)",187.5,2020-09-18
Auction,calculator,GPUs,RTX 1070 ,Gigabyte GeForce RTX 1070 Super Gaming Graphics Card,397.42,2020-10-19
Auction,calculator,GPUs,RTX 1070 ,Gigabyte GeForce RTX 1070 Super Gaming Graphics Card,419.56,2020-10-19
Auction,calculator,GPUs,RTX 1070 ,Gigabyte GeForce RTX 1070 Super Gaming Graphics Card,419.74,2020-10-19
Auction,calculator,GPUs,RTX 1070 ,EVGA Geforce RTX 1070 Ti FTW2,255.0,2020-12-02
Auction,calculator,GPUs,RTX 1070 ,EVGA Geforce RTX 1070 Ti FTW2,255.0,2020-12-02
Auction,calculator,GPUs,RTX 1070 ,Lot of 6 EVGA GeForce GTX RTX 1070 2080 1050Ti 2080Ti Hybrid FTW LOT FOR PARTS,963.0,2020-12-08
Auction,calculator,GPUs,RTX 1070 ,Lot of 6 EVGA GeForce GTX RTX 1070 2080 1050Ti 2080Ti Hybrid FTW LOT FOR PARTS,963.0,2020-12-08
Auction,calculator,GPUs,RTX 1070 ,*BUNDLE* EVGA RTX 2070 XC and GTX 1070 HP,631.0,2021-01-09
Auction,calculator,GPUs,RTX 1070 ,AORUS RTX 1070 8GB GDDR6 Gaming Box Thunderbolt 3 Portable eGPU with Case,410.0,2021-01-24
BIN,calculator,GPUs,RTX 1070 ,GIGABYTE RTX 2060 Mini ITX WITH Waterblock GTX Gaming 1070 1660 *Warranty*,375.0,2020-09-03
BIN,calculator,GPUs,RTX 1070 ,Razer Blade 15 Gaming/Intel i7-8750H 144Hz 16GB 512GB SSD RTX 1070 Max-Q8GB,1065.0,2020-10-18
BIN,calculator,GPUs,RTX 1070 ,Razer Blade 15 Gaming/Intel i7-8750H 144Hz 16GB 512GB SSD RTX 1070 Max-Q8GB,1095.0,2020-10-18
BIN,calculator,GPUs,RTX 1070 ,GIGABYTE RTX 2060 Mini ITX WITH Waterblock GTX Gaming 1070 1660 *Warranty*,375.0,2020-11-02
BIN,calculator,GPUs,RTX 1070 ,"GIGABYTE NVIDIA GeForce GTX 1070 8 GB Overclocked GDDR5 RTX, GPU NEW SEALED NIB",275.0,2020-11-06
BIN,calculator,GPUs,RTX 1070 ,"GIGABYTE NVIDIA GeForce GTX 1070 8 GB Overclocked GDDR5 RTX, GPU NEW SEALED NIB",275.0,2020-11-06
BIN,calculator,GPUs,RTX 1070 ,NVIDIA GTX 1070 8GB Video Card GPU ASUS Geforce RTX,209.2,2020-11-14
BIN,calculator,GPUs,RTX 1070 ,NVIDIA GTX 1070 8GB Video Card GPU ASUS Geforce RTX,226.0,2020-11-14
BIN,calculator,GPUs,RTX 1070 ,NVIDIA GTX 1070 8GB Video Card GPU ASUS Geforce RTX,199.0,2020-11-14
BIN,calculator,GPUs,RTX 1070 ,EVGA PowerLink Support All NVIDIA Founders Edition & All EVGA GeForce RTX 208...,14.22,2020-12-05
BIN,calculator,GPUs,RTX 1070 ,Cooling Fans Cooler Fan for MSI RTX 2080Ti 2080 2070 Gaming X Trio Graphics Card,41.81,2020-12-13
BIN,calculator,GPUs,RTX 1070 ,GIGABYTE NVIDIA GeForce GTX 1070 8GB (GV-N1070G1) Graphics Video Card RTX,279.99,2020-12-19
BIN,calculator,GPUs,RTX 1070 ,GIGABYTE NVIDIA GeForce GTX 1070 8GB (GV-N1070G1) Graphics Video Card RTX,279.99,2020-12-19
BIN,calculator,GPUs,RTX 1070 ,GIGABYTE NVIDIA GeForce GTX 1070 8GB (GV-N1070G1) Graphics Video Card RTX RGB,278.0,2020-12-24
BIN,calculator,GPUs,RTX 1070 ,GIGABYTE NVIDIA GeForce GTX 1070 8GB (GV-N1070G1) Graphics Video Card RTX RGB,278.0,2020-12-24
BIN,calculator,GPUs,RTX 1070 ,2PC Cooling Fan Graphics Card Cooler for ZOTAC GeForce GTX 1080 1070 AMP Edition,15.14,2021-01-05
BIN,calculator,GPUs,RTX 1070 ,2X Cooler Cooling Fan for MSI GTX1080 1070 106 RX470 480 570 580 GAME Card Nice,17.12,2021-01-12
BIN,calculator,GPUs,RTX 1070 ,✅ NVIDIA GeForce RTX 3070 FE Founders Edition| In Hand|Fast Shipping🚚💨|Sealed✅,978.99,2021-01-27
BIN,calculator,GPUs,RTX 1070 ,JATON Nvidia GeForce 8400GS 256MB  Video Card HDMI + DVI + VGA,10.0,2021-01-30
BIN,calculator,GPUs,RTX 1070 ,"EVGA PowerLink, Support All NVIDIA Founders Edition & All EVGA GeForce RTX 20...",15.23,2021-01-30
BIN,calculator,GPUs,RTX 1070 ,Nvidia Galax Gtx 1070 Katana 8GB GDDR5 KFA2 Pascal SLI HBM2 GV100 3090 (read),499.0,2021-02-01
