title,price,date
EVGA GeForce RTX 2080 SUPER BLACK GAMING 08G-P4-3081-KR 8GB GDDR6,700.0,2020-08-26 00:00:00
ASUS GeForce RTX 2080 Super 8GB Evo OC LED GDDR6 Video Graphics Card GPU,702.25,2020-08-26 00:00:00
GIGABYTE AORUS GeForce RTX 2080 SUPER GDDR6 Graphics Card - 8GB,848.45,2020-08-27 00:00:00
MSI Gaming GeForce RTX 2080 Super 8GB GDRR6 256-Bit HDMI/DP/USB Nvlink Turing Ar,580.0,2020-08-27 00:00:00
"NVIDIA GeForce RTX 2080 Super Graphics Card - 8GB, New & Sealed in box ",840.0,2020-08-27 00:00:00
NVIDIA GeForce RTX 2080 Super GDDR6 Graphics Card - 8GB,850.0,2020-08-27 00:00:00
Asus Strix RTX 2080 Super Advanced 8GB GDDR6 Graphics card ,877.8,2020-08-27 00:00:00
Asus Strix RTX 2080 Super Advanced 8GB GDDR6 Graphics card ,862.8,2020-08-28 00:00:00
rtx 2080 super ventus,658.0,2020-08-28 00:00:00
NVIDIA GeForce RTX 2080 Super GDDR6 Graphics Card - 8GB,870.0,2020-08-28 00:00:00
Asus Strix RTX 2080 Super Advanced 8GB GDDR6 Graphics card ,862.8,2020-08-29 00:00:00
EVGA GeForce RTX 2080 SUPER BLACK GAMING 08G-P4-3081-KR 8GB GDDR6,679.99,2020-08-29 00:00:00
PNY NVIDIA GeForce RTX 2080 Super 8GB GDDR6 Graphics Card,499.99,2020-08-29 00:00:00
NVIDIA RTX 2080 Super 8GB,700.0,2020-08-30 00:00:00
NVIDIA GeForce RTX 2080 Super GDDR6 Graphics Card - 8GB Founders Edition,700.0,2020-08-30 00:00:00
ZOTAC GAMING GeForce RTX 2080 SUPER Twin Fan GDDR6 Graphics Card - 8GB,665.0,2020-08-31 00:00:00
GIGABYTE AORUS GeForce RTX 2080 SUPER DirectX 12 GV-N208SAORUS WB-8GC 8GB 256-Bi,779.0,2020-08-31 00:00:00
EVGA GeForce RTX 2080 Super XC Hydro Copper OC RGB LED 8GB GDDR6 08G-P4-3189-KR,829.98,2020-08-31 00:00:00
ZOTAC GAMING GeForce RTX 2080 SUPER AMP,665.25,2020-08-31 00:00:00
ASUS GeForce RTX 2080 Super Overclocked 8G Dual-Fan EVO Gaming Graphics Card A+,719.99,2020-08-31 00:00:00
EVGA - GeForce RTX 2080 SUPER XC ULTRA GAMING NVIDIA Super 8GB GDDR6 PCI Express,760.0,2020-08-31 00:00:00
PNY GeForce RTX 2080 SUPER 8GB (VCG20808SBLMPB),685.95,2020-08-31 00:00:00
ASUS GeForce RTX 2080 Super Overclocked 8G Dual-Fan EVO Gaming Graphics Card A+,719.99,2020-08-31 00:00:00
NVIDIA RTX 2080 Super 8GB,629.99,2020-08-31 00:00:00
NVIDIA GeForce RTX 2080 Super GDDR6 Graphics Card - 8GB,870.0,2020-08-31 00:00:00
ZOTAC GAMING GeForce RTX 2080 SUPER Triple Fan GDDR6 Graphics Card - 8GB,679.99,2020-08-31 00:00:00
GIGABYTE GeForce RTX 2080 SUPER WINDFORCE OC GDDR6 Graphics Card - 8GB,679.99,2020-08-31 00:00:00
ASUS ROG Strix Nvidia RTX 2080 Super 8GB graphics card,550.0,2020-09-01 00:00:00
NVIDIA GeForce RTX 2080 Super Founder's Edition GPU Graphics Card 8GB,569.0,2020-09-01 00:00:00
ASUS ROG STRIX GeForce RTX 2080 SUPER 8G OC WHITE EDITION,448.14,2020-09-01 00:00:00
MSI NVIDIA GeForce RTX 2080 Super GAMING X TRIO 8GB GDDR6 Graphics Card,669.99,2020-09-01 00:00:00
"EVGA GeForce RTX 2080 SUPER KO GAMING, 08G-P4-2083-KR, 8GB GDDR6, Dual Fans",557.45,2020-09-01 00:00:00
EVGA NVIDIA GeForce RTX 2080 Super 8GB GDDR6 PCI Express 3.0 Card Black -...,808.85,2020-09-01 00:00:00
GIGABYTE GeForce RTX 2080 SUPER WINDFORCE GDDR6,600.0,2020-09-01 00:00:00
EVGA RTX 2080 Super XC Ultra8GB GDDR6 Manufacturer Refurbished Graphics Card,634.94,2020-09-01 00:00:00
NVIDIA GeForce RTX 2080 Super GDDR6 Graphics Card - 8GB,800.0,2020-09-01 00:00:00
EVGA GeForce RTX 2080 SUPER BLACK GAMING 08G-P4-3081-KR 8GB GDDR6,699.0,2020-09-01 00:00:00
GIGABYTE GeForce RTX 2080 SUPER GAMING OC WHITE GDDR6 Graphics Card - 8GB,583.45,2020-09-01 00:00:00
