sale_condition,groupA,groupB,groupC,title,price,date
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy Camera 2 EK-GC200 16.3MP Digital Camera - Black,125.0,2020-10-06
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy Camera 2 EK-GC200 16.3MP Digital Camera - White,125.5,2020-10-09
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy EK-GC110 16.3 MP Digital Camera - White,69.0,2020-10-11
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy Camera 2 EK-GC200 16.3MP 21x Zoom Digital Camera - Black  mint ,139.5,2020-10-11
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy Camera EK-GC110 16.3MP Digital Camera - White,69.0,2020-10-17
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy Camera EK-GC110 16.3MP Digital Camera - White Used Perfect w/Box,103.5,2020-10-18
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy Camera 2 EK-GC200 16.3MP Digital Camera - White,147.5,2020-10-18
Auction,calculator,Cameras,Samsung Galaxy Camera,samsung galaxy camera 2 ek-gc200 with Carrying Case.,227.5,2020-10-21
Auction,calculator,Cameras,Samsung Galaxy Camera,"Samsung Galaxy Camera  EKGC110 8 GB Android OS.4,1Jerry bean (White)  [NEW] 60% ",119.99,2020-10-22
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy Camera 2 EK-GC200 (White) Digital Camera,132.5,2020-10-24
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy Camera 2 EK-GC110 16.3MP Digital Camera - Black,270.0,2020-10-27
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy Camera 2 EK-GC200 16.3MP Digital Camera - Black W/ Case,140.5,2020-10-27
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy Camera 2 EK-GC200 16.3MP Digital Camera - Black,134.68,2020-10-28
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy Camera EK-GC110 16MP Digital Camera - White Used Perfect w/Box,183.5,2020-11-03
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy Camera 2 EK-GC200 16.3MP Digital Camera - White,96.0,2020-11-09
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy Camera 2 EK-GC200 16.3MP Digital Camera - White,107.1,2020-11-09
Auction,calculator,Cameras,Samsung Galaxy Camera,"Good Samsung Galaxy Camera 2 16.3MP CMOS, 21x Optical Zoom, Touch Screen -NR2407",127.5,2020-11-10
Auction,calculator,Cameras,Samsung Galaxy Camera,"Good Samsung Galaxy Camera 2 16.3MP CMOS, 21x Optical Zoom, Touch Screen -NR2407",135.49,2020-11-10
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung ST66 Red Camera With Accessories ,35.0,2020-11-13
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy 2 Camera,175.0,2020-11-13
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung ST66 Red Camera With Accessories ,45.0,2020-11-13
Auction,calculator,Cameras,Samsung Galaxy Camera,"Samsung Galaxy Camera 2 EK-GC200; 16.3 MP; 21X Zoom; WI-FI - 4.8"" WHITE - LQQK!!",162.7,2020-11-13
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy 2 Camera,186.95,2020-11-13
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy Camera EK-GC120 16.0MP Digital Camera - Black/Dark Navy ,70.0,2020-11-19
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy Camera EK-GC120 16.0MP Digital Camera - Black/Dark Navy ,79.0,2020-11-19
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy EK-GC110 16.3 MP Digital Camera ,89.0,2020-11-23
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy EK-GC110 16.3 MP Digital Camera ,100.1,2020-11-23
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy Camera 2 EK-GC200 16.3MP Digital Camera - White,169.25,2020-11-25
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy EK-GC110 16.3 MP Digital Camera READ ALL,66.0,2020-11-28
Auction,calculator,Cameras,Samsung Galaxy Camera,SAMSUNG GALAXY CAMERA 2 - EK-GC200 16.3MP - WHITE - TOUCHSCREEN / APP DRIVEN,103.5,2020-11-28
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Gear 360 Camera VR Spherical SM-C200 Video Photo Case Batteries EXTRAS,50.0,2020-11-28
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy EK-GC110 16.3 MP Digital Camera READ ALL,76.0,2020-11-28
Auction,calculator,Cameras,Samsung Galaxy Camera,SAMSUNG GALAXY CAMERA 2 - EK-GC200 16.3MP - WHITE - TOUCHSCREEN / APP DRIVEN,113.45,2020-11-28
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy Camera 2 EK-GC200 16.3MP Digital Camera - Black,241.95,2020-11-30
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung WB Series WB35F 16.2MP Digital Camera - White,125.0,2020-12-04
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung WB Series WB35F 16.2MP Digital Camera - White,45.0,2020-12-04
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy EK-GC100 16.1 MP Digital Camera - White (4G LTE & WI-FI),56.0,2020-12-05
Auction,calculator,Cameras,Samsung Galaxy Camera,Samsung Galaxy EK-GC100 16.1 MP Digital Camera - White (4G LTE & WI-FI),67.95,2020-12-05
