sale_condition,groupA,groupB,groupC,title,price,date
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES - Twist And Shout - There's A Place - 1986 Capitol Records 45 rpm   ,4.25,2020-08-29
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES - TWIST AND SHOUT/THERE'S A PLACE- 45 RPM   AS NEVER PLAYED    MINT-,21.24,2020-08-29
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES - TWIST AND SHOUT/THERE'S A PLACE- 45 RPM   AS NEVER PLAYED    MINT-,31.24,2020-08-29
Auction,Albums,TheBeatles,The Beatles Twist and Shout,The Beatles Twist And Shout EP Picture Cover MONO GPE8882 Fair Condition As Pics,45.49,2020-08-30
Auction,Albums,TheBeatles,The Beatles Twist and Shout,The Beatles - Twist and Shout EP,45.34,2020-08-30
Auction,Albums,TheBeatles,The Beatles Twist and Shout,The Beatles Twist And Shout EP Picture Cover MONO GPE8882 Fair Condition As Pics,19.49,2020-08-30
Auction,Albums,TheBeatles,The Beatles Twist and Shout,The Beatles - Twist and Shout EP,19.34,2020-08-30
Auction,Albums,TheBeatles,The Beatles Twist and Shout,"The Beatles, There’s A Place/Twist And Shout, 45rpm, 9001, Tollie Records",5.0,2020-09-01
Auction,Albums,TheBeatles,The Beatles Twist and Shout,"THE BEATLES  TWIST AND SHOUT - THERE'S A PLACE  7"" 45RPM CAPITOL B-5624 USA",28.99,2020-09-04
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES. TWIST AND SHOUT. ODEON OR-1078 (ORIG. JAPANESE'S ISSUE),18.05,2020-09-04
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES. TWIST AND SHOUT. ODEON OR-1078 (ORIG. JAPANESE'S ISSUE),7.36,2020-09-04
Auction,Albums,TheBeatles,The Beatles Twist and Shout,The Beatles - Twist and Shout - Capitol Records  Canada - New/Unplayed,26.74,2020-09-06
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE EARLY BEATLES Twist and Shout PLEASE Me APPLE Record JAPAN vinyl LP AP-80034,39.84,2020-09-06
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES Twist and shout CANADA MEGA RARE 1977 ST-6054 CAPITOL PURPLE LP Re,47.64,2020-09-06
Auction,Albums,TheBeatles,The Beatles Twist and Shout,SEALED THE BEATLES TWIST AND SHOUT MONO,161.5,2020-09-06
Auction,Albums,TheBeatles,The Beatles Twist and Shout,"VINYL 7"" EP THE BEATLES TWIST AND SHOUT MONO ORIGINAL 1963 ",10.69,2020-09-06
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES TWIST AND SHOUT EP 1963 ,12.71,2020-09-06
Auction,Albums,TheBeatles,The Beatles Twist and Shout,The Beatles - Twist and Shout - Capitol Records  Canada - New/Unplayed,29.41,2020-09-06
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES Twist and shout CANADA MEGA RARE 1977 ST-6054 CAPITOL PURPLE LP Re,52.84,2020-09-06
Auction,Albums,TheBeatles,The Beatles Twist and Shout,SEALED THE BEATLES TWIST AND SHOUT MONO,171.5,2020-09-06
Auction,Albums,TheBeatles,The Beatles Twist and Shout,"VINYL 7"" EP THE BEATLES TWIST AND SHOUT MONO ORIGINAL 1963 ",10.02,2020-09-06
Auction,Albums,TheBeatles,The Beatles Twist and Shout,Rare Beatles Cassette Tape Lot TWIST & SHOUT SGT. PEPPERS + MORE THE BEATLES,29.99,2020-09-08
Auction,Albums,TheBeatles,The Beatles Twist and Shout,"The Beatles- Rare Aussie Parlophone EP with PS  ""Twist And Shout""  1964  EX   ",33.45,2020-09-11
Auction,Albums,TheBeatles,The Beatles Twist and Shout,RECORD 7” SINGLE THE BEATLES TWIST & SHOUT Pink Jukebox Only 1435,18.06,2020-09-11
Auction,Albums,TheBeatles,The Beatles Twist and Shout,RECORD 7” SINGLE THE BEATLES ASK ME WHY TWIST & SHOUT 1514-A Excellent Condition,14.97,2020-09-11
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES TWIST AND SHOUT EP PARLOPHONE 1963 UK SUPERB COPY GREAT AUDIO.,41.48,2020-09-11
Auction,Albums,TheBeatles,The Beatles Twist and Shout,RECORD 7” SINGLE Mono THE BEATLES TWIST & SHOUT 127,18.06,2020-09-11
Auction,Albums,TheBeatles,The Beatles Twist and Shout,"The Beatles- Rare Aussie Parlophone EP with PS  ""Twist And Shout""  1964  EX   ",37.34,2020-09-11
Auction,Albums,TheBeatles,The Beatles Twist and Shout,RECORD 7” SINGLE THE BEATLES TWIST & SHOUT Lingasong Records 3727,14.05,2020-09-12
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES * Twist and Shout * PARLOPHONE EP 1963 1N/1N,14.76,2020-09-13
Auction,Albums,TheBeatles,The Beatles Twist and Shout,"THE BEATLES Twist And Shout/Boys - Germany Import Odeon 7""  45 rpm",23.51,2020-09-13
Auction,Albums,TheBeatles,The Beatles Twist and Shout,RECORD 7” SINGLE THE BEATLES TWIST & SHOUT 4332,10.04,2020-09-13
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES=TWIST AND SHOUT  E.P.  P/C  EX-,17.0,2020-09-13
Auction,Albums,TheBeatles,The Beatles Twist and Shout,"The Beatles - Twist & Shout/Please Please Me. 1964 Japan 7"" EP. OP4016. VG-",9.9,2020-09-13
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES--TWIST AND SHOUT E.P.--1963.,14.85,2020-09-13
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES * Twist and Shout * PARLOPHONE EP 1963 1N/1N,13.36,2020-09-13
Auction,Albums,TheBeatles,The Beatles Twist and Shout,"THE BEATLES Twist And Shout/Boys - Germany Import Odeon 7""  45 rpm",28.51,2020-09-13
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES=TWIST AND SHOUT  E.P.  P/C  EX-,14.32,2020-09-13
Auction,Albums,TheBeatles,The Beatles Twist and Shout,"The Beatles - Twist & Shout/Please Please Me. 1964 Japan 7"" EP. OP4016. VG-",8.9,2020-09-13
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES--TWIST AND SHOUT E.P.--1963.,13.78,2020-09-13
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES TWIST AND SHOUT CANADA CAPITOL 6000 SERIES MONO VINYL LP,54.88,2020-09-16
Auction,Albums,TheBeatles,The Beatles Twist and Shout,The Beatles - Twist and Shout/Ask Me Why (Live Recording) 45 RPM Vinyl Record,43.0,2020-09-16
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES TWIST AND SHOUT CANADA CAPITOL 6000 SERIES MONO VINYL LP,58.63,2020-09-16
Auction,Albums,TheBeatles,The Beatles Twist and Shout,The Beatles - Twist and Shout/Ask Me Why (Live Recording) 45 RPM Vinyl Record,45.0,2020-09-16
Auction,Albums,TheBeatles,The Beatles Twist and Shout,"The Beatles ""Twist And Shout"" 4 trk 7"" EP Aust edition pic sleeve",68.36,2020-09-17
Auction,Albums,TheBeatles,The Beatles Twist and Shout,THE BEATLES TWIST AND SHOUT 4 TRACK EP. MONO PARLOPHONE GEP 8882 EX,16.04,2020-09-17
Auction,Albums,TheBeatles,The Beatles Twist and Shout,"The Beatles Twist & Shout E.P. 7"" Mono Vinyl + PC 1963 B4",14.51,2020-09-17
Auction,Albums,TheBeatles,The Beatles Twist and Shout,"The Beatles Twist & Shout E.P. 7"" Mono Vinyl + PC 1963 B4",13.17,2020-09-17
