sale_condition,groupA,groupB,groupC,title,price,date
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments Ti-83 Plus Graphing Calculator,12.1,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,TI-83 Plus Graphing Calculator Texas Instruments ,3.99,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Graphing Calculator Tested Working TI 83 w/Cover,10.5,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Graphing Calculator TESTED & WORKING 1999 Black,12.49,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator,35.9,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments  TI-83 plus Graphing Calculator ,34.0,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator with Cover - Tested & Working,37.54,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator,38.9,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments  TI-83 plus Graphing Calculator ,37.0,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator with Cover - Tested & Working,40.54,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments Ti-83 Plus Graphing Calculator,17.1,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,TI-83 Plus Graphing Calculator Texas Instruments ,20.25,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Graphing Calculator Tested Working TI 83 w/Cover,16.9,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Graphing Calculator TESTED & WORKING 1999 Black,17.94,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator,17.3,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments  TI-83 plus Graphing Calculator ,15.45,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator with Cover - Tested & Working,18.99,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator,30.9,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments  TI-83 plus Graphing Calculator ,29.0,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator with Cover - Tested & Working,32.54,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,TI-83 Plus Graphing Calculator Texas Instruments ,21.26,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Graphing Calculator Tested Working TI 83 w/Cover,17.0,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Graphing Calculator TESTED & WORKING 1999 Black,17.84,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator,17.4,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments  TI-83 plus Graphing Calculator ,15.5,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator with Cover - Tested & Working,18.89,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator,36.9,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments  TI-83 plus Graphing Calculator ,35.0,2020-08-09
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator with handbook,38.68,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator with Cover Tested & Working,21.64,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator  - TESTED WORKS,17.49,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,ti 83 plus graphing calculator with cover,20.0,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,TI-83 Plus Graphing Calculator (Texas Instruments),35.0,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator-Slip Cover-Manual (2004)-WORKS!,36.45,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator,11.7,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator,28.5,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,TI-83 Plus Texas Instruments Graphing Calculator With Cover,12.3,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Silver Edition Graphing Calculator,24.75,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator,12.6,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,TEXAS INSTRUMENTS TI-83 PLUS TI 83 GRAPHING CALCULATOR WITH COVER,25.9,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator,18.0,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments Ti-83 Plus Graphing Calculator Not Tested ,35.2,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator,9.99,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Silver Edition Graphing Calculator Black NO ISSUES,31.95,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator with handbook,39.68,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator-Slip Cover-Manual (2004)-WORKS!,41.45,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator,33.5,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,TEXAS INSTRUMENTS TI-83 PLUS TI 83 GRAPHING CALCULATOR WITH COVER,8.95,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments Ti-83 Plus Graphing Calculator Not Tested ,36.2,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Silver Edition Graphing Calculator Black NO ISSUES,36.95,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator with handbook,45.68,2020-08-10
Auction,calculator,calculator,ti-83 plus calculator,Texas Instruments TI-83 Plus Graphing Calculator-Slip Cover-Manual (2004)-WORKS!,43.45,2020-08-10
